start,end,position,line,text,token
12.162,14.765,-1,92,<13>作詞:角巻わため</c>,作詞:角巻わため
12.162,22.473,-1,0,<13>角巻わため-holidays!</c>,角巻わため-holidays!
14.765,17.334,-1,92,<13>作曲:ナノウ</c>,作曲:ナノウ
17.334,19.903,-1,92,<13>編曲:ナノウ</c>,編曲:ナノウ
19.903,22.473,-1,92,<13>唄:角巻わため</c>,唄:角巻わため
32.816,33.484,-1,92,<13>あぁ、</c><14>目が覚めたら　陽が昇り</c>,あぁ、
32.816,33.484,-1,0,<13>あぁ、</c><14>めがさめたらひがのぼり</c>,あぁ、
33.484,33.684,-1,92,<13>あぁ、目</c><14>が覚めたら　陽が昇り</c>,目
33.484,33.684,-1,0,<13>あぁ、め</c><14>がさめたらひがのぼり</c>,め
33.684,33.817,-1,92,<13>あぁ、目が</c><14>覚めたら　陽が昇り</c>,が
33.684,33.817,-1,0,<13>あぁ、めが</c><14>さめたらひがのぼり</c>,が
33.817,34.018,-1,92,<13>あぁ、目が覚</c><14>めたら　陽が昇り</c>,覚
33.817,34.018,-1,0,<13>あぁ、めがさ</c><14>めたらひがのぼり</c>,さ
34.018,34.118,-1,92,<13>あぁ、目が覚め</c><14>たら　陽が昇り</c>,め
34.018,34.118,-1,0,<13>あぁ、めがさめ</c><14>たらひがのぼり</c>,め
34.118,34.451,-1,92,<13>あぁ、目が覚めた</c><14>ら　陽が昇り</c>,た
34.118,34.451,-1,0,<13>あぁ、めがさめた</c><14>らひがのぼり</c>,た
34.451,35.085,-1,92,<13>あぁ、目が覚めたら　</c><14>陽が昇り</c>,ら　
34.451,35.085,-1,0,<13>あぁ、めがさめたら</c><14>ひがのぼり</c>,ら
35.085,35.419,-1,92,<13>あぁ、目が覚めたら　陽</c><14>が昇り</c>,陽
35.085,35.419,-1,0,<13>あぁ、めがさめたらひ</c><14>がのぼり</c>,ひ
35.419,35.753,-1,92,<13>あぁ、目が覚めたら　陽が</c><14>昇り</c>,が
35.419,35.753,-1,0,<13>あぁ、めがさめたらひが</c><14>のぼり</c>,が
35.753,36.387,-1,92,<13>あぁ、目が覚めたら　陽が昇</c><14>り</c>,昇
35.753,36.053,-1,0,<13>あぁ、めがさめたらひがの</c><14>ぼり</c>,の
36.053,36.387,-1,0,<13>あぁ、めがさめたらひがのぼ</c><14>り</c>,ぼ
36.387,37.021,-1,92,<13>あぁ、目が覚めたら　陽が昇り</c>,り
36.387,37.021,-1,0,<13>あぁ、めがさめたらひがのぼり</c>,り
37.021,37.321,-1,92,<13>ま</c><14>だまだ眠たい　そんな休日</c>,ま
37.021,37.321,-1,0,<13>ま</c><14>だまだねむたいそんなきゅうじつ</c>,ま
37.321,37.654,-1,92,<13>まだ</c><14>まだ眠たい　そんな休日</c>,だ
37.321,37.654,-1,0,<13>まだ</c><14>まだねむたいそんなきゅうじつ</c>,だ
37.654,37.988,-1,92,<13>まだま</c><14>だ眠たい　そんな休日</c>,ま
37.654,37.988,-1,0,<13>まだま</c><14>だねむたいそんなきゅうじつ</c>,ま
37.988,38.322,-1,92,<13>まだまだ</c><14>眠たい　そんな休日</c>,だ
37.988,38.322,-1,0,<13>まだまだ</c><14>ねむたいそんなきゅうじつ</c>,だ
38.322,38.956,-1,92,<13>まだまだ眠</c><14>たい　そんな休日</c>,眠
38.322,38.622,-1,0,<13>まだまだね</c><14>むたいそんなきゅうじつ</c>,ね
38.622,38.956,-1,0,<13>まだまだねむ</c><14>たいそんなきゅうじつ</c>,む
38.956,39.59,-1,92,<13>まだまだ眠たい　</c><14>そんな休日</c>,たい　
38.956,39.59,-1,0,<13>まだまだねむたい</c><14>そんなきゅうじつ</c>,たい
39.59,39.923,-1,92,<13>まだまだ眠たい　そ</c><14>んな休日</c>,そ
39.59,39.923,-1,0,<13>まだまだねむたいそ</c><14>んなきゅうじつ</c>,そ
39.923,40.224,-1,92,<13>まだまだ眠たい　そん</c><14>な休日</c>,ん
39.923,40.224,-1,0,<13>まだまだねむたいそん</c><14>なきゅうじつ</c>,ん
40.224,40.557,-1,92,<13>まだまだ眠たい　そんな</c><14>休日</c>,な
40.224,40.557,-1,0,<13>まだまだねむたいそんな</c><14>きゅうじつ</c>,な
40.557,41.191,-1,92,<13>まだまだ眠たい　そんな休</c><14>日</c>,休
40.557,40.891,-1,0,<13>まだまだねむたいそんなきゅ</c><14>うじつ</c>,きゅ
40.891,41.191,-1,0,<13>まだまだねむたいそんなきゅう</c><14>じつ</c>,う
41.191,43.127,-1,92,<13>まだまだ眠たい　そんな休日</c>,日
41.191,41.525,-1,0,<13>まだまだねむたいそんなきゅうじ</c><14>つ</c>,じ
41.525,43.127,-1,0,<13>まだまだねむたいそんなきゅうじつ</c>,つ
43.127,43.794,-1,92,<13>さぁ、</c><14>焼きたてパン　頬張って</c>,さぁ、
43.127,43.794,-1,0,<13>さぁ、</c><14>やきたてぱんほおばって</c>,さぁ、
43.794,43.961,-1,92,<13>さぁ、焼</c><14>きたてパン　頬張って</c>,焼
43.794,43.961,-1,0,<13>さぁ、や</c><14>きたてぱんほおばって</c>,や
43.961,44.094,-1,92,<13>さぁ、焼き</c><14>たてパン　頬張って</c>,き
43.961,44.094,-1,0,<13>さぁ、やき</c><14>たてぱんほおばって</c>,き
44.094,44.294,-1,92,<13>さぁ、焼きた</c><14>てパン　頬張って</c>,た
44.094,44.294,-1,0,<13>さぁ、やきた</c><14>てぱんほおばって</c>,た
44.294,44.428,-1,92,<13>さぁ、焼きたて</c><14>パン　頬張って</c>,て
44.294,44.428,-1,0,<13>さぁ、やきたて</c><14>ぱんほおばって</c>,て
44.428,44.728,-1,92,<13>さぁ、焼きたてパ</c><14>ン　頬張って</c>,パ
44.428,44.728,-1,0,<13>さぁ、やきたてぱ</c><14>んほおばって</c>,ぱ
44.728,45.362,-1,92,<13>さぁ、焼きたてパン　</c><14>頬張って</c>,ン　
44.728,45.362,-1,0,<13>さぁ、やきたてぱん</c><14>ほおばって</c>,ん
45.362,46.03,-1,92,<13>さぁ、焼きたてパン　頬</c><14>張って</c>,頬
