start,end,position,line,text,token
1.185,1.685,-1,0,<1></c><2>ねぇ</c><3>あなたにはみえないことばかり</c><1></c>,ねぇ
1.185,1.685,-1,-1,<1></c><2>ねぇ</c><3>アナタには見えない事ばかり</c><1></c>,ねぇ
1.685,1.885,-1,0,<1></c><2>ねぇあ</c><3>なたにはみえないことばかり</c><1></c>,あ
1.685,1.885,-1,-1,<1></c><2>ねぇア</c><3>ナタには見えない事ばかり</c><1></c>,ア
1.885,2.052,-1,0,<1></c><2>ねぇあな</c><3>たにはみえないことばかり</c><1></c>,な
1.885,2.052,-1,-1,<1></c><2>ねぇアナ</c><3>タには見えない事ばかり</c><1></c>,ナ
2.052,2.252,-1,0,<1></c><2>ねぇあなた</c><3>にはみえないことばかり</c><1></c>,た
2.052,2.252,-1,-1,<1></c><2>ねぇアナタ</c><3>には見えない事ばかり</c><1></c>,タ
2.252,2.453,-1,0,<1></c><2>ねぇあなたに</c><3>はみえないことばかり</c><1></c>,に
2.252,2.453,-1,-1,<1></c><2>ねぇアナタに</c><3>は見えない事ばかり</c><1></c>,に
2.453,2.82,-1,0,<1></c><2>ねぇあなたには</c><3>みえないことばかり</c><1></c>,は
2.453,2.82,-1,-1,<1></c><2>ねぇアナタには</c><3>見えない事ばかり</c><1></c>,は
2.82,2.92,-1,0,<1></c><2>ねぇあなたにはみ</c><3>えないことばかり</c><1></c>,み
2.82,2.92,-1,-1,<1></c><2>ねぇアナタには見</c><3>えない事ばかり</c><1></c>,見
2.92,2.987,-1,0,<1></c><2>ねぇあなたにはみえ</c><3>ないことばかり</c><1></c>,え
2.92,2.987,-1,-1,<1></c><2>ねぇアナタには見え</c><3>ない事ばかり</c><1></c>,え
2.987,3.187,-1,0,<1></c><2>ねぇあなたにはみえない</c><3>ことばかり</c><1></c>,ない
2.987,3.187,-1,-1,<1></c><2>ねぇアナタには見えない</c><3>事ばかり</c><1></c>,ない
3.187,3.32,-1,0,<1></c><2>ねぇあなたにはみえないこ</c><3>とばかり</c><1></c>,こ
3.187,3.554,-1,-1,<1></c><2>ねぇアナタには見えない事</c><3>ばかり</c><1></c>,事
3.32,3.554,-1,0,<1></c><2>ねぇあなたにはみえないこと</c><3>ばかり</c><1></c>,と
3.554,3.721,-1,0,<1></c><2>ねぇあなたにはみえないことば</c><3>かり</c><1></c>,ば
3.554,3.721,-1,-1,<1></c><2>ねぇアナタには見えない事ば</c><3>かり</c><1></c>,ば
3.721,3.954,-1,0,<1></c><2>ねぇあなたにはみえないことばか</c><3>り</c><1></c>,か
3.721,3.954,-1,-1,<1></c><2>ねぇアナタには見えない事ばか</c><3>り</c><1></c>,か
3.954,4.321,-1,0,<1></c><2>ねぇあなたにはみえないことばかり</c><1></c>,り
3.954,4.321,-1,-1,<1></c><2>ねぇアナタには見えない事ばかり</c><1></c>,り
4.321,4.455,-1,0,<1></c><2>あ</c><3>たしはみえていることをしらないの？</c><1></c>,あ
4.321,4.455,-1,-1,<1></c><2>ア</c><3>タシは見えている事を知らないの？</c><1></c>,ア
4.455,4.521,-1,0,<1></c><2>あた</c><3>しはみえていることをしらないの？</c><1></c>,た
4.455,4.521,-1,-1,<1></c><2>アタ</c><3>シは見えている事を知らないの？</c><1></c>,タ
4.521,4.588,-1,0,<1></c><2>あたし</c><3>はみえていることをしらないの？</c><1></c>,し
4.521,4.588,-1,-1,<1></c><2>アタシ</c><3>は見えている事を知らないの？</c><1></c>,シ
4.588,4.688,-1,0,<1></c><2>あたしは</c><3>みえていることをしらないの？</c><1></c>,は
4.588,4.688,-1,-1,<1></c><2>アタシは</c><3>見えている事を知らないの？</c><1></c>,は
4.688,4.855,-1,0,<1></c><2>あたしはみ</c><3>えていることをしらないの？</c><1></c>,み
4.688,4.855,-1,-1,<1></c><2>アタシは見</c><3>えている事を知らないの？</c><1></c>,見
4.855,5.089,-1,0,<1></c><2>あたしはみえ</c><3>ていることをしらないの？</c><1></c>,え
4.855,5.089,-1,-1,<1></c><2>アタシは見え</c><3>ている事を知らないの？</c><1></c>,え
5.089,5.456,-1,0,<1></c><2>あたしはみえて</c><3>いることをしらないの？</c><1></c>,て
5.089,5.456,-1,-1,<1></c><2>アタシは見えて</c><3>いる事を知らないの？</c><1></c>,て
5.456,5.522,-1,0,<1></c><2>あたしはみえてい</c><3>ることをしらないの？</c><1></c>,い
5.456,5.522,-1,-1,<1></c><2>アタシは見えてい</c><3>る事を知らないの？</c><1></c>,い
5.522,5.622,-1,0,<1></c><2>あたしはみえている</c><3>ことをしらないの？</c><1></c>,る
5.522,5.622,-1,-1,<1></c><2>アタシは見えている</c><3>事を知らないの？</c><1></c>,る
5.622,5.756,-1,0,<1></c><2>あたしはみえているこ</c><3>とをしらないの？</c><1></c>,こ
5.622,5.99,-1,-1,<1></c><2>アタシは見えている事</c><3>を知らないの？</c><1></c>,事
5.756,5.99,-1,0,<1></c><2>あたしはみえていること</c><3>をしらないの？</c><1></c>,と
5.99,6.19,-1,0,<1></c><2>あたしはみえていることを</c><3>しらないの？</c><1></c>,を
5.99,6.19,-1,-1,<1></c><2>アタシは見えている事を</c><3>知らないの？</c><1></c>,を
6.19,6.29,-1,0,<1></c><2>あたしはみえていることをし</c><3>らないの？</c><1></c>,し
6.19,6.29,-1,-1,<1></c><2>アタシは見えている事を知</c><3>らないの？</c><1></c>,知
6.29,6.557,-1,0,<1></c><2>あたしはみえていることをしら</c><3>ないの？</c><1></c>,ら
6.29,6.557,-1,-1,<1></c><2>アタシは見えている事を知ら</c><3>ないの？</c><1></c>,ら
6.557,6.757,-1,0,<1></c><2>あたしはみえていることをしらな</c><3>いの？</c><1></c>,な
6.557,6.757,-1,-1,<1></c><2>アタシは見えている事を知らな</c><3>いの？</c><1></c>,な
6.757,6.957,-1,0,<1></c><2>あたしはみえていることをしらない</c><3>の？</c><1></c>,い
6.757,6.957,-1,-1,<1></c><2>アタシは見えている事を知らない</c><3>の？</c><1></c>,い
6.957,7.291,-1,0,<1></c><2>あたしはみえていることをしらないの？</c><1></c>,の？
6.957,7.291,-1,-1,<1></c><2>アタシは見えている事を知らないの？</c><1></c>,の？
