start,end,position,line,text,token
1.285,1.618,-1,92,<71></c><16>こ</c><220>の夏は何度も夢見た渚の宝物</c><71></c>,こ
1.285,1.618,63,0,<71></c><16>こ</c><220>のなつはなんどもゆめみたなぎさのたからもの</c><71></c>,こ
1.618,1.952,-1,92,<71></c><16>この</c><220>夏は何度も夢見た渚の宝物</c><71></c>,の
1.618,1.952,63,0,<71></c><16>この</c><220>なつはなんどもゆめみたなぎさのたからもの</c><71></c>,の
1.952,2.453,-1,92,<71></c><16>この夏</c><220>は何度も夢見た渚の宝物</c><71></c>,夏
1.952,4.588,0,8,<71></c><16>hololiveidolproject-飛んでk！ホロライブサマー</c><71></c><16>作編曲：arm(iosys)</c><71></c>,hololiveidolproject-飛んでk！ホロライブサマー作編曲：arm(iosys)
1.952,2.286,63,0,<71></c><16>このな</c><220>つはなんどもゆめみたなぎさのたからもの</c><71></c>,な
2.286,2.453,63,0,<71></c><16>このなつ</c><220>はなんどもゆめみたなぎさのたからもの</c><71></c>,つ
2.453,3.12,-1,92,<71></c><16>この夏は</c><220>何度も夢見た渚の宝物</c><71></c>,は
2.453,3.12,63,0,<71></c><16>このなつは</c><220>なんどもゆめみたなぎさのたからもの</c><71></c>,は
3.12,3.587,-1,92,<71></c><16>この夏は何</c><220>度も夢見た渚の宝物</c><71></c>,何
3.12,3.287,63,0,<71></c><16>このなつはな</c><220>んどもゆめみたなぎさのたからもの</c><71></c>,な
3.287,3.587,63,0,<71></c><16>このなつはなん</c><220>どもゆめみたなぎさのたからもの</c><71></c>,ん
3.587,3.721,-1,92,<71></c><16>この夏は何度</c><220>も夢見た渚の宝物</c><71></c>,度
3.587,3.721,63,0,<71></c><16>このなつはなんど</c><220>もゆめみたなぎさのたからもの</c><71></c>,ど
3.721,4.421,-1,92,<71></c><16>この夏は何度も</c><220>夢見た渚の宝物</c><71></c>,も
3.721,4.421,63,0,<71></c><16>このなつはなんども</c><220>ゆめみたなぎさのたからもの</c><71></c>,も
4.421,4.888,-1,92,<71></c><16>この夏は何度も夢</c><220>見た渚の宝物</c><71></c>,夢
4.421,4.555,63,0,<71></c><16>このなつはなんどもゆ</c><220>めみたなぎさのたからもの</c><71></c>,ゆ
4.555,4.888,63,0,<71></c><16>このなつはなんどもゆめ</c><220>みたなぎさのたからもの</c><71></c>,め
4.588,7.257,0,8,<71></c><16>hololiveidolproject-飛んでk！ホロライブサマー</c><71></c><16>作詞：七条レタス(iosys)&amp;まろん(iosys)</c><71></c>,hololiveidolproject-飛んでk！ホロライブサマー作詞：七条レタス(iosys)&amp;まろん(iosys)
4.888,5.089,-1,92,<71></c><16>この夏は何度も夢見</c><220>た渚の宝物</c><71></c>,見
4.888,5.089,63,0,<71></c><16>このなつはなんどもゆめみ</c><220>たなぎさのたからもの</c><71></c>,み
5.089,5.389,-1,92,<71></c><16>この夏は何度も夢見た</c><220>渚の宝物</c><71></c>,た
5.089,5.389,63,0,<71></c><16>このなつはなんどもゆめみた</c><220>なぎさのたからもの</c><71></c>,た
5.389,6.223,-1,92,<71></c><16>この夏は何度も夢見た渚</c><220>の宝物</c><71></c>,渚
5.389,5.723,63,0,<71></c><16>このなつはなんどもゆめみたな</c><220>ぎさのたからもの</c><71></c>,な
5.723,6.056,63,0,<71></c><16>このなつはなんどもゆめみたなぎ</c><220>さのたからもの</c><71></c>,ぎ
6.056,6.223,63,0,<71></c><16>このなつはなんどもゆめみたなぎさ</c><220>のたからもの</c><71></c>,さ
6.223,6.557,-1,92,<71></c><16>この夏は何度も夢見た渚の</c><220>宝物</c><71></c>,の
6.223,6.557,63,0,<71></c><16>このなつはなんどもゆめみたなぎさの</c><220>たからもの</c><71></c>,の
6.557,7.524,-1,92,<71></c><16>この夏は何度も夢見た渚の宝</c><220>物</c><71></c>,宝
6.557,6.89,63,0,<71></c><16>このなつはなんどもゆめみたなぎさのた</c><220>からもの</c><71></c>,た
6.89,7.224,63,0,<71></c><16>このなつはなんどもゆめみたなぎさのたか</c><220>らもの</c><71></c>,か
7.224,7.524,63,0,<71></c><16>このなつはなんどもゆめみたなぎさのたから</c><220>もの</c><71></c>,ら
7.257,9.893,0,8,<71></c><16>hololiveidolproject-飛んでk！ホロライブサマー</c><71></c><16>vocal：hololiveidolproject</c><71></c>,hololiveidolproject-飛んでk！ホロライブサマーvocal：hololiveidolproject
7.524,8.559,-1,92,<71></c><16>この夏は何度も夢見た渚の宝物</c><71></c>,物
7.524,7.725,63,0,<71></c><16>このなつはなんどもゆめみたなぎさのたからも</c><220>の</c><71></c>,も
7.725,8.559,63,0,<71></c><16>このなつはなんどもゆめみたなぎさのたからもの</c><71></c>,の
8.559,9.193,66,85,<71></c><16>shin</c><220>ysmile</c><71></c>,shin
8.559,9.193,66,0,<71></c><16>shin</c><220>ysmile</c><71></c>,shin
9.193,9.893,66,85,<71></c><16>shiny</c><220>smile</c><71></c>,y
9.193,9.893,66,0,<71></c><16>shiny</c><220>smile</c><71></c>,y
9.893,10.561,-1,92,<71></c><16>smile</c><220>yourheart</c><71></c>,smile
9.893,14.465,66,85,<71></c><16>shinysmile</c><71></c>,smile
9.893,10.561,-1,7,<71></c><16>smile</c><220>yourheart</c><71></c>,smile
9.893,14.465,66,0,<71></c><16>shinysmile</c><71></c>,smile
10.561,11.195,-1,92,<71></c><16>smileyour</c><220>heart</c><71></c>,your
10.561,11.195,-1,7,<71></c><16>smileyour</c><220>heart</c><71></c>,your
11.195,14.465,-1,92,<71></c><16>smileyourheart</c><71></c>,heart
11.195,11.862,28,85,<71></c><16>heart</c><220>toheart</c><71></c>,heart
11.195,14.465,-1,7,<71></c><16>smileyourheart</c><71></c>,heart
11.195,11.862,28,0,<71></c><16>heart</c><220>toheart</c><71></c>,heart
11.862,12.496,28,85,<71></c><16>heartto</c><220>heart</c><71></c>,to
11.862,12.496,28,0,<71></c><16>heartto</c><220>heart</c><71></c>,to
12.496,14.465,28,85,<71></c><16>hearttoheart</c><71></c>,heart
12.496,14.465,28,0,<71></c><16>hearttoheart</c><71></c>,heart
14.465,15.099,-1,92,<71></c><16>oh</c><220>yeah</c><71></c>,oh
14.465,15.099,-1,0,<71></c><16>oh</c><220>yeah</c><71></c>,oh
15.099,17.101,-1,92,<71></c><16>ohyeah</c><71></c>,yeah
15.099,17.101,-1,0,<71></c><16>ohyeah</c><71></c>,yeah
17.101,17.434,-1,85,<71></c><16>（せー</c><220>のっ</c><16>）</c><71></c>,（せー
17.101,17.434,-1,7,<71></c><16>（せー</c><220>のっ</c><16>）</c><71></c>,（せー
17.434,17.768,-1,85,<71></c><16>（せーのっ）</c><71></c>,のっ）
17.434,17.768,-1,7,<71></c><16>（せーのっ）</c><71></c>,のっ）
17.768,17.935,-1,92,<71></c><16>ぴ</c><220>えん　ぱおん　はにゃん</c><71></c>,ぴ
