start,end,line,unformatted,remainder,prev_remainder,prev_unformatted,token
11.195,14.398,-1,allinstruments&amp;programming：おぐらあすか,allinstruments&amp;programming：おぐらあすか,,,allinstruments&amp;programming：おぐらあすか
14.398,17.568,-1,mix:masahirokawata,mix:masahirokawata,allinstruments&amp;programming：おぐらあすか,allinstruments&amp;programming：おぐらあすか,mix:masahirokawata
17.568,20.07,-1,movie:ぽかげ,movie:ぽかげ,mix:masahirokawata,mix:masahirokawata,movie:ぽかげ
61.578,61.979,0,「おどろうよ」,よ」,movie:ぽかげ,movie:ぽかげ,よ」
61.345,61.578,0,「おどろうよ」,うよ」,よ」,「おどろうよ」,う
61.078,61.345,0,「おどろうよ」,ろうよ」,うよ」,「おどろうよ」,ろ
60.778,61.078,0,「おどろうよ」,どろうよ」,ろうよ」,「おどろうよ」,ど
60.577,60.778,0,「おどろうよ」,「おどろうよ」,どろうよ」,「おどろうよ」,「お
144.795,145.162,0,「めをとじて」,て」,「おどろうよ」,「おどろうよ」,て」
144.561,144.795,0,「めをとじて」,じて」,て」,「めをとじて」,じ
144.294,144.561,0,「めをとじて」,とじて」,じて」,「めをとじて」,と
143.994,144.294,0,「めをとじて」,をとじて」,とじて」,「めをとじて」,を
143.76,143.994,0,「めをとじて」,「めをとじて」,をとじて」,「めをとじて」,「め
144.795,145.162,-1,「目を閉じて」,て」,「めをとじて」,「めをとじて」,て」
144.561,144.795,-1,「目を閉じて」,じて」,て」,「目を閉じて」,じ
144.294,144.561,-1,「目を閉じて」,閉じて」,じて」,「目を閉じて」,閉
143.994,144.294,-1,「目を閉じて」,を閉じて」,閉じて」,「目を閉じて」,を
143.76,143.994,-1,「目を閉じて」,「目を閉じて」,を閉じて」,「目を閉じて」,「目
61.578,61.979,-1,「踊ろうよ」,よ」,「目を閉じて」,「目を閉じて」,よ」
61.345,61.578,-1,「踊ろうよ」,うよ」,よ」,「踊ろうよ」,う
61.078,61.345,-1,「踊ろうよ」,ろうよ」,うよ」,「踊ろうよ」,ろ
60.577,61.078,-1,「踊ろうよ」,「踊ろうよ」,ろうよ」,「踊ろうよ」,「踊
86.37,87.571,0,あかいかじつはじけた,た,「踊ろうよ」,「踊ろうよ」,た
86.17,86.37,0,あかいかじつはじけた,けた,た,あかいかじつはじけた,け
85.969,86.17,0,あかいかじつはじけた,じけた,けた,あかいかじつはじけた,じ
85.869,85.969,0,あかいかじつはじけた,はじけた,じけた,あかいかじつはじけた,は
