start,end,line,token
10.961,20.971,0,ado-ギラギラ(coveredbyアーニャ・メルフィッサ)
236.553,237.287,0,on
235.953,236.553,0,drag
235.319,235.953,0,on
234.718,235.319,0,drag
104.054,104.855,0,on
103.454,104.054,0,drag
102.786,103.454,0,on
102.186,102.786,0,drag
236.553,237.287,-1,on
235.953,236.553,-1,drag
235.319,235.953,-1,on
234.718,235.319,-1,drag
104.054,104.855,-1,on
103.454,104.054,-1,drag
102.786,103.454,-1,on
102.186,102.786,-1,drag
186.57,187.437,0,up
185.936,186.57,0,flap
185.302,185.936,0,up
184.701,185.302,0,flap
186.57,187.437,-1,up
185.936,186.57,-1,flap
185.302,185.936,-1,up
184.701,185.302,-1,flap
253.303,254.538,0,て
253.103,253.303,0,ち
252.703,253.103,0,み
252.502,252.703,0,は
252.102,252.502,0,な
251.902,252.102,0,は
250.867,251.902,0,love
250.667,250.867,0,give
253.303,254.538,-1,て
253.103,253.303,-1,ち
252.703,253.103,-1,満
252.502,252.703,-1,は
252.102,252.502,-1,花
251.902,252.102,-1,花
250.867,251.902,-1,love
250.667,250.867,-1,give
15.966,18.469,-1,illustration:oats
13.464,15.966,-1,mix:timothytokyoterrace
18.469,20.971,-1,mv:yukinarumiya
226.543,227.177,0,tap
225.943,226.543,0,tap
225.342,225.943,0,tap
224.708,225.342,0,rap
176.56,177.227,0,tap
175.926,176.56,0,tap
175.292,175.926,0,tap
174.691,175.292,0,rap
94.044,94.711,0,tap
93.444,94.044,0,tap
92.81,93.444,0,tap
92.209,92.81,0,rap
226.543,227.177,-1,tap
225.943,226.543,-1,tap
225.342,225.943,-1,tap
224.708,225.342,-1,rap
176.56,177.227,-1,tap
175.926,176.56,-1,tap
175.292,175.926,-1,tap
174.691,175.292,-1,rap
94.044,94.711,-1,tap
93.444,94.044,-1,tap
92.81,93.444,-1,tap
92.209,92.81,-1,rap
48.365,49.7,0,は
48.165,48.365,0,お
47.731,48.165,0,か
47.498,47.731,0,の
47.197,47.498,0,し
47.064,47.197,0,た
46.864,47.064,0,わ
46.13,46.864,0,て
45.863,46.13,0,いっ
45.696,45.863,0,き
45.562,45.696,0,じ
45.362,45.562,0,う
45.262,45.362,0,しょ
44.728,45.262,0,ly
44.061,44.728,0,ug
48.365,49.7,-1,は
48.165,48.365,-1,顔
47.731,48.165,-1,顔
47.498,47.731,-1,の
47.197,47.498,-1,私
47.064,47.197,-1,私
46.864,47.064,-1,私
46.13,46.864,-1,て
45.863,46.13,-1,言っ
45.696,45.863,-1,直
45.562,45.696,-1,直
45.362,45.562,-1,正
45.262,45.362,-1,正
44.728,45.262,-1,ly
44.061,44.728,-1,ug
130.881,132.216,0,に
130.614,130.881,0,ち
130.214,130.614,0,う
130.013,130.214,0,ぬ
129.713,130.013,0,ぜ
129.613,129.713,0,ん
129.346,129.613,0,ぞ
128.645,129.346,0,も
128.312,128.645,0,ま
128.145,128.312,0,さ
128.011,128.145,0,か
127.845,128.011,0,しゃ
127.644,127.845,0,お
127.211,127.644,0,known
126.577,127.211,0,un
130.881,132.216,-1,に
130.614,130.881,-1,ち
130.214,130.614,-1,う
130.013,130.214,-1,ぬ
129.713,130.013,-1,ぜ
129.613,129.713,-1,存
129.346,129.613,-1,存
128.645,129.346,-1,も
128.312,128.645,-1,様
128.145,128.312,-1,様
128.011,128.145,-1,迦
127.845,128.011,-1,釈
127.644,127.845,-1,お
127.211,127.644,-1,known
126.577,127.211,-1,un
83.333,84.735,0,だ
83.133,83.333,0,ん
82.833,83.133,0,な
82.199,82.833,0,い
81.498,82.199,0,ら
81.265,81.498,0,く
80.831,81.265,0,い
80.597,80.831,0,な
80.33,80.597,0,れ
79.596,80.33,0,さ
79.363,79.596,0,い
79.096,79.363,0,あ
259.243,259.743,0,も
258.942,259.243,0,れ
258.742,258.942,0,か
257.941,258.742,0,も
257.674,257.941,0,れ
257.474,257.674,0,だ
256.64,257.474,0,い
256.473,256.64,0,な
256.306,256.473,0,れ
256.173,256.306,0,ら
256.006,256.173,0,い
255.839,256.006,0,じゃ
255.672,255.839,0,ま
255.505,255.672,0,ん
255.339,255.505,0,ま
255.005,255.339,0,の
254.705,255.005,0,り
