start,end,line,token
214.798,215.332,92,time…
214.331,214.798,92,good
213.83,214.331,92,night
213.33,213.83,92,good
209.493,210.661,92,time…
209.026,209.493,92,good
208.492,209.026,92,night
207.991,208.492,92,good
204.154,205.322,92,time…
203.654,204.154,92,good
203.12,203.654,92,night
202.653,203.12,92,good
198.849,199.316,92,time…
198.348,198.849,92,good
197.814,198.348,92,night
197.347,197.814,92,good
144.027,146.663,0,mixingengineer:nnzn(ofutone)
149.333,152.002,0,movie:こんぶtsunomakiproductionteam
141.325,144.027,0,recordingengineer:石塚陽大(hifumiinc.)
218.669,224.074,0,specialthanks:わためいと／watamates
137.421,137.988,92,time…
136.987,137.421,92,sweet
136.487,136.987,92,night
135.986,136.487,92,sweet
132.082,132.616,92,time…
131.648,132.082,92,sweet
131.148,131.648,92,night
130.647,131.148,92,sweet
126.777,127.311,92,time…
126.31,126.777,92,sweet
125.809,126.31,92,night
125.342,125.809,92,sweet
121.438,121.972,92,time…
120.971,121.438,92,sweet
120.471,120.971,92,night
119.97,120.471,92,sweet
94.745,95.145,92,time…
94.311,94.745,92,sweet
93.811,94.311,92,night
93.31,93.811,92,sweet
89.44,90.174,92,time…
89.006,89.44,92,sweet
88.472,89.006,92,night
87.971,88.472,92,sweet
56.173,56.673,92,time…
55.672,56.173,92,sweet
55.139,55.672,92,night
54.671,55.139,92,sweet
50.768,51.301,92,time…
50.3,50.768,92,sweet
49.8,50.3,92,night
49.333,49.8,92,sweet
45.429,45.963,92,time…
44.995,45.429,92,sweet
44.495,44.995,92,night
43.994,44.495,92,sweet
18.769,19.336,92,time…
18.335,18.769,92,sweet
17.835,18.335,92,night
17.334,17.835,92,sweet
13.464,13.998,92,time…
12.997,13.464,92,sweet
12.496,12.997,92,night
11.996,12.496,92,sweet
8.092,8.492,92,time…
7.658,8.092,92,sweet
7.157,7.658,92,night
6.657,7.157,92,sweet
2.786,3.487,92,time…
2.319,2.786,92,sweet
1.852,2.319,92,night
1.151,1.852,92,sweet
93.143,95.145,0,も
92.976,93.143,0,で
92.643,92.976,0,ま
92.276,92.643,0,つ
91.975,92.276,0,い
87.838,89.606,0,も
87.671,87.838,0,で
87.337,87.671,0,ま
86.97,87.337,0,つ
86.67,86.97,0,い
93.143,95.145,-1,も
92.976,93.143,-1,で
92.643,92.976,-1,ま
92.276,92.643,-1,つ
91.975,92.276,-1,い
87.838,89.606,-1,も
87.671,87.838,-1,で
87.337,87.671,-1,ま
86.97,87.337,-1,つ
86.67,86.97,-1,い
186.503,187.004,0,け…
186.336,186.503,0,だ
186.17,186.336,0,ま
186.003,186.17,0,い
77.161,77.661,0,け…
76.994,77.161,0,だ
76.827,76.994,0,ま
76.66,76.827,0,い
36.987,38.322,0,ら
36.82,36.987,0,か
36.453,36.82,0,だ
36.32,36.453,0,み
35.986,36.32,0,す
35.753,35.986,0,や
35.152,35.753,0,は
34.985,35.152,0,た
34.785,34.985,0,し
34.618,34.785,0,あ
33.984,34.618,0,と
33.617,33.984,0,えっ
36.987,38.322,-1,ら
36.82,36.987,-1,か
36.453,36.82,-1,だ
36.32,36.453,-1,み
35.986,36.32,-1,休
35.753,35.986,-1,休
35.152,35.753,-1,は
34.985,35.152,-1,日
34.785,34.985,-1,明
34.618,34.785,-1,明
33.984,34.618,-1,と
33.617,33.984,-1,えっ
102.319,103.32,0,も
102.119,102.319,0,の
101.852,102.119,0,う
101.652,101.852,0,ら
101.318,101.652,0,わ
100.517,101.318,0,も
100.317,100.517,0,の
100.15,100.317,0,す
99.983,100.15,0,な
99.817,99.983,0,は
99.316,99.817,0,と
98.949,99.316,0,きっ
102.319,103.32,-1,も
102.119,102.319,-1,の
101.852,102.119,-1,う
101.652,101.852,-1,笑
101.318,101.652,-1,笑
100.517,101.318,-1,も
100.317,100.517,-1,の
100.15,100.317,-1,す
99.983,100.15,-1,話
99.817,99.983,-1,話
99.316,99.817,-1,と
98.949,99.316,-1,きっ
141.325,143.327,0,で
140.624,141.325,0,ま
139.623,140.624,0,さ
139.123,139.623,0,あ
138.622,139.123,0,と
138.355,138.622,0,み
137.988,138.355,0,き
180.164,181.598,0,せ
179.83,180.164,0,わ
179.63,179.83,0,あ
179.296,179.63,0,む
179.129,179.296,0,ず
178.962,179.129,0,り
178.795,178.962,0,と
178.629,178.795,0,み
178.462,178.629,0,き
70.821,72.289,0,せ
70.487,70.821,0,わ
70.287,70.487,0,あ
69.987,70.287,0,む
69.853,69.987,0,ず
