start,end,line,unformatted,remainder,prev_remainder,prev_unformatted,token
73.557,75.259,92,fecellemiennepheiseirelilutiaeifinceq,finceq,,,finceq
73.257,73.557,92,fecellemiennepheiseirelilutiaeifinceq,eifinceq,finceq,fecellemiennepheiseirelilutiaeifinceq,ei
71.922,73.257,92,fecellemiennepheiseirelilutiaeifinceq,lilutiaeifinceq,eifinceq,fecellemiennepheiseirelilutiaeifinceq,lilutia
70.587,71.922,92,fecellemiennepheiseirelilutiaeifinceq,seirelilutiaeifinceq,lilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,seire
69.253,70.587,92,fecellemiennepheiseirelilutiaeifinceq,pheiseirelilutiaeifinceq,seirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,phei
67.918,69.253,92,fecellemiennepheiseirelilutiaeifinceq,lemiennepheiseirelilutiaeifinceq,pheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,lemienne
66.617,67.918,92,fecellemiennepheiseirelilutiaeifinceq,cellemiennepheiseirelilutiaeifinceq,lemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,cel
66.25,66.617,92,fecellemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,cellemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,fe
73.557,75.259,7,fecellemiennepheiseirelilutiaeifinceq,finceq,fecellemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,finceq
73.257,73.557,7,fecellemiennepheiseirelilutiaeifinceq,eifinceq,finceq,fecellemiennepheiseirelilutiaeifinceq,ei
71.922,73.257,7,fecellemiennepheiseirelilutiaeifinceq,lilutiaeifinceq,eifinceq,fecellemiennepheiseirelilutiaeifinceq,lilutia
70.587,71.922,7,fecellemiennepheiseirelilutiaeifinceq,seirelilutiaeifinceq,lilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,seire
69.253,70.587,7,fecellemiennepheiseirelilutiaeifinceq,pheiseirelilutiaeifinceq,seirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,phei
67.918,69.253,7,fecellemiennepheiseirelilutiaeifinceq,lemiennepheiseirelilutiaeifinceq,pheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,lemienne
66.617,67.918,7,fecellemiennepheiseirelilutiaeifinceq,cellemiennepheiseirelilutiaeifinceq,lemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,cel
66.25,66.617,7,fecellemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,cellemiennepheiseirelilutiaeifinceq,fecellemiennepheiseirelilutiaeifinceq,fe
