start,end,line,token
2.419,5.356,0,常闇トワ-palette
5.356,8.325,0,作曲編曲mixマスタリング:niki
8.325,11.261,0,illust絵コンテアニメーション:かかげ
11.261,14.198,0,vocal作詞:常闇トワ
14.565,14.765,0,か
14.765,14.965,0,ぜ
14.965,15.499,0,に
15.499,15.699,0,ふ
15.699,15.866,0,か
15.866,16.066,0,れ
16.066,17.167,0,て
17.167,17.501,0,て
17.501,17.701,0,だ
17.701,17.901,0,れ
17.901,18.435,0,も
18.435,18.602,0,き
18.602,19.036,0,づ
19.036,19.37,0,か
19.37,19.737,0,ぬ
19.737,19.903,0,よ
19.903,20.504,0,う
20.504,20.637,0,く
20.637,20.804,0,べ
20.804,21.405,0,つ
21.405,21.572,0,が
21.572,21.772,0,つ
21.772,21.972,0,か
21.972,22.706,0,な
22.706,23.04,0,い
23.04,23.34,0,い
23.34,23.54,0,も
23.54,23.807,0,の
23.807,24.341,0,く
24.341,24.541,0,ろ
24.541,24.875,0,の
24.875,25.242,0,せ
25.242,25.609,0,か
25.609,26.343,0,い
26.343,26.51,0,い
26.51,26.71,0,ろ
26.71,27.277,0,を
27.277,27.411,0,た
27.411,27.644,0,し
27.644,27.811,0,て
27.811,28.912,0,も
28.912,29.313,0,も
29.313,29.446,0,な
29.446,29.613,0,に
29.613,30.214,0,も
30.214,30.414,0,み
30.414,30.781,0,え
30.781,31.115,0,な
31.115,31.482,0,く
31.482,32.249,0,て
32.249,32.483,0,ま
32.483,32.616,0,る
32.616,33.183,0,で
33.183,33.384,0,わ
33.384,33.584,0,た
33.584,33.717,0,し
33.717,34.818,0,は
34.818,35.185,0,は
35.185,35.386,0,い
35.386,35.552,0,き
35.552,36.12,0,を
36.12,36.32,0,と
36.32,36.687,0,め
36.687,37.021,0,て
37.021,37.388,0,い
37.388,39.957,0,た
42.526,42.726,0,も
42.726,42.926,0,う
42.926,43.127,0,い
43.127,43.293,0,い
43.293,44.028,0,よ
44.028,44.161,0,と
44.161,44.395,0,お
44.395,44.561,0,く
44.561,44.762,0,て
44.762,45.496,0,も
45.496,45.863,0,か
45.863,46.063,0,な
46.063,46.23,0,え
46.23,46.563,0,た
46.563,46.964,0,い
46.964,47.331,0,わ
47.331,47.531,0,た
47.531,47.731,0,し
47.731,48.432,0,は
48.432,48.799,0,こ
48.799,49.366,0,ん
49.366,49.566,0,な
49.566,49.8,0,せ
49.8,49.933,0,か
49.933,50.467,0,い
50.467,50.634,0,い
50.634,50.868,0,お
50.868,51.168,0,も
51.168,51.368,0,い
51.368,52.102,0,も
52.102,52.469,0,だ
52.469,52.87,0,き
52.87,53.237,0,し
53.237,53.604,0,め
53.604,53.737,0,て
53.737,53.971,0,い
53.971,54.538,0,た
54.538,54.671,0,い
54.671,54.872,0,の
54.872,55.272,0,に
55.272,55.439,0,ゆ
55.439,55.839,0,め
55.839,56.006,0,の
56.006,56.54,0,きゃ
56.54,56.707,0,ん
56.707,57.274,0,ば
57.274,57.474,0,す
57.474,58.008,0,ゆめのきゃんばすにいつづけるいみは
58.008,58.208,0,ゆめのきゃんばすに&nbsp;&nbsp;
58.208,58.375,0,い
58.375,58.742,0,つ
58.742,58.909,0,づ
58.909,59.51,0,け
59.51,59.676,0,る
59.676,60.244,0,い
60.244,60.477,0,み
60.477,61.311,0,は
61.311,61.712,0,こ
61.712,61.879,0,の
61.879,62.413,0,む
62.413,62.613,0,ね
62.613,63.514,0,に
63.514,63.881,0,か
63.881,64.248,0,が
64.248,64.648,0,や
64.648,64.815,0,い
64.815,65.349,0,て
65.349,65.549,0,い
65.549,66.016,0,る
66.016,66.283,0,る
66.283,66.45,0,す
66.45,66.817,0,とー
66.817,67.151,0,りー
67.151,67.217,0,りー
67.217,70.154,7,映像コンポジット3dcg:roly
67.217,67.284,0,りー
67.284,67.351,0,りー
67.351,67.418,0,りー
67.418,67.484,0,りー
67.484,67.551,0,りー
67.551,67.618,0,りー
67.618,67.684,0,りー
67.684,67.751,0,りー
67.751,67.818,0,りー
67.818,67.885,0,りー
