start,end,line,token
0.951,12.096,0,尾丸ポルカ-pastelteatime
0.951,1.885,-1,作詞：vetalissemocosine
1.885,2.82,-1,作詞：vetalissemocosine
2.82,3.721,-1,作曲・編曲：emocosine
3.721,4.655,-1,作曲・編曲：emocosine
4.655,5.589,-1,ギター：安藤河音
5.589,6.59,-1,ギター：安藤河音
6.59,7.124,-1,recording&amp;mixingengineer：nnzn(ofutone)
7.124,7.558,-1,recording&amp;mixingengineer：nnzn(ofutone)
7.558,8.459,-1,recording&amp;mixingengineer：nnzn(ofutone)
8.459,9.46,-1,vocaldirection：かっさん(nekohacker)
9.46,10.427,-1,vocaldirection：かっさん(nekohacker)
10.427,11.161,-1,イラスト・mv：ヤシマロパ歌：尾丸ポルカ
11.161,12.096,-1,イラスト・mv：ヤシマロパ歌：尾丸ポルカ
15.899,16.033,0,「お
15.899,16.033,-1,「お
16.033,16.133,0,ど
16.033,16.133,-1,ど
16.133,16.266,0,け
16.133,16.266,-1,け
16.266,16.367,0,た
16.266,16.367,-1,た
16.367,16.533,0,か
16.367,16.533,-1,顔
16.533,16.6,0,お
16.533,16.6,-1,顔
16.6,16.834,0,で
16.6,16.834,-1,で
16.834,16.967,0,い
16.834,16.967,-1,い
16.967,17.067,0,つ
16.967,17.067,-1,つ
17.067,17.167,0,も
17.067,17.167,-1,も
17.167,17.301,0,は
17.167,17.301,-1,は
17.301,17.534,0,ざ
17.301,17.534,-1,座
17.534,17.634,0,ちょ
17.534,17.768,-1,長」
17.634,17.768,0,う」
17.768,18.002,0,「ざ
17.768,18.002,-1,「座
18.002,18.068,0,い
18.002,18.068,-1,員
18.068,18.135,0,ん
18.068,18.135,-1,員
18.135,18.235,0,と
18.135,18.235,-1,と
18.235,18.469,0,いっ
18.235,18.469,-1,一
18.469,18.569,0,しょ
18.469,18.569,-1,緒
18.569,18.702,0,に
18.569,18.702,-1,に
18.702,18.936,0,ぜっ
18.702,18.936,-1,絶
18.936,19.136,0,こう
18.936,19.136,-1,好
19.136,19.636,0,ちょう」
19.136,19.636,-1,調」
