start,end,line,token
10.527,10.761,0,「き
10.527,10.761,-1,「キ
10.761,10.894,0,み
10.761,10.894,-1,ミ
10.894,11.228,0,の
10.894,11.228,-1,の
11.228,11.528,0,ひ
11.228,11.528,-1,ヒ
11.528,11.895,0,ろ
11.528,11.895,-1,ロ
11.895,12.196,0,い
11.895,12.196,-1,イ
12.196,12.529,0,ん
12.196,12.529,-1,ン
12.529,12.863,0,は
12.529,12.863,-1,は
12.863,13.197,0,だ
12.863,13.197,-1,誰
13.197,13.497,0,だ
13.197,13.497,-1,誰
13.497,14.05,0,れ
13.497,14.05,-1,誰
19.737,19.937,0,お
19.737,19.937,-1,お
19.937,20.07,0,ぼ
19.937,20.07,-1,ぼ
20.07,21.071,0,え
20.07,21.071,-1,え
21.071,21.405,0,て
21.071,21.405,-1,て
21.405,22.339,0,る
21.405,22.339,-1,る
22.339,22.706,0,や
22.339,22.706,-1,優
22.706,23.707,0,さ
22.706,23.707,-1,優
23.707,24.008,0,し
23.707,24.008,-1,し
24.008,24.975,0,い
24.008,24.975,-1,い
24.975,25.175,0,き
24.975,25.175,-1,キ
25.175,25.309,0,み
25.175,25.309,-1,ミ
25.309,25.642,0,の
25.309,25.642,-1,の
25.642,25.843,0,こ
25.642,25.843,-1,言
25.843,26.143,0,と
25.843,26.143,-1,言
26.143,26.51,0,ば
26.143,26.51,-1,葉
26.51,27.277,0,に
26.51,27.277,-1,に
27.277,27.611,0,きゅ
27.277,27.611,-1,キュ
27.611,27.945,0,ん
27.611,27.945,-1,ン
27.945,28.245,0,と
27.945,28.245,-1,と
28.245,28.445,0,し
28.245,28.445,-1,し
28.445,30.247,0,て
28.445,30.247,-1,て
30.247,30.547,0,じょ
30.247,30.547,-1,手
30.547,31.548,0,う
30.547,31.548,-1,手
31.548,31.849,0,ず
31.548,31.849,-1,手
31.849,32.85,0,に
31.849,32.85,-1,に
32.85,33.183,0,い
32.85,33.183,-1,言
33.183,34.151,0,え
33.183,34.151,-1,え
34.151,34.485,0,な
34.151,34.485,-1,な
34.485,35.486,0,い
34.485,35.486,-1,い
35.486,35.652,0,か
35.486,35.652,-1,代
35.652,35.819,0,わ
35.652,35.819,-1,わ
35.819,36.086,0,り
35.819,36.086,-1,り
36.086,36.32,0,に
36.086,36.32,-1,に
36.32,36.653,0,わ
36.32,36.653,-1,笑
36.653,36.987,0,ら
36.653,36.987,-1,笑
36.987,37.454,0,い
36.987,37.454,-1,い
37.454,37.755,0,か
37.454,37.755,-1,か
37.755,38.122,0,け
37.755,38.122,-1,け
38.122,38.422,0,て
38.122,38.422,-1,て
38.422,38.756,0,み
38.422,38.756,-1,み
38.756,38.956,0,た
38.756,38.956,-1,た
38.956,40.28,0,の
38.956,40.28,-1,の
40.691,40.958,0,め
40.691,40.958,-1,目
40.958,41.058,0,が
40.958,41.058,-1,が
41.058,41.558,0,あっ
41.058,41.558,-1,合っ
41.558,41.692,0,た
41.558,41.692,-1,た
41.692,42.026,0,き
41.692,42.026,-1,気
42.026,42.359,0,が
42.026,42.359,-1,が
42.359,42.693,0,し
42.359,42.693,-1,し
42.693,43.027,0,た
42.693,43.027,-1,た
43.027,43.56,0,そ
43.027,43.56,-1,そ
43.56,43.66,0,れ
43.56,43.66,-1,れ
43.66,44.028,0,だ
43.66,44.028,-1,だ
44.028,44.328,0,け
44.028,44.328,-1,け
44.328,46.296,0,で
44.328,46.296,-1,で
46.296,46.63,0,こ
46.296,46.63,-1,鼓
46.63,46.964,0,ど
46.63,46.964,-1,動
46.964,47.164,0,う
46.964,47.164,-1,動
47.164,47.498,0,は
47.164,47.498,-1,ハ
47.498,47.831,0,ね
47.498,47.831,-1,ネ
47.831,48.932,0,た
47.831,48.932,-1,た
48.932,49.266,0,お
48.932,49.266,-1,お
49.266,49.566,0,ね
49.266,49.566,-1,願
49.566,49.8,0,が
49.566,49.8,-1,願
49.8,50.567,0,い
49.8,50.567,-1,い
50.567,50.768,0,か
50.567,50.768,-1,違
50.768,50.901,0,ん
50.768,50.901,-1,違
50.901,51.235,0,ち
50.901,51.235,-1,違
51.235,51.535,0,が
51.235,51.535,-1,違
51.535,51.869,0,い
51.535,51.869,-1,い
51.869,54.505,0,じゃ
51.869,54.505,-1,じゃ
54.505,54.705,0,あ
54.505,54.705,-1,あ
54.705,54.838,0,り
54.705,54.838,-1,り
54.838,55.005,0,ま
54.838,55.005,-1,ま
55.005,55.172,0,せ
55.005,55.172,-1,せ
55.172,55.339,0,ん
55.172,55.339,-1,ん
55.339,55.539,0,よ
55.339,55.539,-1,よ
55.539,55.706,0,う
55.539,55.706,-1,う
55.706,56.473,0,に
55.706,56.473,-1,に
56.473,56.807,0,そっ
56.473,56.807,-1,そっ
56.807,57.107,0,と
56.807,57.107,-1,と
57.107,57.341,0,こ
57.107,57.341,-1,心
57.341,57.441,0,こ
57.341,57.441,-1,心
57.441,57.641,0,ろ
57.441,57.641,-1,心
57.641,57.775,0,の
57.641,57.775,-1,の
57.775,57.975,0,な
57.775,57.975,-1,な
57.975,58.308,0,か
57.975,58.308,-1,か
58.308,59.41,0,で　
58.308,59.41,-1,で　
59.41,59.643,0,あ
59.41,59.643,-1,熱
59.643,59.743,0,つ
59.643,59.743,-1,熱
59.743,59.977,0,い
59.743,59.977,-1,い
59.977,60.077,0,し
59.977,60.077,-1,視
60.077,60.244,0,せ
60.077,60.244,-1,線
60.244,60.377,0,ん
60.244,60.377,-1,線
60.377,60.611,0,お
60.377,60.611,-1,送っ
60.611,60.944,0,くっ
60.611,60.944,-1,送っ
60.944,62.046,0,た
60.944,62.046,-1,た
62.046,62.246,0,ふ
62.046,62.246,-1,振
62.246,62.346,0,り
62.246,62.346,-1,り
62.346,62.679,0,む
62.346,62.679,-1,向
62.679,62.88,0,い
62.679,62.88,-1,い
62.88,63.247,0,て
62.88,63.247,-1,て
63.247,63.547,0,って　
63.247,63.547,-1,って　
63.547,64.014,0,ね
63.547,64.014,-1,願
64.014,64.348,0,が
64.014,64.348,-1,願
64.348,64.648,0,っ
64.348,64.648,-1,っ
64.648,64.982,0,ちゃ
64.648,64.982,-1,ちゃ
64.982,65.315,0,っ
64.982,65.315,-1,っ
65.315,65.516,0,て
65.315,65.516,-1,て
65.516,67.284,0,た
65.516,67.284,-1,た
67.284,67.484,0,ひ
67.284,67.484,-1,ヒ
67.484,67.618,0,ろ
67.484,67.618,-1,ロ
67.618,67.818,0,い
67.618,67.818,-1,イ
67.818,67.951,0,ん
67.818,67.951,-1,ン
67.951,68.252,0,おー
67.951,68.252,-1,オー
68.252,68.452,0,でぃ
68.252,68.452,-1,ディ
68.452,68.819,0,しょ
68.452,68.819,-1,ショ
68.819,69.92,0,ん　
68.819,69.92,-1,ン　
69.92,70.087,0,え
69.92,70.087,-1,エ
70.087,70.254,0,ん
70.087,70.254,-1,ン
70.254,70.454,0,と
70.254,70.454,-1,ト
70.454,70.754,0,りー
70.454,70.754,-1,リー
70.754,70.888,0,し
70.754,70.888,-1,し
70.888,71.088,0,た
70.888,71.088,-1,た
71.088,71.422,0,ら
71.088,71.422,-1,ら
71.422,71.855,0,わ
71.422,71.855,-1,ワ
71.855,72.189,0,た
71.855,72.189,-1,タ
72.189,72.856,0,し
72.189,72.856,-1,シ
72.856,73.19,0,「ねえ、
72.856,73.19,-1,「ねえ、
73.19,73.39,0,え
73.19,73.39,-1,選
73.39,73.724,0,ら
73.39,73.724,-1,選
73.724,74.058,0,ん
73.724,74.058,-1,ん
74.058,74.825,0,で
74.058,74.825,-1,で
74.825,75.159,0,く
74.825,75.159,-1,く
75.159,75.492,0,れ
75.159,75.492,-1,れ
75.492,75.826,0,る
75.492,75.826,-1,る
75.826,75.993,0,か
75.826,75.993,-1,か
75.993,78.1,0,な
75.993,78.1,-1,な
85.636,85.969,0,ま
85.636,85.969,-1,マ
85.969,86.87,0,じ
85.969,86.87,-1,ジ
86.87,87.271,0,め
86.87,87.271,-1,メ
87.271,88.272,0,な
87.271,88.272,-1,な
88.272,88.605,0,せ
88.272,88.605,-1,性
88.605,89.573,0,い
88.605,89.573,-1,性
89.573,89.94,0,か
89.573,90.908,-1,格
89.94,90.908,0,く
90.908,91.108,0,お
90.908,91.108,-1,お
91.108,91.208,0,は
91.108,91.208,-1,は
91.208,91.542,0,よ
91.208,91.542,-1,よ
91.542,91.742,0,う
91.542,91.742,-1,う
91.742,92.076,0,だ
91.742,92.076,-1,だ
92.076,92.409,0,け
92.076,92.409,-1,け
92.409,93.177,0,で
92.409,93.177,-1,で
93.177,93.51,0,つ
93.177,93.51,-1,伝
93.51,93.844,0,た
93.51,93.844,-1,伝
93.844,94.178,0,わ
93.844,94.178,-1,わ
94.178,94.378,0,る
94.178,94.378,-1,る
94.378,96.146,0,よ
94.378,96.146,-1,よ
96.146,96.447,0,な
96.146,96.447,-1,気
96.447,97.347,0,に
96.447,97.347,-1,気
97.347,97.781,0,げ
97.347,97.781,-1,気
97.781,97.981,0,な
97.781,97.981,-1,な
97.981,98.749,0,い
97.981,98.749,-1,い
98.749,99.083,0,つ
