start,end,line,token
6.457,9.026,91,allotherinstruments&amp;programming:伊藤和馬（arterefact）
3.821,6.457,-1,bass:小林修己
105.522,108.158,7,chorus:ricono
1.218,11.628,0,hololiveidolproject-大切フォトグラフ
113.363,115.999,0,mixingstudio:studioarte
108.158,110.761,0,recording&amp;mixingengineer:菊池司（arterefact）
110.761,113.363,0,recordingstudio:studioarte
228.145,230.747,0,sounddirectedby小濱信慶（arterefact）
230.747,233.417,0,soundproducedby桑原聖（arterefact）
201.418,202.052,0,ね
201.285,201.418,0,と
200.784,201.285,0,が
200.45,200.784,0,り
200.117,200.45,0,あ
199.783,200.117,0,も
199.483,199.783,0,つ
199.316,199.483,0,い
201.418,202.052,-1,ね
201.285,201.418,-1,と
200.784,201.285,-1,が
200.45,200.784,-1,り
200.117,200.45,-1,あ
199.783,200.117,-1,も
199.483,199.783,-1,つ
199.316,199.483,-1,い
179.763,181.098,0,る
179.563,179.763,0,え
179.229,179.563,0,あ
178.929,179.229,0,い
178.595,178.929,0,ら
178.495,178.595,0,わ
178.262,178.495,0,に
178.128,178.262,0,も
177.928,178.128,0,と
177.127,177.928,0,も
176.96,177.127,0,さ
176.627,176.96,0,ら
176.293,176.627,0,つ
175.993,176.293,0,も
175.859,175.993,0,さ
175.692,175.859,0,し
175.559,175.692,0,れ
175.325,175.559,0,う
216.533,217.034,0,う
216.099,216.533,0,お
215.766,216.099,0,た
215.432,215.766,0,う
215.132,215.432,0,ぎ
214.998,215.132,0,な
214.798,214.998,0,つ
214.665,214.798,0,を
214.464,214.665,0,て
213.697,214.464,0,う
213.497,213.697,0,お
213.163,213.497,0,ら
212.829,213.163,0,わ
212.529,212.829,0,り
212.396,212.529,0,き
212.329,212.396,0,っ
212.196,212.329,0,い
212.062,212.196,0,も
211.862,212.062,0,お
99.116,99.65,0,う
98.682,99.116,0,お
98.348,98.682,0,た
98.015,98.348,0,う
97.714,98.015,0,ぎ
97.581,97.714,0,な
97.414,97.581,0,つ
97.247,97.414,0,を
97.047,97.247,0,て
96.313,97.047,0,う
96.08,96.313,0,お
95.712,96.08,0,ら
95.412,95.712,0,わ
95.112,95.412,0,り
94.978,95.112,0,き
94.912,94.978,0,っ
94.778,94.912,0,い
94.645,94.778,0,も
94.445,94.645,0,お
174.558,175.325,0,よ
174.424,174.558,0,い
174.258,174.424,0,な
173.39,174.258,0,り
173.056,173.39,0,た
172.756,173.056,0,じゃ
172.389,172.756,0,て
172.089,172.389,0,う
