start,end,line,unformatted,remainder,prev_remainder,prev_unformatted,token
92.409,93.21,-1,100年後続くなら,ら,,,ら
92.209,92.409,-1,100年後続くなら,なら,ら,100年後続くなら,な
92.009,92.209,-1,100年後続くなら,くなら,なら,100年後続くなら,く
91.642,92.009,-1,100年後続くなら,続くなら,くなら,100年後続くなら,続
91.408,91.642,-1,100年後続くなら,後続くなら,続くなら,100年後続くなら,後
90.808,91.408,-1,100年後続くなら,年後続くなら,後続くなら,100年後続くなら,年
90.04,90.808,-1,100年後続くなら,100年後続くなら,年後続くなら,100年後続くなら,100
153.437,154.037,0,ahh,ahh,100年後続くなら,100年後続くなら,ahh
153.437,154.037,-1,ahh,ahh,ahh,ahh,ahh
165.816,166.216,0,areyouready?,dy?,ahh,ahh,dy?
165.516,165.816,0,areyouready?,ready?,dy?,areyouready?,rea
165.382,165.516,0,areyouready?,youready?,ready?,areyouready?,you
165.182,165.382,0,areyouready?,areyouready?,youready?,areyouready?,are
60.244,60.611,0,areyouready?,dy?,areyouready?,areyouready?,dy?
59.943,60.244,0,areyouready?,ready?,dy?,areyouready?,rea
59.81,59.943,0,areyouready?,youready?,ready?,areyouready?,you
59.643,59.81,0,areyouready?,areyouready?,youready?,areyouready?,are
165.182,166.216,-1,areyouready?,areyouready?,areyouready?,areyouready?,areyouready?
60.244,60.611,-1,areyouready?,dy?,areyouready?,areyouready?,dy?
59.943,60.244,-1,areyouready?,ready?,dy?,areyouready?,rea
59.81,59.943,-1,areyouready?,youready?,ready?,areyouready?,you
59.643,59.81,-1,areyouready?,areyouready?,youready?,areyouready?,are
173.223,176.426,-1,arrangement:赤ティン,arrangement:赤ティン,areyouready?,areyouready?,arrangement:赤ティン
170.02,173.223,-1,mix:アンジェリーナ・フジィ,mix:アンジェリーナ・フジィ,arrangement:赤ティン,arrangement:赤ティン,mix:アンジェリーナ・フジィ
127.411,127.845,0,ohmygod!,god!,mix:アンジェリーナ・フジィ,mix:アンジェリーナ・フジィ,god!
127.111,127.411,0,ohmygod!,mygod!,god!,ohmygod!,my
126.81,127.111,0,ohmygod!,ohmygod!,mygod!,ohmygod!,oh
127.411,127.845,-1,ohmygod!,god!,ohmygod!,ohmygod!,god!
127.111,127.411,-1,ohmygod!,mygod!,god!,ohmygod!,my
126.81,127.111,-1,ohmygod!,ohmygod!,mygod!,ohmygod!,oh
176.426,179.63,-1,vocals:hololiveenglish,vocals:hololiveenglish,ohmygod!,ohmygod!,vocals:hololiveenglish
35.185,35.619,0,あっちこっちどっち,ち,vocals:hololiveenglish,vocals:hololiveenglish,ち
35.019,35.185,0,あっちこっちどっち,どっち,ち,あっちこっちどっち,どっ
34.818,35.019,0,あっちこっちどっち,ちどっち,どっち,あっちこっちどっち,ち
34.618,34.818,0,あっちこっちどっち,こっちどっち,ちどっち,あっちこっちどっち,こっ
34.418,34.618,0,あっちこっちどっち,ちこっちどっち,こっちどっち,あっちこっちどっち,ち
34.218,34.418,0,あっちこっちどっち,あっちこっちどっち,ちこっちどっち,あっちこっちどっち,あっ
35.185,35.619,-1,あっちこっちどっち,ち,あっちこっちどっち,あっちこっちどっち,ち
35.019,35.185,-1,あっちこっちどっち,どっち,ち,あっちこっちどっち,どっ
34.818,35.019,-1,あっちこっちどっち,ちどっち,どっち,あっちこっちどっち,ち
34.618,34.818,-1,あっちこっちどっち,こっちどっち,ちどっち,あっちこっちどっち,こっ
34.418,34.618,-1,あっちこっちどっち,ちこっちどっち,こっちどっち,あっちこっちどっち,ち
34.218,34.418,-1,あっちこっちどっち,あっちこっちどっち,ちこっちどっち,あっちこっちどっち,あっ
243.227,243.627,-1,あと5分いや10分待たせて,て,あっちこっちどっち,あっちこっちどっち,て
243.026,243.227,-1,あと5分いや10分待たせて,せて,て,あと5分いや10分待たせて,せ
242.626,243.026,-1,あと5分いや10分待たせて,たせて,せて,あと5分いや10分待たせて,た
242.426,242.626,-1,あと5分いや10分待たせて,待たせて,たせて,あと5分いや10分待たせて,待
242.226,242.426,-1,あと5分いや10分待たせて,分待たせて,待たせて,あと5分いや10分待たせて,分
242.025,242.226,-1,あと5分いや10分待たせて,10分待たせて,分待たせて,あと5分いや10分待たせて,10
241.825,242.025,-1,あと5分いや10分待たせて,や10分待たせて,10分待たせて,あと5分いや10分待たせて,や
241.725,241.825,-1,あと5分いや10分待たせて,いや10分待たせて,や10分待たせて,あと5分いや10分待たせて,い
240.624,241.725,-1,あと5分いや10分待たせて,分いや10分待たせて,いや10分待たせて,あと5分いや10分待たせて,分
240.224,240.624,-1,あと5分いや10分待たせて,5分いや10分待たせて,分いや10分待たせて,あと5分いや10分待たせて,5
240.023,240.224,-1,あと5分いや10分待たせて,と5分いや10分待たせて,5分いや10分待たせて,あと5分いや10分待たせて,と
239.823,240.023,-1,あと5分いや10分待たせて,あと5分いや10分待たせて,と5分いや10分待たせて,あと5分いや10分待たせて,あ
86.403,86.837,-1,あと5分いや10分待たせて,て,あと5分いや10分待たせて,あと5分いや10分待たせて,て
86.203,86.403,-1,あと5分いや10分待たせて,せて,て,あと5分いや10分待たせて,せ
85.803,86.203,-1,あと5分いや10分待たせて,たせて,せて,あと5分いや10分待たせて,た
85.636,85.803,-1,あと5分いや10分待たせて,待たせて,たせて,あと5分いや10分待たせて,待
85.402,85.636,-1,あと5分いや10分待たせて,分待たせて,待たせて,あと5分いや10分待たせて,分
85.202,85.402,-1,あと5分いや10分待たせて,10分待たせて,分待たせて,あと5分いや10分待たせて,10
85.002,85.202,-1,あと5分いや10分待たせて,や10分待たせて,10分待たせて,あと5分いや10分待たせて,や
84.902,85.002,-1,あと5分いや10分待たせて,いや10分待たせて,や10分待たせて,あと5分いや10分待たせて,い
83.801,84.902,-1,あと5分いや10分待たせて,分いや10分待たせて,いや10分待たせて,あと5分いや10分待たせて,分
83.4,83.801,-1,あと5分いや10分待たせて,5分いや10分待たせて,分いや10分待たせて,あと5分いや10分待たせて,5
83.2,83.4,-1,あと5分いや10分待たせて,と5分いや10分待たせて,5分いや10分待たせて,あと5分いや10分待たせて,と
83.0,83.2,-1,あと5分いや10分待たせて,あと5分いや10分待たせて,と5分いや10分待たせて,あと5分いや10分待たせて,あ
243.227,243.627,0,あとごふんいやじゅっぷんまたせて,て,あと5分いや10分待たせて,あと5分いや10分待たせて,て
243.026,243.227,0,あとごふんいやじゅっぷんまたせて,せて,て,あとごふんいやじゅっぷんまたせて,せ
242.626,243.026,0,あとごふんいやじゅっぷんまたせて,たせて,せて,あとごふんいやじゅっぷんまたせて,た
242.426,242.626,0,あとごふんいやじゅっぷんまたせて,またせて,たせて,あとごふんいやじゅっぷんまたせて,ま
242.226,242.426,0,あとごふんいやじゅっぷんまたせて,ぷんまたせて,またせて,あとごふんいやじゅっぷんまたせて,ぷん
242.025,242.226,0,あとごふんいやじゅっぷんまたせて,じゅっぷんまたせて,ぷんまたせて,あとごふんいやじゅっぷんまたせて,じゅっ
241.825,242.025,0,あとごふんいやじゅっぷんまたせて,やじゅっぷんまたせて,じゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,や
241.725,241.825,0,あとごふんいやじゅっぷんまたせて,いやじゅっぷんまたせて,やじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,い
240.824,241.725,0,あとごふんいやじゅっぷんまたせて,んいやじゅっぷんまたせて,いやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ん
240.624,240.824,0,あとごふんいやじゅっぷんまたせて,ふんいやじゅっぷんまたせて,んいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ふ
240.224,240.624,0,あとごふんいやじゅっぷんまたせて,ごふんいやじゅっぷんまたせて,ふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ご
240.023,240.224,0,あとごふんいやじゅっぷんまたせて,とごふんいやじゅっぷんまたせて,ごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,と
239.823,240.023,0,あとごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,とごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,あ
86.403,86.837,0,あとごふんいやじゅっぷんまたせて,て,あとごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,て
86.203,86.403,0,あとごふんいやじゅっぷんまたせて,せて,て,あとごふんいやじゅっぷんまたせて,せ
85.803,86.203,0,あとごふんいやじゅっぷんまたせて,たせて,せて,あとごふんいやじゅっぷんまたせて,た
85.636,85.803,0,あとごふんいやじゅっぷんまたせて,またせて,たせて,あとごふんいやじゅっぷんまたせて,ま
85.402,85.636,0,あとごふんいやじゅっぷんまたせて,ぷんまたせて,またせて,あとごふんいやじゅっぷんまたせて,ぷん
85.202,85.402,0,あとごふんいやじゅっぷんまたせて,じゅっぷんまたせて,ぷんまたせて,あとごふんいやじゅっぷんまたせて,じゅっ
85.002,85.202,0,あとごふんいやじゅっぷんまたせて,やじゅっぷんまたせて,じゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,や
84.902,85.002,0,あとごふんいやじゅっぷんまたせて,いやじゅっぷんまたせて,やじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,い
84.001,84.902,0,あとごふんいやじゅっぷんまたせて,んいやじゅっぷんまたせて,いやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ん
83.801,84.001,0,あとごふんいやじゅっぷんまたせて,ふんいやじゅっぷんまたせて,んいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ふ
83.4,83.801,0,あとごふんいやじゅっぷんまたせて,ごふんいやじゅっぷんまたせて,ふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ご
83.2,83.4,0,あとごふんいやじゅっぷんまたせて,とごふんいやじゅっぷんまたせて,ごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,と
83.0,83.2,0,あとごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,とごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,あ
44.428,45.195,0,いいかげんにこゆびから,ら,あとごふんいやじゅっぷんまたせて,あとごふんいやじゅっぷんまたせて,ら
44.228,44.428,0,いいかげんにこゆびから,から,ら,いいかげんにこゆびから,か
44.028,44.228,0,いいかげんにこゆびから,びから,から,いいかげんにこゆびから,び
43.827,44.028,0,いいかげんにこゆびから,ゆびから,びから,いいかげんにこゆびから,ゆ
43.627,43.827,0,いいかげんにこゆびから,こゆびから,ゆびから,いいかげんにこゆびから,こ
43.427,43.627,0,いいかげんにこゆびから,にこゆびから,こゆびから,いいかげんにこゆびから,に
42.826,43.427,0,いいかげんにこゆびから,げんにこゆびから,にこゆびから,いいかげんにこゆびから,げん
42.626,42.826,0,いいかげんにこゆびから,かげんにこゆびから,げんにこゆびから,いいかげんにこゆびから,か
42.026,42.626,0,いいかげんにこゆびから,いいかげんにこゆびから,かげんにこゆびから,いいかげんにこゆびから,いい
44.428,45.195,-1,いい加減に小指から,ら,いいかげんにこゆびから,いいかげんにこゆびから,ら
44.228,44.428,-1,いい加減に小指から,から,ら,いい加減に小指から,か
43.827,44.228,-1,いい加減に小指から,指から,から,いい加減に小指から,指
43.627,43.827,-1,いい加減に小指から,小指から,指から,いい加減に小指から,小
43.427,43.627,-1,いい加減に小指から,に小指から,小指から,いい加減に小指から,に
42.826,43.427,-1,いい加減に小指から,減に小指から,に小指から,いい加減に小指から,減
42.626,42.826,-1,いい加減に小指から,加減に小指から,減に小指から,いい加減に小指から,加
42.026,42.626,-1,いい加減に小指から,いい加減に小指から,加減に小指から,いい加減に小指から,いい
205.222,205.822,0,いちばんきれいなはなをさがしにいくんだ,だ,いい加減に小指から,いい加減に小指から,だ
205.022,205.222,0,いちばんきれいなはなをさがしにいくんだ,んだ,だ,いちばんきれいなはなをさがしにいくんだ,ん
204.821,205.022,0,いちばんきれいなはなをさがしにいくんだ,くんだ,んだ,いちばんきれいなはなをさがしにいくんだ,く
204.721,204.821,0,いちばんきれいなはなをさがしにいくんだ,いくんだ,くんだ,いちばんきれいなはなをさがしにいくんだ,い
204.621,204.721,0,いちばんきれいなはなをさがしにいくんだ,にいくんだ,いくんだ,いちばんきれいなはなをさがしにいくんだ,に
204.154,204.621,0,いちばんきれいなはなをさがしにいくんだ,しにいくんだ,にいくんだ,いちばんきれいなはなをさがしにいくんだ,し
204.021,204.154,0,いちばんきれいなはなをさがしにいくんだ,がしにいくんだ,しにいくんだ,いちばんきれいなはなをさがしにいくんだ,が
203.921,204.021,0,いちばんきれいなはなをさがしにいくんだ,さがしにいくんだ,がしにいくんだ,いちばんきれいなはなをさがしにいくんだ,さ
