start,end,line,token
15.165,16.867,-1,2dworks:ロ～ズ
2.82,3.754,0,one
2.653,2.82,0,ry
2.486,2.653,0,eve
2.386,2.486,0,lo
2.252,2.386,0,hel
2.186,2.252,0,lo
2.019,2.186,0,hel
2.82,3.754,-1,one
2.653,2.82,-1,ry
2.486,2.653,-1,eve
2.386,2.486,-1,lo
2.252,2.386,-1,hel
2.186,2.252,-1,lo
2.019,2.186,-1,hel
11.795,13.497,-1,illustration:ちゃっぴー
6.523,6.724,0,じ
6.223,6.523,0,ん
6.123,6.223,0,あ
5.99,6.123,0,こ
5.856,5.99,0,じ
5.689,5.856,0,life
5.456,5.689,0,lie
6.523,6.724,-1,示
6.223,6.523,-1,暗
6.123,6.223,-1,暗
5.99,6.123,-1,己
5.856,5.99,-1,自
5.689,5.856,-1,life
5.456,5.689,-1,lie
16.867,18.535,-1,logo:瑞真えぬ
10.094,11.795,-1,mixingengineer:masahirokawata
13.497,15.165,-1,movie:ねびる
18.535,20.237,-1,vocal:尾丸ポルカ
235.619,235.953,0,れ
235.452,235.619,0,く
235.285,235.452,0,て
235.185,235.285,0,っ
235.085,235.185,0,い
234.885,235.085,0,い
234.651,234.885,0,か
234.551,234.651,0,っ
234.451,234.551,0,い
234.351,234.451,0,だ
234.251,234.351,0,た
233.917,234.251,0,と
233.75,233.917,0,よ
233.584,233.75,0,な
233.417,233.584,0,る
233.183,233.417,0,の
232.983,233.183,0,に
232.816,232.983,0,し
232.649,232.816,0,う
232.549,232.649,0,「ちょ
31.548,32.483,0,る
31.448,31.548,0,た
31.248,31.448,0,か
31.115,31.248,0,が
31.015,31.115,0,か
30.914,31.015,0,れ
30.814,30.914,0,だ
29.88,30.814,0,time
29.58,29.88,0,show
29.413,29.58,0,た
29.313,29.413,0,て
29.213,29.313,0,っ
29.113,29.213,0,「ま
241.858,242.693,0,と
241.758,241.858,0,い
241.525,241.758,0,な
241.391,241.525,0,わ
241.225,241.391,0,な
241.024,241.225,0,か
240.691,241.024,0,は
240.591,240.691,0,り
240.39,240.591,0,ど
240.19,240.39,0,も
239.957,240.19,0,と
239.756,239.957,0,あ
239.523,239.756,0,う
239.323,239.523,0,「も
241.858,242.693,-1,と
241.758,241.858,-1,い
241.525,241.758,-1,な
241.391,241.525,-1,わ
241.225,241.391,-1,叶
241.024,241.225,-1,叶
240.691,241.024,-1,は
240.591,240.691,-1,り
240.39,240.591,-1,戻
240.19,240.39,-1,戻
239.957,240.19,-1,後
239.756,239.957,-1,後
239.523,239.756,-1,う
239.323,239.523,-1,「も
24.775,25.743,0,る
