start,end,line,token
7.257,9.693,92,作詞:新田目駿(hano)
7.257,16.967,0,irys-心臓が止まるまでvocal:irys
9.693,12.096,92,作曲:hato
12.096,14.531,92,編曲:佐藤カズキ
14.531,16.967,91,イラスト:岐兎こるたmv:あるし
17.568,17.868,92,ま
17.568,17.868,0,ま
17.868,18.836,92,だ
17.868,18.836,0,だ
18.836,19.069,92,こ
18.836,19.069,0,こ
19.069,19.37,92,の
19.069,19.37,0,の
19.37,19.87,92,脚
19.37,19.87,0,あ
19.87,20.304,92,脚
19.87,20.304,0,し
20.304,21.505,92,は
20.304,21.505,0,は
21.505,21.805,92,歩
21.505,21.805,0,あ
21.805,22.306,92,歩
21.805,22.306,0,る
22.306,22.706,92,け
22.306,22.706,0,け
22.706,23.607,92,る
22.706,23.607,0,る
27.244,27.544,92,ま
27.244,27.544,0,ま
27.544,28.479,92,だ
27.544,28.479,0,だ
28.479,28.779,92,こ
28.479,28.779,0,こ
28.779,29.079,92,の
28.779,29.079,0,の
29.079,29.546,92,両
29.079,29.313,0,りょ
29.313,29.546,0,う
29.546,29.98,92,手
29.546,29.98,0,て
29.98,31.215,92,は
29.98,31.215,0,は
31.215,31.515,92,明
31.215,31.515,0,あ
31.515,31.982,92,日
31.515,31.982,0,す
31.982,32.416,92,を
31.982,32.416,0,を
32.416,33.35,92,掴
32.416,33.35,0,つ
33.35,33.617,92,掴
33.35,33.617,0,か
33.617,34.518,92,む
33.617,34.518,0,む
37.554,37.955,92,で
37.554,37.955,0,ゆ
37.955,38.155,92,で
37.955,38.155,0,め
38.155,38.589,92,で
38.155,38.589,0,で
38.589,38.756,92,さ
38.589,38.756,0,さ
38.756,40.591,92,え
38.756,40.591,0,え
40.591,40.724,92,涙
40.591,40.724,0,な
40.724,40.891,92,涙
40.724,40.891,0,み
40.891,41.191,92,涙
40.891,41.191,0,だ
41.191,41.592,92,が
41.191,41.592,0,が
41.592,41.725,92,消
41.592,41.725,0,き
41.725,41.959,92,え
41.725,41.959,0,え
41.959,42.092,92,な
41.959,42.092,0,な
42.092,45.429,92,い
42.092,45.429,0,い
45.429,45.729,92,な
45.429,45.729,0,な
45.729,47.264,92,ら
45.729,47.264,0,ら
47.264,47.731,92,は
47.264,47.731,0,ぼ
47.731,47.865,92,は
47.731,47.865,0,く
47.865,48.332,92,は
47.865,48.332,0,は
48.332,48.499,92,ま
48.332,48.499,0,ま
48.499,50.3,92,だ
48.499,50.3,0,だ
50.3,50.467,92,行
50.3,50.467,0,い
50.467,50.901,92,け
50.467,50.901,0,け
50.901,53.604,92,る
50.901,53.604,0,る
53.604,53.971,92,を
53.604,53.971,0,あ
53.971,54.238,92,を
53.971,54.238,0,し
54.238,54.538,92,を
54.238,54.538,0,を
54.538,54.838,92,踏
54.538,54.838,0,ふ
54.838,55.139,92,み
54.838,55.139,0,み
55.139,55.439,92,鳴
55.139,55.439,0,な
55.439,56.04,92,ら
55.439,56.04,0,ら
56.04,57.274,92,せ
56.04,57.274,0,せ
57.274,57.574,92,想
57.274,57.574,0,げ
57.574,57.841,92,想
57.574,57.841,0,ん
57.841,58.275,92,想
57.841,58.275,0,そ
58.275,58.509,92,想
58.275,58.509,0,う
58.509,59.71,92,を
58.509,59.71,0,を
59.71,59.977,92,貫
59.71,59.977,0,つ
59.977,60.277,92,貫
59.977,60.277,0,ら
60.277,60.711,92,貫
60.277,60.711,0,ぬ
60.711,60.911,92,い
60.711,60.911,0,い
60.911,62.079,92,て
60.911,62.079,0,て
61.478,61.645,85,い
61.478,61.645,7,（お
61.645,61.812,85,い
61.645,61.812,7,も
61.812,62.079,85,い
61.812,62.079,7,い
62.079,62.246,85,の
62.079,62.246,7,の
62.246,62.379,85,ま
62.246,62.379,7,ま
62.379,63.28,85,ま）
62.379,63.28,7,ま）
63.28,63.614,92,を
63.28,63.614,0,か
63.614,63.881,92,を
63.614,63.881,0,べ
63.881,64.214,92,を
63.881,64.214,0,を
64.214,64.515,92,踏
64.214,64.515,0,ふ
64.515,64.815,92,み
64.515,64.815,0,み
64.815,65.115,92,均
64.815,65.115,0,な
65.115,65.716,92,均
65.115,65.716,0,ら
65.716,66.95,92,せ
65.716,66.95,0,せ
66.95,67.251,92,界
66.95,67.251,0,げ
67.251,67.551,92,界
67.251,67.551,0,ん
67.551,67.851,92,界
67.551,67.851,0,か
67.851,68.185,92,界
67.851,68.185,0,い
68.185,69.253,92,を
68.185,69.253,0,を
69.253,69.653,92,知
69.253,69.653,0,し
69.653,69.987,92,ら
69.653,69.987,0,ら
69.987,70.254,92,な
69.987,70.254,0,な
70.254,70.587,92,い
70.254,70.587,0,い
70.587,70.721,92,か
70.587,70.721,0,お
70.721,70.888,92,か
70.721,70.888,0,ろ
70.888,71.321,92,か
70.888,71.321,0,か
71.321,71.522,92,な
71.321,71.522,0,な
71.522,71.955,92,僕
71.522,71.955,0,ぼ
71.955,72.089,92,僕
71.955,72.089,0,く
72.089,72.556,92,の
72.089,72.556,0,の
72.556,72.723,92,ま
72.556,72.723,0,ま
72.723,74.525,92,ま
72.723,74.525,0,ま
75.726,76.326,92,（何
75.726,76.16,0,（な
76.16,76.326,0,ん
76.326,76.794,92,回
76.326,76.627,0,か
76.627,76.794,0,い
76.794,77.261,92,で
76.794,77.261,0,で
77.261,78.162,92,も
77.261,78.162,0,も
78.162,78.762,92,何
78.162,78.562,0,な
78.562,78.762,0,ん
78.762,79.229,92,回
78.762,79.063,0,か
79.063,79.229,0,い
79.229,79.663,92,で
79.229,79.663,0,で
79.663,80.564,92,も
79.663,80.564,0,も
80.564,81.198,92,間
80.564,81.198,0,ま
81.198,81.465,92,違
81.198,81.465,0,ち
81.465,81.632,92,違
81.465,81.632,0,が
81.632,81.765,92,っ
81.632,81.765,0,っ
81.765,82.066,92,て
81.765,82.066,0,て
82.066,82.699,92,も）
82.066,82.699,0,も）
82.699,83.0,92,か
82.699,83.0,0,た
83.0,83.3,92,か
83.0,83.3,0,し
83.3,83.6,92,か
83.3,83.6,0,か
83.6,83.901,92,に
83.6,83.901,0,に
83.901,84.201,92,先
83.901,84.201,0,さ
84.201,84.535,92,先
84.201,84.535,0,き
84.535,85.436,92,へ
84.535,85.436,0,へ
85.436,86.036,92,（何
85.436,85.869,0,（な
85.869,86.036,0,ん
86.036,86.503,92,回
86.036,86.336,0,か
86.336,86.503,0,い
86.503,86.937,92,で
86.503,86.937,0,で
86.937,87.871,92,も
86.937,87.871,0,も
87.871,88.472,92,何
87.871,88.305,0,な
88.305,88.472,0,ん
88.472,88.906,92,回
88.472,88.772,0,か
88.772,88.906,0,い
88.906,89.373,92,で
88.906,89.373,0,で
89.373,90.274,92,も
89.373,90.274,0,も
90.274,90.874,92,進
90.274,90.874,0,す
90.874,91.208,92,進
90.874,91.208,0,す
91.208,91.508,92,む
91.208,91.508,0,む
91.508,91.775,92,だ
91.508,91.775,0,だ
91.775,92.409,92,け）
91.775,92.409,0,け）
92.409,92.543,92,臓
92.409,92.543,0,し
92.543,92.676,92,臓
92.543,92.676,0,ん
92.676,92.843,92,臓
92.676,92.843,0,ぞ
92.843,93.01,92,臓
92.843,93.01,0,う
93.01,93.177,92,が
93.01,93.177,0,が
93.177,93.31,92,止
93.177,93.31,0,と
93.31,93.61,92,ま
93.31,93.61,0,ま
93.61,93.911,92,る
93.61,93.911,0,る
93.911,94.211,92,ま
93.911,94.211,0,ま
94.211,95.145,92,で
94.211,95.145,0,で
104.822,105.122,92,ま
104.822,105.122,0,ま
105.122,106.09,92,だ
105.122,106.09,0,だ
106.09,106.356,92,こ
106.09,106.356,0,こ
