start,end,line,unformatted,remainder,prev_remainder,prev_unformatted,token
21.605,23.073,83,programming&amp;allotherinstruments：秋浦智裕(agehaspringsparty),programming&amp;allotherinstruments：秋浦智裕(agehaspringsparty),,,programming&amp;allotherinstruments：秋浦智裕(agehaspringsparty)
15.733,21.605,7,shinysmilystory/hololiveidolproject,shinysmilystory/hololiveidolproject,programming&amp;allotherinstruments：秋浦智裕(agehaspringsparty),programming&amp;allotherinstruments：秋浦智裕(agehaspringsparty),shinysmilystory/hololiveidolproject
20.137,21.605,85,strings：吉田宇宙ストリングス,strings：吉田宇宙ストリングス,shinysmilystory/hololiveidolproject,shinysmilystory/hololiveidolproject,strings：吉田宇宙ストリングス
23.073,24.541,85,vocal：hololiveidolproject,vocal：hololiveidolproject,strings：吉田宇宙ストリングス,strings：吉田宇宙ストリングス,vocal：hololiveidolproject
54.371,55.072,0,あきらめのもじ,じ,vocal：hololiveidolproject,vocal：hololiveidolproject,じ
54.171,54.371,0,あきらめのもじ,もじ,じ,あきらめのもじ,も
53.804,54.171,0,あきらめのもじ,のもじ,もじ,あきらめのもじ,の
53.604,53.804,0,あきらめのもじ,めのもじ,のもじ,あきらめのもじ,め
53.237,53.604,0,あきらめのもじ,らめのもじ,めのもじ,あきらめのもじ,ら
53.07,53.237,0,あきらめのもじ,きらめのもじ,らめのもじ,あきらめのもじ,き
52.87,53.07,0,あきらめのもじ,あきらめのもじ,きらめのもじ,あきらめのもじ,あ
81.432,81.965,0,あくせすしてみたい,い,あきらめのもじ,あきらめのもじ,い
81.065,81.432,0,あくせすしてみたい,たい,い,あくせすしてみたい,た
80.864,81.065,0,あくせすしてみたい,みたい,たい,あくせすしてみたい,み
80.664,80.864,0,あくせすしてみたい,てみたい,みたい,あくせすしてみたい,て
80.264,80.664,0,あくせすしてみたい,してみたい,てみたい,あくせすしてみたい,し
80.097,80.264,0,あくせすしてみたい,すしてみたい,してみたい,あくせすしてみたい,す
79.763,80.097,0,あくせすしてみたい,せすしてみたい,すしてみたい,あくせすしてみたい,せ
79.396,79.763,0,あくせすしてみたい,くせすしてみたい,せすしてみたい,あくせすしてみたい,く
79.029,79.396,0,あくせすしてみたい,あくせすしてみたい,くせすしてみたい,あくせすしてみたい,あ
9.259,9.626,0,あのゆめてにしたい,い,あくせすしてみたい,あくせすしてみたい,い
8.892,9.259,0,あのゆめてにしたい,たい,い,あのゆめてにしたい,た
8.726,8.892,0,あのゆめてにしたい,したい,たい,あのゆめてにしたい,し
8.525,8.726,0,あのゆめてにしたい,にしたい,したい,あのゆめてにしたい,に
8.158,8.525,0,あのゆめてにしたい,てにしたい,にしたい,あのゆめてにしたい,て
7.925,8.158,0,あのゆめてにしたい,めてにしたい,てにしたい,あのゆめてにしたい,め
7.591,7.925,0,あのゆめてにしたい,ゆめてにしたい,めてにしたい,あのゆめてにしたい,ゆ
7.224,7.591,0,あのゆめてにしたい,のゆめてにしたい,ゆめてにしたい,あのゆめてにしたい,の
6.857,7.224,0,あのゆめてにしたい,あのゆめてにしたい,のゆめてにしたい,あのゆめてにしたい,あ
9.259,9.626,-1,あの夢手にしたい,い,あのゆめてにしたい,あのゆめてにしたい,い
8.892,9.259,-1,あの夢手にしたい,たい,い,あの夢手にしたい,た
8.726,8.892,-1,あの夢手にしたい,したい,たい,あの夢手にしたい,し
8.525,8.726,-1,あの夢手にしたい,にしたい,したい,あの夢手にしたい,に
8.158,8.525,-1,あの夢手にしたい,手にしたい,にしたい,あの夢手にしたい,手
7.591,8.158,-1,あの夢手にしたい,夢手にしたい,手にしたい,あの夢手にしたい,夢
7.224,7.591,-1,あの夢手にしたい,の夢手にしたい,夢手にしたい,あの夢手にしたい,の
6.857,7.224,-1,あの夢手にしたい,あの夢手にしたい,の夢手にしたい,あの夢手にしたい,あ
44.962,46.096,0,うまくちゅーにんぐして,て,あの夢手にしたい,あの夢手にしたい,て
44.762,44.962,0,うまくちゅーにんぐして,して,て,うまくちゅーにんぐして,し
44.595,44.762,0,うまくちゅーにんぐして,ぐして,して,うまくちゅーにんぐして,ぐ
44.228,44.595,0,うまくちゅーにんぐして,んぐして,ぐして,うまくちゅーにんぐして,ん
44.028,44.228,0,うまくちゅーにんぐして,にんぐして,んぐして,うまくちゅーにんぐして,に
43.827,44.028,0,うまくちゅーにんぐして,ーにんぐして,にんぐして,うまくちゅーにんぐして,ー
43.66,43.827,0,うまくちゅーにんぐして,ちゅーにんぐして,ーにんぐして,うまくちゅーにんぐして,ちゅ
43.46,43.66,0,うまくちゅーにんぐして,くちゅーにんぐして,ちゅーにんぐして,うまくちゅーにんぐして,く
43.293,43.46,0,うまくちゅーにんぐして,まくちゅーにんぐして,くちゅーにんぐして,うまくちゅーにんぐして,ま
43.127,43.293,0,うまくちゅーにんぐして,うまくちゅーにんぐして,まくちゅーにんぐして,うまくちゅーにんぐして,う
6.29,6.857,0,おなじみらいをみていたい,い,うまくちゅーにんぐして,うまくちゅーにんぐして,い
5.956,6.29,0,おなじみらいをみていたい,たい,い,おなじみらいをみていたい,た
5.789,5.956,0,おなじみらいをみていたい,いたい,たい,おなじみらいをみていたい,い
5.622,5.789,0,おなじみらいをみていたい,ていたい,いたい,おなじみらいをみていたい,て
5.222,5.622,0,おなじみらいをみていたい,みていたい,ていたい,おなじみらいをみていたい,み
5.022,5.222,0,おなじみらいをみていたい,をみていたい,みていたい,おなじみらいをみていたい,を
4.655,5.022,0,おなじみらいをみていたい,いをみていたい,をみていたい,おなじみらいをみていたい,い
4.288,4.655,0,おなじみらいをみていたい,らいをみていたい,いをみていたい,おなじみらいをみていたい,ら
3.954,4.288,0,おなじみらいをみていたい,みらいをみていたい,らいをみていたい,おなじみらいをみていたい,み
3.721,3.954,0,おなじみらいをみていたい,じみらいをみていたい,みらいをみていたい,おなじみらいをみていたい,じ
3.587,3.721,0,おなじみらいをみていたい,なじみらいをみていたい,じみらいをみていたい,おなじみらいをみていたい,な
3.387,3.587,0,おなじみらいをみていたい,おなじみらいをみていたい,なじみらいをみていたい,おなじみらいをみていたい,お
60.611,61.712,0,くるしいときももうわたしは,は,おなじみらいをみていたい,おなじみらいをみていたい,は
60.444,60.611,0,くるしいときももうわたしは,しは,は,くるしいときももうわたしは,し
60.277,60.444,0,くるしいときももうわたしは,たしは,しは,くるしいときももうわたしは,た
60.077,60.277,0,くるしいときももうわたしは,わたしは,たしは,くるしいときももうわたしは,わ
59.877,60.077,0,くるしいときももうわたしは,うわたしは,わたしは,くるしいときももうわたしは,う
59.71,59.877,0,くるしいときももうわたしは,もうわたしは,うわたしは,くるしいときももうわたしは,も
59.143,59.71,0,くるしいときももうわたしは,ももうわたしは,もうわたしは,くるしいときももうわたしは,も
58.976,59.143,0,くるしいときももうわたしは,きももうわたしは,ももうわたしは,くるしいときももうわたしは,き
58.776,58.976,0,くるしいときももうわたしは,ときももうわたしは,きももうわたしは,くるしいときももうわたしは,と
58.609,58.776,0,くるしいときももうわたしは,いときももうわたしは,ときももうわたしは,くるしいときももうわたしは,い
58.242,58.609,0,くるしいときももうわたしは,しいときももうわたしは,いときももうわたしは,くるしいときももうわたしは,し
58.042,58.242,0,くるしいときももうわたしは,るしいときももうわたしは,しいときももうわたしは,くるしいときももうわたしは,る
57.875,58.042,0,くるしいときももうわたしは,くるしいときももうわたしは,るしいときももうわたしは,くるしいときももうわたしは,く
84.334,84.735,0,こうかいなんてそうさせない,い,くるしいときももうわたしは,くるしいときももうわたしは,い
84.001,84.334,0,こうかいなんてそうさせない,ない,い,こうかいなんてそうさせない,な
83.801,84.001,0,こうかいなんてそうさせない,せない,ない,こうかいなんてそうさせない,せ
83.6,83.801,0,こうかいなんてそうさせない,させない,せない,こうかいなんてそうさせない,さ
83.434,83.6,0,こうかいなんてそうさせない,うさせない,させない,こうかいなんてそうさせない,う
83.267,83.434,0,こうかいなんてそうさせない,そうさせない,うさせない,こうかいなんてそうさせない,そ
83.067,83.267,0,こうかいなんてそうさせない,てそうさせない,そうさせない,こうかいなんてそうさせない,て
82.9,83.067,0,こうかいなんてそうさせない,んてそうさせない,てそうさせない,こうかいなんてそうさせない,ん
82.699,82.9,0,こうかいなんてそうさせない,なんてそうさせない,んてそうさせない,こうかいなんてそうさせない,な
82.533,82.699,0,こうかいなんてそうさせない,いなんてそうさせない,なんてそうさせない,こうかいなんてそうさせない,い
82.332,82.533,0,こうかいなんてそうさせない,かいなんてそうさせない,いなんてそうさせない,こうかいなんてそうさせない,か
82.166,82.332,0,こうかいなんてそうさせない,うかいなんてそうさせない,かいなんてそうさせない,こうかいなんてそうさせない,う
81.965,82.166,0,こうかいなんてそうさせない,こうかいなんてそうさせない,うかいなんてそうさせない,こうかいなんてそうさせない,こ
90.641,93.744,0,こころではしれgo,go,こうかいなんてそうさせない,こうかいなんてそうさせない,go
90.407,90.641,0,こころではしれgo,れgo,go,こころではしれgo,れ
90.074,90.407,0,こころではしれgo,しれgo,れgo,こころではしれgo,し
89.873,90.074,0,こころではしれgo,はしれgo,しれgo,こころではしれgo,は
88.405,89.873,0,こころではしれgo,ではしれgo,はしれgo,こころではしれgo,で
88.072,88.405,0,こころではしれgo,ろではしれgo,ではしれgo,こころではしれgo,ろ
87.838,88.072,0,こころではしれgo,ころではしれgo,ろではしれgo,こころではしれgo,こ
87.671,87.838,0,こころではしれgo,こころではしれgo,ころではしれgo,こころではしれgo,こ
15.532,18.635,0,こころではしれgo,go,こころではしれgo,こころではしれgo,go
15.299,15.532,0,こころではしれgo,れgo,go,こころではしれgo,れ
14.965,15.299,0,こころではしれgo,しれgo,れgo,こころではしれgo,し
14.765,14.965,0,こころではしれgo,はしれgo,しれgo,こころではしれgo,は
13.33,14.765,0,こころではしれgo,ではしれgo,はしれgo,こころではしれgo,で
12.963,13.33,0,こころではしれgo,ろではしれgo,ではしれgo,こころではしれgo,ろ
12.73,12.963,0,こころではしれgo,ころではしれgo,ろではしれgo,こころではしれgo,こ
12.563,12.73,0,こころではしれgo,こころではしれgo,ころではしれgo,こころではしれgo,こ
40.157,40.958,0,このひとみうばわれた,た,こころではしれgo,こころではしれgo,た
39.79,40.157,0,このひとみうばわれた,れた,た,このひとみうばわれた,れ
39.423,39.79,0,このひとみうばわれた,われた,れた,このひとみうばわれた,わ
39.256,39.423,0,このひとみうばわれた,ばわれた,われた,このひとみうばわれた,ば
39.056,39.256,0,このひとみうばわれた,うばわれた,ばわれた,このひとみうばわれた,う
38.889,39.056,0,このひとみうばわれた,みうばわれた,うばわれた,このひとみうばわれた,み
38.522,38.889,0,このひとみうばわれた,とみうばわれた,みうばわれた,このひとみうばわれた,と
38.155,38.522,0,このひとみうばわれた,ひとみうばわれた,とみうばわれた,このひとみうばわれた,ひ
37.788,38.155,0,このひとみうばわれた,のひとみうばわれた,ひとみうばわれた,このひとみうばわれた,の
37.588,37.788,0,このひとみうばわれた,このひとみうばわれた,のひとみうばわれた,このひとみうばわれた,こ
40.157,40.958,-1,この瞳奪われた,た,このひとみうばわれた,このひとみうばわれた,た
39.79,40.157,-1,この瞳奪われた,れた,た,この瞳奪われた,れ
39.423,39.79,-1,この瞳奪われた,われた,れた,この瞳奪われた,わ
39.056,39.423,-1,この瞳奪われた,奪われた,われた,この瞳奪われた,奪
38.155,39.056,-1,この瞳奪われた,瞳奪われた,奪われた,この瞳奪われた,瞳
37.788,38.155,-1,この瞳奪われた,の瞳奪われた,瞳奪われた,この瞳奪われた,の
37.588,37.788,-1,この瞳奪われた,この瞳奪われた,の瞳奪われた,この瞳奪われた,こ
78.295,79.029,0,せかいみせてあげる,る,この瞳奪われた,この瞳奪われた,る
78.095,78.295,0,せかいみせてあげる,げる,る,せかいみせてあげる,げ
77.528,78.095,0,せかいみせてあげる,あげる,げる,せかいみせてあげる,あ
77.161,77.528,0,せかいみせてあげる,てあげる,あげる,せかいみせてあげる,て
76.794,77.161,0,せかいみせてあげる,せてあげる,てあげる,せかいみせてあげる,せ
76.46,76.794,0,せかいみせてあげる,みせてあげる,せてあげる,せかいみせてあげる,み
76.26,76.46,0,せかいみせてあげる,いみせてあげる,みせてあげる,せかいみせてあげる,い
76.06,76.26,0,せかいみせてあげる,かいみせてあげる,いみせてあげる,せかいみせてあげる,か
75.893,76.06,0,せかいみせてあげる,せかいみせてあげる,かいみせてあげる,せかいみせてあげる,せ
75.159,75.893,0,そうぞうこえてく,く,せかいみせてあげる,せかいみせてあげる,く
74.792,75.159,0,そうぞうこえてく,てく,く,そうぞうこえてく,て
74.591,74.792,0,そうぞうこえてく,えてく,てく,そうぞうこえてく,え
74.425,74.591,0,そうぞうこえてく,こえてく,えてく,そうぞうこえてく,こ
73.69,74.425,0,そうぞうこえてく,うこえてく,こえてく,そうぞうこえてく,う
73.323,73.69,0,そうぞうこえてく,ぞうこえてく,うこえてく,そうぞうこえてく,ぞ
73.123,73.323,0,そうぞうこえてく,うぞうこえてく,ぞうこえてく,そうぞうこえてく,う
72.956,73.123,0,そうぞうこえてく,そうぞうこえてく,うぞうこえてく,そうぞうこえてく,そ
86.937,87.671,0,それぞれちがった,た,そうぞうこえてく,そうぞうこえてく,た
86.57,86.937,0,それぞれちがった,った,た,それぞれちがった,っ
86.37,86.57,0,それぞれちがった,がった,った,それぞれちがった,が
86.17,86.37,0,それぞれちがった,ちがった,がった,それぞれちがった,ち
85.469,86.17,0,それぞれちがった,れちがった,ちがった,それぞれちがった,れ
85.102,85.469,0,それぞれちがった,ぞれちがった,れちがった,それぞれちがった,ぞ
84.935,85.102,0,それぞれちがった,れぞれちがった,ぞれちがった,それぞれちがった,れ
84.735,84.935,0,それぞれちがった,それぞれちがった,れぞれちがった,それぞれちがった,そ
11.829,12.563,0,それぞれちがった,た,それぞれちがった,それぞれちがった,た
11.462,11.829,0,それぞれちがった,った,た,それぞれちがった,っ
11.261,11.462,0,それぞれちがった,がった,った,それぞれちがった,が
11.028,11.261,0,それぞれちがった,ちがった,がった,それぞれちがった,ち
10.361,11.028,0,それぞれちがった,れちがった,ちがった,それぞれちがった,れ
9.994,10.361,0,それぞれちがった,ぞれちがった,れちがった,それぞれちがった,ぞ
9.793,9.994,0,それぞれちがった,れぞれちがった,ぞれちがった,それぞれちがった,れ
9.626,9.793,0,それぞれちがった,それぞれちがった,れぞれちがった,それぞれちがった,そ
86.937,87.671,-1,それぞれ違った,た,それぞれちがった,それぞれちがった,た
86.57,86.937,-1,それぞれ違った,った,た,それぞれ違った,っ
86.17,86.57,-1,それぞれ違った,違った,った,それぞれ違った,違
85.469,86.17,-1,それぞれ違った,れ違った,違った,それぞれ違った,れ
85.102,85.469,-1,それぞれ違った,ぞれ違った,れ違った,それぞれ違った,ぞ
84.935,85.102,-1,それぞれ違った,れぞれ違った,ぞれ違った,それぞれ違った,れ
84.735,84.935,-1,それぞれ違った,それぞれ違った,れぞれ違った,それぞれ違った,そ
11.829,12.563,-1,それぞれ違った,た,それぞれ違った,それぞれ違った,た
11.462,11.829,-1,それぞれ違った,った,た,それぞれ違った,っ
11.028,11.462,-1,それぞれ違った,違った,った,それぞれ違った,違
10.361,11.028,-1,それぞれ違った,れ違った,違った,それぞれ違った,れ
9.994,10.361,-1,それぞれ違った,ぞれ違った,れ違った,それぞれ違った,ぞ
9.793,9.994,-1,それぞれ違った,れぞれ違った,ぞれ違った,それぞれ違った,れ
9.626,9.793,-1,それぞれ違った,それぞれ違った,れぞれ違った,それぞれ違った,そ
69.653,70.187,0,だからもっとゆめおいかけたい,い,それぞれ違った,それぞれ違った,い
69.253,69.653,0,だからもっとゆめおいかけたい,たい,い,だからもっとゆめおいかけたい,た
69.086,69.253,0,だからもっとゆめおいかけたい,けたい,たい,だからもっとゆめおいかけたい,け
68.919,69.086,0,だからもっとゆめおいかけたい,かけたい,けたい,だからもっとゆめおいかけたい,か
68.719,68.919,0,だからもっとゆめおいかけたい,いかけたい,かけたい,だからもっとゆめおいかけたい,い
68.552,68.719,0,だからもっとゆめおいかけたい,おいかけたい,いかけたい,だからもっとゆめおいかけたい,お
68.318,68.552,0,だからもっとゆめおいかけたい,めおいかけたい,おいかけたい,だからもっとゆめおいかけたい,め
67.951,68.318,0,だからもっとゆめおいかけたい,ゆめおいかけたい,めおいかけたい,だからもっとゆめおいかけたい,ゆ
67.618,67.951,0,だからもっとゆめおいかけたい,とゆめおいかけたい,ゆめおいかけたい,だからもっとゆめおいかけたい,と
