start,end,position,line,text
00:00:07.725,00:00:07.858,-1,-1,"<1></c><3>さぁ…始</c><2>めよう</c><3>。</c><1></c>"
00:00:07.858,00:00:07.992,-1,0,"<1></c><3>さぁ…はじめ</c><2>よう</c><3>。</c><1></c>"
00:00:07.858,00:00:07.992,-1,-1,"<1></c><3>さぁ…始め</c><2>よう</c><3>。</c><1></c>"
00:00:07.992,00:00:08.158,-1,0,"<1></c><3>さぁ…はじめよ</c><2>う</c><3>。</c><1></c>"
00:00:07.992,00:00:08.158,-1,-1,"<1></c><3>さぁ…始めよ</c><2>う</c><3>。</c><1></c>"
00:00:08.158,00:00:08.392,-1,0,"<1></c><3>さぁ…はじめよう。</c><1></c>"
00:00:08.158,00:00:08.392,-1,-1,"<1></c><3>さぁ…始めよう。</c><1></c>"
00:00:08.392,00:00:15.165,-1,0,"<1></c><3>ペルソナ／尾丸ポルカ</c><1></c>"
00:00:08.392,00:00:10.094,-1,-1,"<1></c><3>作曲・編曲・作詞：umavs.モリモリあつし</c><1></c>"
00:00:10.094,00:00:11.795,64,-1,"<1></c><3>MixingEngineer:MasahiroKawata</c><1></c>"
00:00:11.795,00:00:13.497,-1,-1,"<1></c><3>Illustration:ちゃっぴー</c><1></c>"
00:00:13.497,00:00:15.165,-1,-1,"<1></c><3>Movie:ねびる</c><1></c>"
00:00:15.165,00:00:16.867,-1,-1,"<1></c><3>2DWorks:ロ～ズ</c><1></c>"
00:00:16.867,00:00:18.535,-1,-1,"<1></c><3>Logo:瑞真えぬ</c><1></c>"
00:00:18.535,00:00:20.237,-1,-1,"<1></c><3>Vocal:尾丸ポルカ</c><1></c>"
00:00:22.339,00:00:22.439,58,0,"<1></c><3>「よ</c><2>うこそPartyNight</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:22.339,00:00:22.439,-1,-1,"<1></c><3>「よ</c><2>うこそPartyNight</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:22.439,00:00:22.573,58,0,"<1></c><3>「よう</c><2>こそPartyNight</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:22.439,00:00:22.573,-1,-1,"<1></c><3>「よう</c><2>こそPartyNight</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:22.573,00:00:22.673,58,0,"<1></c><3>「ようこ</c><2>そPartyNight</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:22.573,00:00:22.673,-1,-1,"<1></c><3>「ようこ</c><2>そPartyNight</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:22.673,00:00:22.773,58,0,"<1></c><3>「ようこそ</c><2>PartyNight</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:22.673,00:00:22.773,-1,-1,"<1></c><3>「ようこそ</c><2>PartyNight</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:22.773,00:00:22.973,58,0,"<1></c><3>「ようこそPar</c><2>tyNight</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:22.773,00:00:22.973,-1,-1,"<1></c><3>「ようこそPar</c><2>tyNight</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:22.973,00:00:23.107,58,0,"<1></c><3>「ようこそParty</c><2>Night</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:22.973,00:00:23.107,-1,-1,"<1></c><3>「ようこそParty</c><2>Night</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:23.107,00:00:24.041,58,0,"<1></c><3>「ようこそPartyNight」</c><2>だれかがかたる</c><1></c>"
00:00:23.107,00:00:24.041,-1,-1,"<1></c><3>「ようこそPartyNight」</c><2>誰かが語る</c><1></c>"
00:00:24.041,00:00:24.141,58,0,"<1></c><3>「ようこそPartyNight」だ</c><2>れかがかたる</c><1></c>"
00:00:24.041,00:00:24.141,-1,-1,"<1></c><3>「ようこそPartyNight」誰</c><2>かが語る</c><1></c>"
00:00:24.141,00:00:24.241,58,0,"<1></c><3>「ようこそPartyNight」だれ</c><2>かがかたる</c><1></c>"
00:00:24.141,00:00:24.241,-1,-1,"<1></c><3>「ようこそPartyNight」誰</c><2>かが語る</c><1></c>"
00:00:24.241,00:00:24.375,58,0,"<1></c><3>「ようこそPartyNight」だれか</c><2>がかたる</c><1></c>"
00:00:24.241,00:00:24.375,-1,-1,"<1></c><3>「ようこそPartyNight」誰か</c><2>が語る</c><1></c>"
00:00:24.375,00:00:24.475,58,0,"<1></c><3>「ようこそPartyNight」だれかが</c><2>かたる</c><1></c>"
00:00:24.375,00:00:24.475,-1,-1,"<1></c><3>「ようこそPartyNight」誰かが</c><2>語る</c><1></c>"
00:00:24.475,00:00:24.675,58,0,"<1></c><3>「ようこそPartyNight」だれかがか</c><2>たる</c><1></c>"
00:00:24.475,00:00:24.675,-1,-1,"<1></c><3>「ようこそPartyNight」誰かが語</c><2>る</c><1></c>"
00:00:24.675,00:00:24.775,58,0,"<1></c><3>「ようこそPartyNight」だれかがかた</c><2>る</c><1></c>"
00:00:24.675,00:00:24.775,-1,-1,"<1></c><3>「ようこそPartyNight」誰かが語</c><2>る</c><1></c>"
00:00:24.775,00:00:25.743,58,0,"<1></c><3>「ようこそPartyNight」だれかがかたる</c><1></c>"
00:00:24.775,00:00:25.743,-1,-1,"<1></c><3>「ようこそPartyNight」誰かが語る</c><1></c>"
00:00:25.743,00:00:25.909,-1,0,"<1></c><3>れ</c><2>んじつまんいんおんれいどうぞごひいきに</c><1></c>"
00:00:25.743,00:00:25.909,-1,-1,"<1></c><3>連</c><2>日満員御礼どうぞご贔屓に</c><1></c>"
00:00:25.909,00:00:25.976,-1,0,"<1></c><3>れん</c><2>じつまんいんおんれいどうぞごひいきに</c><1></c>"
00:00:25.909,00:00:25.976,-1,-1,"<1></c><3>連</c><2>日満員御礼どうぞご贔屓に</c><1></c>"
00:00:25.976,00:00:26.043,-1,0,"<1></c><3>れんじ</c><2>つまんいんおんれいどうぞごひいきに</c><1></c>"
00:00:25.976,00:00:26.043,-1,-1,"<1></c><3>連日</c><2>満員御礼どうぞご贔屓に</c><1></c>"
00:00:26.043,00:00:26.176,-1,0,"<1></c><3>れんじつ</c><2>まんいんおんれいどうぞごひいきに</c><1></c>"
00:00:26.043,00:00:26.176,-1,-1,"<1></c><3>連日</c><2>満員御礼どうぞご贔屓に</c><1></c>"
00:00:26.176,00:00:26.377,-1,0,"<1></c><3>れんじつまん</c><2>いんおんれいどうぞごひいきに</c><1></c>"
00:00:26.176,00:00:26.377,-1,-1,"<1></c><3>連日満</c><2>員御礼どうぞご贔屓に</c><1></c>"
00:00:26.377,00:00:26.610,-1,0,"<1></c><3>れんじつまんいん</c><2>おんれいどうぞごひいきに</c><1></c>"
00:00:26.377,00:00:26.610,-1,-1,"<1></c><3>連日満員</c><2>御礼どうぞご贔屓に</c><1></c>"
00:00:26.610,00:00:26.844,-1,0,"<1></c><3>れんじつまんいんおん</c><2>れいどうぞごひいきに</c><1></c>"
00:00:26.610,00:00:26.844,-1,-1,"<1></c><3>連日満員御</c><2>礼どうぞご贔屓に</c><1></c>"
00:00:26.844,00:00:27.244,-1,0,"<1></c><3>れんじつまんいんおんれい</c><2>どうぞごひいきに</c><1></c>"
00:00:26.844,00:00:27.244,-1,-1,"<1></c><3>連日満員御礼</c><2>どうぞご贔屓に</c><1></c>"
00:00:27.244,00:00:27.344,-1,0,"<1></c><3>れんじつまんいんおんれいど</c><2>うぞごひいきに</c><1></c>"
00:00:27.244,00:00:27.344,-1,-1,"<1></c><3>連日満員御礼ど</c><2>うぞご贔屓に</c><1></c>"
00:00:27.344,00:00:27.444,-1,0,"<1></c><3>れんじつまんいんおんれいどう</c><2>ぞごひいきに</c><1></c>"
00:00:27.344,00:00:27.444,-1,-1,"<1></c><3>連日満員御礼どう</c><2>ぞご贔屓に</c><1></c>"
00:00:27.444,00:00:27.644,-1,0,"<1></c><3>れんじつまんいんおんれいどうぞ</c><2>ごひいきに</c><1></c>"
00:00:27.444,00:00:27.644,-1,-1,"<1></c><3>連日満員御礼どうぞ</c><2>ご贔屓に</c><1></c>"
00:00:27.644,00:00:27.811,-1,0,"<1></c><3>れんじつまんいんおんれいどうぞご</c><2>ひいきに</c><1></c>"
00:00:27.644,00:00:27.811,-1,-1,"<1></c><3>連日満員御礼どうぞご</c><2>贔屓に</c><1></c>"
00:00:27.811,00:00:27.978,-1,0,"<1></c><3>れんじつまんいんおんれいどうぞごひ</c><2>いきに</c><1></c>"
00:00:27.811,00:00:27.978,-1,-1,"<1></c><3>連日満員御礼どうぞご贔</c><2>屓に</c><1></c>"
00:00:27.978,00:00:28.245,-1,0,"<1></c><3>れんじつまんいんおんれいどうぞごひい</c><2>きに</c><1></c>"
00:00:27.978,00:00:28.245,-1,-1,"<1></c><3>連日満員御礼どうぞご贔</c><2>屓に</c><1></c>"
00:00:28.245,00:00:28.479,-1,0,"<1></c><3>れんじつまんいんおんれいどうぞごひいき</c><2>に</c><1></c>"
00:00:28.245,00:00:28.479,-1,-1,"<1></c><3>連日満員御礼どうぞご贔屓</c><2>に</c><1></c>"
00:00:28.479,00:00:29.113,-1,0,"<1></c><3>れんじつまんいんおんれいどうぞごひいきに</c><1></c>"
00:00:28.479,00:00:29.113,-1,-1,"<1></c><3>連日満員御礼どうぞご贔屓に</c><1></c>"
