start,end,position,line,text
00:00:04.555,00:00:04.989,-1,0,"<2></c><6>さ</c><7>あいつまでもただこのちでうたおう</c><2></c>"
00:00:04.555,00:00:04.989,-1,0,"<2></c><6>さ</c><7>あいつまでもただこのちでうたおう</c><2></c>"
00:00:04.555,00:00:04.989,-1,-1,"<2></c><6>さ</c><7>あいつまでもただこの地で唄おう</c><2></c>"
00:00:04.555,00:00:04.989,-1,-1,"<2></c><6>さ</c><7>あいつまでもただこの地で唄おう</c><2></c>"
00:00:04.989,00:00:05.356,-1,0,"<2></c><6>さあ</c><7>いつまでもただこのちでうたおう</c><2></c>"
00:00:04.989,00:00:05.356,-1,0,"<2></c><6>さあ</c><7>いつまでもただこのちでうたおう</c><2></c>"
00:00:04.989,00:00:05.356,-1,-1,"<2></c><6>さあ</c><7>いつまでもただこの地で唄おう</c><2></c>"
00:00:04.989,00:00:05.356,-1,-1,"<2></c><6>さあ</c><7>いつまでもただこの地で唄おう</c><2></c>"
00:00:05.356,00:00:05.723,-1,0,"<2></c><6>さあい</c><7>つまでもただこのちでうたおう</c><2></c>"
00:00:05.356,00:00:05.723,-1,0,"<2></c><6>さあい</c><7>つまでもただこのちでうたおう</c><2></c>"
00:00:05.356,00:00:05.723,-1,-1,"<2></c><6>さあい</c><7>つまでもただこの地で唄おう</c><2></c>"
00:00:05.356,00:00:05.723,-1,-1,"<2></c><6>さあい</c><7>つまでもただこの地で唄おう</c><2></c>"
00:00:05.723,00:00:06.090,-1,0,"<2></c><6>さあいつ</c><7>までもただこのちでうたおう</c><2></c>"
00:00:05.723,00:00:06.090,-1,0,"<2></c><6>さあいつ</c><7>までもただこのちでうたおう</c><2></c>"
00:00:05.723,00:00:06.090,-1,-1,"<2></c><6>さあいつ</c><7>までもただこの地で唄おう</c><2></c>"
00:00:05.723,00:00:06.090,-1,-1,"<2></c><6>さあいつ</c><7>までもただこの地で唄おう</c><2></c>"
00:00:06.090,00:00:06.457,-1,0,"<2></c><6>さあいつま</c><7>でもただこのちでうたおう</c><2></c>"
00:00:06.090,00:00:06.457,-1,0,"<2></c><6>さあいつま</c><7>でもただこのちでうたおう</c><2></c>"
00:00:06.090,00:00:06.457,-1,-1,"<2></c><6>さあいつま</c><7>でもただこの地で唄おう</c><2></c>"
00:00:06.090,00:00:06.457,-1,-1,"<2></c><6>さあいつま</c><7>でもただこの地で唄おう</c><2></c>"
00:00:06.457,00:00:06.824,-1,0,"<2></c><6>さあいつまで</c><7>もただこのちでうたおう</c><2></c>"
00:00:06.457,00:00:06.824,-1,0,"<2></c><6>さあいつまで</c><7>もただこのちでうたおう</c><2></c>"
00:00:06.457,00:00:06.824,-1,-1,"<2></c><6>さあいつまで</c><7>もただこの地で唄おう</c><2></c>"
00:00:06.457,00:00:06.824,-1,-1,"<2></c><6>さあいつまで</c><7>もただこの地で唄おう</c><2></c>"
00:00:06.824,00:00:07.191,-1,0,"<2></c><6>さあいつまでも</c><7>ただこのちでうたおう</c><2></c>"
00:00:06.824,00:00:07.191,-1,0,"<2></c><6>さあいつまでも</c><7>ただこのちでうたおう</c><2></c>"
00:00:06.824,00:00:07.191,-1,-1,"<2></c><6>さあいつまでも</c><7>ただこの地で唄おう</c><2></c>"
00:00:06.824,00:00:07.191,-1,-1,"<2></c><6>さあいつまでも</c><7>ただこの地で唄おう</c><2></c>"
00:00:07.191,00:00:07.591,-1,0,"<2></c><6>さあいつまでもた</c><7>だこのちでうたおう</c><2></c>"
00:00:07.191,00:00:07.591,-1,0,"<2></c><6>さあいつまでもた</c><7>だこのちでうたおう</c><2></c>"
00:00:07.191,00:00:07.591,-1,-1,"<2></c><6>さあいつまでもた</c><7>だこの地で唄おう</c><2></c>"
00:00:07.191,00:00:07.591,-1,-1,"<2></c><6>さあいつまでもた</c><7>だこの地で唄おう</c><2></c>"
00:00:07.591,00:00:07.791,-1,0,"<2></c><6>さあいつまでもただ</c><7>このちでうたおう</c><2></c>"
00:00:07.591,00:00:07.791,-1,0,"<2></c><6>さあいつまでもただ</c><7>このちでうたおう</c><2></c>"
00:00:07.591,00:00:07.791,-1,-1,"<2></c><6>さあいつまでもただ</c><7>この地で唄おう</c><2></c>"
00:00:07.591,00:00:07.791,-1,-1,"<2></c><6>さあいつまでもただ</c><7>この地で唄おう</c><2></c>"
00:00:07.791,00:00:07.958,-1,0,"<2></c><6>さあいつまでもただこ</c><7>のちでうたおう</c><2></c>"
