start,end,position,line,text
00:00:05.789,00:00:09.526,-1,85,"<2></c><3>泣きっ面に蜂。</c><2></c>"
00:00:05.789,00:00:06.056,61,7,"<2></c><3>Εκ</c><4>λόγουάλλοςεκβαίνειλόγος.</c><2></c>"
00:00:06.056,00:00:06.357,61,7,"<2></c><3>Εκλό</c><4>γουάλλοςεκβαίνειλόγος.</c><2></c>"
00:00:06.357,00:00:06.890,61,7,"<2></c><3>Εκλόγου</c><4>άλλοςεκβαίνειλόγος.</c><2></c>"
00:00:06.890,00:00:07.091,61,7,"<2></c><3>Εκλόγουάλ</c><4>λοςεκβαίνειλόγος.</c><2></c>"
00:00:07.091,00:00:07.858,61,7,"<2></c><3>Εκλόγουάλλος</c><4>εκβαίνειλόγος.</c><2></c>"
00:00:07.858,00:00:08.025,61,7,"<2></c><3>Εκλόγουάλλοςεκ</c><4>βαίνειλόγος.</c><2></c>"
00:00:08.025,00:00:08.225,61,7,"<2></c><3>Εκλόγουάλλοςεκβαί</c><4>νειλόγος.</c><2></c>"
00:00:08.225,00:00:08.459,61,7,"<2></c><3>Εκλόγουάλλοςεκβαίνει</c><4>λόγος.</c><2></c>"
00:00:08.459,00:00:08.692,61,7,"<2></c><3>Εκλόγουάλλοςεκβαίνειλό</c><4>γος.</c><2></c>"
00:00:08.692,00:00:09.526,61,7,"<2></c><3>Εκλόγουάλλοςεκβαίνειλόγος.</c><2></c>"
00:00:17.201,00:00:24.908,-1,0,"<2></c><1>GawrGura-REFLECT</c><2></c>"
00:00:17.201,00:00:19.136,-1,-1,"<2></c><1>作詞:ネコハッカーがうる・ぐら</c><2></c>"
00:00:19.136,00:00:21.038,-1,-1,"<2></c><1>作曲編曲:ファーハン・サラシン</c><2></c>"
00:00:21.038,00:00:22.973,-1,-1,"<2></c><1>イラスト:望月もち</c><2></c>"
00:00:22.973,00:00:24.908,-1,-1,"<2></c><1>ロゴ:Spiritsnare</c><2></c>"
00:00:25.376,00:00:25.876,-1,-1,"<2></c><1>水</c><4>面に映る自分が言った</c><2></c>"
00:00:25.376,00:00:25.876,-1,0,"<2></c><1>み</c><4>なもにうつるじぶんがいった</c><2></c>"
00:00:25.876,00:00:26.543,-1,-1,"<2></c><1>水</c><4>面に映る自分が言った</c><2></c>"
00:00:25.876,00:00:26.543,-1,0,"<2></c><1>みな</c><4>もにうつるじぶんがいった</c><2></c>"
00:00:26.543,00:00:26.677,-1,-1,"<2></c><1>水面</c><4>に映る自分が言った</c><2></c>"
00:00:26.543,00:00:26.677,-1,0,"<2></c><1>みなも</c><4>にうつるじぶんがいった</c><2></c>"
00:00:26.677,00:00:26.844,-1,-1,"<2></c><1>水面に</c><4>映る自分が言った</c><2></c>"
00:00:26.677,00:00:26.844,-1,0,"<2></c><1>みなもに</c><4>うつるじぶんがいった</c><2></c>"
00:00:26.844,00:00:27.177,-1,-1,"<2></c><1>水面に映</c><4>る自分が言った</c><2></c>"
00:00:26.844,00:00:27.177,-1,0,"<2></c><1>みなもにう</c><4>つるじぶんがいった</c><2></c>"
00:00:27.177,00:00:27.544,-1,-1,"<2></c><1>水面に映</c><4>る自分が言った</c><2></c>"
00:00:27.177,00:00:27.544,-1,0,"<2></c><1>みなもにうつ</c><4>るじぶんがいった</c><2></c>"
00:00:27.544,00:00:27.778,-1,-1,"<2></c><1>水面に映る</c><4>自分が言った</c><2></c>"
00:00:27.544,00:00:27.778,-1,0,"<2></c><1>みなもにうつる</c><4>じぶんがいった</c><2></c>"
00:00:27.778,00:00:28.145,-1,-1,"<2></c><1>水面に映る自</c><4>分が言った</c><2></c>"
00:00:27.778,00:00:28.145,-1,0,"<2></c><1>みなもにうつるじ</c><4>ぶんがいった</c><2></c>"
00:00:28.145,00:00:28.545,-1,-1,"<2></c><1>水面に映る自分</c><4>が言った</c><2></c>"
00:00:28.145,00:00:28.545,-1,0,"<2></c><1>みなもにうつるじぶ</c><4>んがいった</c><2></c>"
00:00:28.545,00:00:28.746,-1,-1,"<2></c><1>水面に映る自分</c><4>が言った</c><2></c>"
00:00:28.545,00:00:28.746,-1,0,"<2></c><1>みなもにうつるじぶん</c><4>がいった</c><2></c>"
00:00:28.746,00:00:29.079,-1,-1,"<2></c><1>水面に映る自分が</c><4>言った</c><2></c>"
00:00:28.746,00:00:29.079,-1,0,"<2></c><1>みなもにうつるじぶんが</c><4>いった</c><2></c>"
00:00:29.079,00:00:29.213,-1,-1,"<2></c><1>水面に映る自分が言</c><4>った</c><2></c>"
00:00:29.079,00:00:29.213,-1,0,"<2></c><1>みなもにうつるじぶんがい</c><4>った</c><2></c>"
00:00:29.213,00:00:29.480,-1,-1,"<2></c><1>水面に映る自分が言っ</c><4>た</c><2></c>"
00:00:29.213,00:00:29.480,-1,0,"<2></c><1>みなもにうつるじぶんがいっ</c><4>た</c><2></c>"
00:00:29.480,00:00:30.647,-1,-1,"<2></c><1>水面に映る自分が言った</c><2></c>"
00:00:29.480,00:00:30.647,-1,0,"<2></c><1>みなもにうつるじぶんがいった</c><2></c>"
00:00:33.050,00:00:33.517,-1,-1,"<2></c><1>「あ</c><4>あ、わたしは悪いサメです」</c><2></c>"
00:00:33.050,00:00:33.517,-1,0,"<2></c><1>「あ</c><4>あ、わたしはわるいサメです」</c><2></c>"
00:00:33.517,00:00:34.251,-1,-1,"<2></c><1>「ああ、</c><4>わたしは悪いサメです」</c><2></c>"
00:00:33.517,00:00:34.251,-1,0,"<2></c><1>「ああ、</c><4>わたしはわるいサメです」</c><2></c>"
00:00:34.251,00:00:34.385,-1,-1,"<2></c><1>「ああ、わ</c><4>たしは悪いサメです」</c><2></c>"
00:00:34.251,00:00:34.385,-1,0,"<2></c><1>「ああ、わ</c><4>たしはわるいサメです」</c><2></c>"
00:00:34.385,00:00:34.485,-1,-1,"<2></c><1>「ああ、わた</c><4>しは悪いサメです」</c><2></c>"
00:00:34.385,00:00:34.485,-1,0,"<2></c><1>「ああ、わた</c><4>しはわるいサメです」</c><2></c>"
00:00:34.485,00:00:34.785,-1,-1,"<2></c><1>「ああ、わたし</c><4>は悪いサメです」</c><2></c>"
00:00:34.485,00:00:34.785,-1,0,"<2></c><1>「ああ、わたし</c><4>はわるいサメです」</c><2></c>"
00:00:34.785,00:00:35.185,-1,-1,"<2></c><1>「ああ、わたしは</c><4>悪いサメです」</c><2></c>"
00:00:34.785,00:00:35.185,-1,0,"<2></c><1>「ああ、わたしは</c><4>わるいサメです」</c><2></c>"
00:00:35.185,00:00:35.452,-1,-1,"<2></c><1>「ああ、わたしは悪</c><4>いサメです」</c><2></c>"
00:00:35.185,00:00:35.452,-1,0,"<2></c><1>「ああ、わたしはわ</c><4>るいサメです」</c><2></c>"
00:00:35.452,00:00:35.786,-1,-1,"<2></c><1>「ああ、わたしは悪</c><4>いサメです」</c><2></c>"
00:00:35.452,00:00:35.786,-1,0,"<2></c><1>「ああ、わたしはわる</c><4>いサメです」</c><2></c>"
00:00:35.786,00:00:36.186,-1,-1,"<2></c><1>「ああ、わたしは悪い</c><4>サメです」</c><2></c>"
00:00:35.786,00:00:36.186,-1,0,"<2></c><1>「ああ、わたしはわるい</c><4>サメです」</c><2></c>"
00:00:36.186,00:00:36.387,-1,-1,"<2></c><1>「ああ、わたしは悪いサ</c><4>メです」</c><2></c>"
00:00:36.186,00:00:36.387,-1,0,"<2></c><1>「ああ、わたしはわるいサ</c><4>メです」</c><2></c>"
00:00:36.387,00:00:37.121,-1,-1,"<2></c><1>「ああ、わたしは悪いサメ</c><4>です」</c><2></c>"
00:00:36.387,00:00:37.121,-1,0,"<2></c><1>「ああ、わたしはわるいサメ</c><4>です」</c><2></c>"
00:00:37.121,00:00:38.389,-1,-1,"<2></c><1>「ああ、わたしは悪いサメで</c><4>す」</c><2></c>"
00:00:37.121,00:00:38.389,-1,0,"<2></c><1>「ああ、わたしはわるいサメで</c><4>す」</c><2></c>"
00:00:38.389,00:00:38.589,-1,-1,"<2></c><1>「ああ、わたしは悪いサメです」</c><2></c>"
00:00:38.389,00:00:38.589,-1,0,"<2></c><1>「ああ、わたしはわるいサメです」</c><2></c>"
00:00:40.691,00:00:40.991,-1,-1,"<2></c><1>ず</c><4>っと恐れていた</c><2></c>"
00:00:40.691,00:00:40.991,-1,0,"<2></c><1>ず</c><4>っとおそれていた</c><2></c>"
00:00:40.991,00:00:41.225,-1,-1,"<2></c><1>ずっ</c><4>と恐れていた</c><2></c>"
00:00:40.991,00:00:41.225,-1,0,"<2></c><1>ずっ</c><4>とおそれていた</c><2></c>"
00:00:41.225,00:00:41.592,-1,-1,"<2></c><1>ずっと</c><4>恐れていた</c><2></c>"
00:00:41.225,00:00:41.592,-1,0,"<2></c><1>ずっと</c><4>おそれていた</c><2></c>"
00:00:41.592,00:00:41.925,-1,-1,"<2></c><1>ずっと恐</c><4>れていた</c><2></c>"
00:00:41.592,00:00:41.925,-1,0,"<2></c><1>ずっとお</c><4>それていた</c><2></c>"
00:00:41.925,00:00:42.192,-1,-1,"<2></c><1>ずっと恐</c><4>れていた</c><2></c>"
00:00:41.925,00:00:42.192,-1,0,"<2></c><1>ずっとおそ</c><4>れていた</c><2></c>"
00:00:42.192,00:00:42.526,-1,-1,"<2></c><1>ずっと恐れ</c><4>ていた</c><2></c>"
00:00:42.192,00:00:42.526,-1,0,"<2></c><1>ずっとおそれ</c><4>ていた</c><2></c>"
00:00:42.526,00:00:42.893,-1,-1,"<2></c><1>ずっと恐れて</c><4>いた</c><2></c>"
