Character,File Numbers
z,"{1, 8, 9, 15, 16, 18, 19, 21, 24, 27, 40, 43, 44, 51, 52, 66, 69, 73, 85, 88}"
p,"{1, 4, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 71, 73, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91}"
w,"{1, 2, 7, 8, 9, 11, 12, 14, 18, 20, 21, 23, 24, 28, 35, 40, 43, 44, 46, 47, 50, 51, 52, 53, 54, 56, 57, 59, 60, 62, 65, 66, 67, 68, 69, 72, 73, 77, 78, 84, 85, 87, 90}"
l,"{1, 2, 4, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90}"
r,"{1, 3, 4, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92}"
d,"{1, 4, 7, 8, 9, 10, 11, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90}"
v,"{2, 4, 8, 9, 10, 11, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 37, 39, 40, 41, 43, 44, 45, 46, 47, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 92}"
f,"{2, 3, 4, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25, 32, 39, 40, 41, 43, 44, 45, 46, 51, 52, 54, 55, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 72, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87}"
g,"{2, 4, 6, 7, 8, 9, 10, 11, 16, 18, 19, 20, 21, 23, 24, 25, 26, 30, 32, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 71, 72, 73, 75, 77, 78, 82, 83, 84, 85, 87, 88, 90}"
j,"{4, 7, 8, 10, 12, 13, 14, 21, 23, 24, 34, 37, 41, 44, 45, 46, 48, 53, 58, 60, 62, 65, 70, 75, 76, 78, 79, 80, 81, 82, 83, 84, 86, 87}"
x,"{4, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 25, 26, 27, 28, 29, 30, 31, 32, 35, 39, 40, 41, 43, 44, 45, 46, 47, 51, 52, 54, 56, 57, 58, 59, 61, 63, 64, 65, 67, 68, 70, 71, 72, 73, 74, 77, 85, 88, 90}"
b,"{4, 7, 9, 10, 11, 15, 16, 18, 19, 21, 23, 24, 25, 27, 31, 33, 39, 40, 41, 44, 45, 46, 47, 53, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 74, 84, 85, 86, 87, 88, 90, 91, 92}"
q,"{9, 10, 11, 15, 19, 21, 27, 44, 60, 61, 63, 68}"
