Character,File Numbers
ッ,"{1, 2, 3, 7, 8, 12, 13, 14, 16, 18, 19, 21, 25, 26, 27, 29, 33, 34, 37, 38, 39, 41, 42, 43, 44, 45, 46, 49, 50, 51, 56, 57, 58, 59, 60, 62, 64, 73, 77, 78, 80, 82, 84, 85, 86, 87, 90, 91, 92}"
ピ,"{1, 17, 19, 24, 26, 36, 38, 39, 42, 46, 48, 50, 54, 58, 60, 64, 67, 77, 82, 84, 85}"
ア,"{1, 2, 3, 4, 8, 13, 14, 15, 16, 18, 19, 21, 24, 25, 26, 27, 29, 33, 37, 38, 39, 41, 46, 49, 50, 51, 54, 55, 56, 57, 58, 59, 60, 62, 64, 67, 68, 74, 75, 77, 78, 81, 82, 83, 84, 85, 86, 90, 91, 92}"
ラ,"{1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 18, 19, 21, 22, 25, 27, 29, 31, 36, 37, 38, 40, 41, 42, 44, 45, 48, 50, 51, 52, 53, 55, 56, 57, 59, 60, 62, 66, 70, 74, 76, 77, 78, 79, 81, 82, 84, 85, 86, 87, 90, 92}"
キ,"{1, 2, 3, 5, 10, 11, 12, 13, 16, 18, 19, 21, 22, 25, 30, 32, 33, 34, 35, 36, 38, 39, 41, 42, 44, 47, 49, 50, 53, 55, 56, 57, 58, 62, 64, 65, 67, 68, 74, 77, 78, 79, 80, 81, 82, 84, 85, 86, 90, 92}"
モ,"{1, 8, 10, 12, 15, 16, 19, 26, 31, 33, 39, 44, 45, 46, 49, 54, 58, 59, 64, 69, 70, 77, 85, 89}"
ゼ,"{1, 3, 13, 56, 78, 81, 84}"
ケ,"{1, 7, 12, 13, 16, 33, 36, 41, 56, 77, 79}"
ペ,"{1, 2, 3, 11, 26, 42, 49, 54, 57, 90}"
ネ,"{1, 3, 18, 33, 42, 56, 60, 82, 85, 87, 92}"
ジ,"{1, 2, 3, 8, 11, 12, 16, 18, 19, 21, 25, 28, 30, 36, 38, 39, 40, 42, 50, 52, 57, 58, 60, 62, 64, 66, 68, 78, 85, 90, 91}"
エ,"{1, 3, 13, 15, 19, 25, 38, 42, 48, 50, 52, 54, 60, 66, 77, 79, 84, 86}"
ブ,"{1, 13, 19, 33, 34, 38, 41, 42, 50, 57, 59, 60, 62, 77, 80, 82, 84, 86, 90}"
