Character,File Numbers
自,"{0, 3, 4, 5, 6, 7, 9, 10, 17, 23, 30, 38, 43, 44, 46, 49, 54, 56, 60, 65, 67, 73, 74, 78, 83, 87, 89, 91}"
分,"{0, 1, 4, 5, 6, 7, 9, 10, 21, 23, 26, 30, 33, 39, 47, 49, 57, 58, 60, 64, 65, 67, 68, 74, 81, 83, 85, 87, 89, 90}"
入,"{0, 33, 35, 36, 42, 44, 62, 68, 77, 85, 87}"
次,"{0, 1, 2, 7, 14, 17, 18, 19, 30, 42, 49, 50, 68}"
第,"{0, 7, 14, 18, 49, 68}"
気,"{0, 1, 3, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 24, 25, 26, 31, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 49, 54, 56, 57, 58, 59, 62, 64, 65, 67, 68, 70, 72, 73, 74, 75, 79, 80, 87, 90, 91}"
後,"{0, 12, 17, 18, 26, 28, 32, 33, 38, 39, 50, 51, 54, 58, 64, 67, 73, 89}"
航,{0}
行,"{0, 1, 4, 5, 6, 11, 12, 17, 22, 28, 31, 33, 35, 36, 38, 39, 45, 49, 56, 58, 59, 63, 64, 65, 67, 70, 73, 74, 77, 81, 84}"
先,"{0, 1, 10, 22, 25, 34, 38, 39, 41, 42, 47, 51, 53, 57, 58, 63, 64, 77, 86, 90, 92}"
選,"{0, 3, 17, 18, 50}"
放,"{0, 2, 25, 33, 37, 47, 74, 92}"
題,"{0, 19, 25}"
舵,"{0, 44}"
貸,{0}
交,"{0, 23, 32, 34, 57, 74, 80, 90}"
代,"{0, 3, 10, 40, 45, 49, 57, 65, 90}"
願,"{0, 3, 8, 17, 20, 35, 39, 43, 46, 48, 50, 52, 58, 62, 63, 64, 66, 89}"
早,"{0, 42, 46, 53, 85}"
今,"{0, 4, 5, 6, 9, 11, 16, 17, 19, 20, 23, 26, 28, 30, 31, 32, 33, 35, 42, 43, 48, 49, 51, 54, 57, 59, 61, 63, 65, 68, 70, 73, 74, 76, 77, 81, 83, 85, 87, 88, 89, 90, 92}"
日,"{0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 17, 19, 20, 22, 30, 31, 32, 34, 35, 36, 38, 39, 41, 42, 43, 46, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 64, 65, 69, 70, 73, 74, 77, 81, 83, 88, 89, 90}"
心,"{0, 3, 5, 6, 8, 11, 12, 16, 17, 22, 24, 26, 27, 31, 33, 34, 35, 36, 39, 42, 43, 44, 50, 51, 55, 58, 64, 70, 75, 76, 82, 89}"
配,"{0, 68, 79}"
迷,"{0, 4, 17, 20, 45, 47, 60, 74, 77}"
沈,"{0, 40, 52}"
深,"{0, 21, 40}"
濡,"{0, 43, 63}"
付,"{0, 12, 26, 29, 33, 35, 37, 43, 44, 45, 50, 51, 54, 56, 68, 86, 87}"
震,"{0, 4, 8, 9}"
体,"{0, 17, 19, 26, 42, 68}"
底,"{0, 24, 37, 40, 87}"
座,"{0, 19, 26, 50, 51}"
礁,{0}
直,"{0, 13, 14, 42, 57, 59, 90}"
修,"{0, 41}"
塞,"{0, 14, 60}"
熱,"{0, 3, 39, 48, 58, 64}"
限,"{0, 28, 49, 65}"
界,"{0, 4, 11, 13, 16, 18, 19, 20, 21, 22, 23, 24, 27, 28, 31, 33, 34, 39, 40, 45, 49, 50, 51, 54, 58, 59, 60, 61, 64, 65, 68, 69, 70, 72, 75, 81, 82, 83, 85, 88, 92}"
値,"{0, 26, 36}"
事,"{0, 9, 13, 19, 25, 30, 33, 34, 39, 47, 48, 51, 56, 57, 58, 64, 68, 74, 78, 80, 90}"
探,"{0, 11, 17, 24, 39, 42, 55, 58, 64, 91}"
偉,{0}
大,"{0, 3, 4, 7, 9, 10, 13, 17, 19, 27, 30, 31, 33, 34, 36, 37, 39, 41, 42, 43, 45, 47, 48, 49, 52, 54, 56, 57, 58, 61, 62, 64, 65, 68, 70, 71, 77, 79, 80, 81, 82, 85, 87, 90, 91}"
夢,"{0, 1, 2, 4, 9, 11, 12, 14, 18, 20, 24, 28, 33, 34, 35, 38, 45, 48, 50, 55, 59, 60, 65, 67, 69, 74, 75, 76, 81, 82, 84, 86, 87, 88, 89, 91}"
旅,"{0, 10, 17, 74}"
新,"{0, 21, 22, 39, 42, 50, 58, 64, 76, 79, 86}"
