start,end,position,line,text,unformatted
1.752,2.653,-1,-1,<1></c><3>月</c><2>の光が</c><1></c>,月の光が
1.752,2.653,-1,0,<1></c><3>つ</c><2>きのひかりが</c><1></c>,つきのひかりが
2.653,3.554,-1,-1,<1></c><3>月</c><2>の光が</c><1></c>,月の光が
2.653,3.554,-1,0,<1></c><3>つき</c><2>のひかりが</c><1></c>,つきのひかりが
3.554,5.923,-1,-1,<1></c><3>月の</c><2>光が</c><1></c>,月の光が
3.554,5.923,-1,0,<1></c><3>つきの</c><2>ひかりが</c><1></c>,つきのひかりが
5.923,6.256,-1,-1,<1></c><3>月の光</c><2>が</c><1></c>,月の光が
5.923,6.256,-1,0,<1></c><3>つきのひ</c><2>かりが</c><1></c>,つきのひかりが
6.256,6.857,-1,-1,<1></c><3>月の光</c><2>が</c><1></c>,月の光が
6.256,6.857,-1,0,<1></c><3>つきのひか</c><2>りが</c><1></c>,つきのひかりが
6.857,7.157,-1,-1,<1></c><3>月の光</c><2>が</c><1></c>,月の光が
6.857,7.157,-1,0,<1></c><3>つきのひかり</c><2>が</c><1></c>,つきのひかりが
7.157,8.359,-1,-1,<1></c><3>月の光が</c><1></c>,月の光が
7.157,8.359,-1,0,<1></c><3>つきのひかりが</c><1></c>,つきのひかりが
8.359,8.692,-1,-1,<1></c><3>映</c><2>したエピローグ</c><1></c>,映したエピローグ
8.359,8.692,-1,0,<1></c><3>う</c><2>つしたえぴろーぐ</c><1></c>,うつしたえぴろーぐ
8.692,8.959,-1,-1,<1></c><3>映</c><2>したエピローグ</c><1></c>,映したエピローグ
8.692,8.959,-1,0,<1></c><3>うつ</c><2>したえぴろーぐ</c><1></c>,うつしたえぴろーぐ
8.959,9.893,-1,-1,<1></c><3>映し</c><2>たエピローグ</c><1></c>,映したエピローグ
8.959,9.893,-1,0,<1></c><3>うつし</c><2>たえぴろーぐ</c><1></c>,うつしたえぴろーぐ
9.893,10.761,-1,-1,<1></c><3>映した</c><2>エピローグ</c><1></c>,映したエピローグ
9.893,10.761,-1,0,<1></c><3>うつした</c><2>えぴろーぐ</c><1></c>,うつしたえぴろーぐ
10.761,11.662,-1,-1,<1></c><3>映したエ</c><2>ピローグ</c><1></c>,映したエピローグ
10.761,11.662,-1,0,<1></c><3>うつしたえ</c><2>ぴろーぐ</c><1></c>,うつしたえぴろーぐ
11.662,12.563,-1,-1,<1></c><3>映したエピ</c><2>ローグ</c><1></c>,映したエピローグ
11.662,12.563,-1,0,<1></c><3>うつしたえぴ</c><2>ろーぐ</c><1></c>,うつしたえぴろーぐ
12.563,14.431,-1,-1,<1></c><3>映したエピロ</c><2>ーグ</c><1></c>,映したエピローグ
12.563,14.431,-1,0,<1></c><3>うつしたえぴろ</c><2>ーぐ</c><1></c>,うつしたえぴろーぐ
14.431,15.399,-1,-1,<1></c><3>映したエピロー</c><2>グ</c><1></c>,映したエピローグ
14.431,15.399,-1,0,<1></c><3>うつしたえぴろー</c><2>ぐ</c><1></c>,うつしたえぴろーぐ
15.399,15.899,-1,-1,<1></c><3>映したエピローグ</c><1></c>,映したエピローグ
15.399,15.899,-1,0,<1></c><3>うつしたえぴろーぐ</c><1></c>,うつしたえぴろーぐ
20.504,34.218,-1,0,<1></c><3>屋根裏のエピローグ／尾丸ポルカ</c><1></c>,屋根裏のエピローグ／尾丸ポルカ
20.504,23.941,-1,-1,<1></c><3>作詞、編曲：osterproject</c><1></c>,作詞、編曲：osterproject
23.941,27.378,-1,-1,<1></c><3>イラスト：ぼっくん</c><1></c>,イラスト：ぼっくん
27.378,30.781,-1,-1,<1></c><3>ロゴデザイン：ナゴ</c><1></c>,ロゴデザイン：ナゴ
30.781,34.218,-1,-1,<1></c><3>映像：ねびる</c><1></c>,映像：ねびる
34.218,37.654,-1,-1,<1></c><3>歌：尾丸ポルカ</c><1></c>,歌：尾丸ポルカ
47.931,48.198,-1,-1,<1></c><3>静</c><2>かに更ける夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
47.931,48.198,-1,0,<1></c><3>し</c><2>ずかにふけるよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
48.198,48.499,-1,-1,<1></c><3>静</c><2>かに更ける夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
48.198,48.499,-1,0,<1></c><3>しず</c><2>かにふけるよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
48.499,48.766,-1,-1,<1></c><3>静か</c><2>に更ける夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
48.499,48.766,-1,0,<1></c><3>しずか</c><2>にふけるよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
48.766,49.066,-1,-1,<1></c><3>静かに</c><2>更ける夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
48.766,49.066,-1,0,<1></c><3>しずかに</c><2>ふけるよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
49.066,49.366,-1,-1,<1></c><3>静かに更</c><2>ける夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
49.066,49.366,-1,0,<1></c><3>しずかにふ</c><2>けるよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
49.366,49.633,-1,-1,<1></c><3>静かに更け</c><2>る夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
49.366,49.633,-1,0,<1></c><3>しずかにふけ</c><2>るよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
49.633,50.501,-1,-1,<1></c><3>静かに更ける</c><2>夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
49.633,50.501,-1,0,<1></c><3>しずかにふける</c><2>よるにだかれ</c><1></c>,しずかにふけるよるにだかれ
50.501,51.068,-1,-1,<1></c><3>静かに更ける夜</c><2>に抱かれ</c><1></c>,静かに更ける夜に抱かれ
50.501,51.068,-1,0,<1></c><3>しずかにふけるよ</c><2>るにだかれ</c><1></c>,しずかにふけるよるにだかれ
51.068,51.368,-1,-1,<1></c><3>静かに更ける夜</c><2>に抱かれ</c><1></c>,静かに更ける夜に抱かれ
51.068,51.368,-1,0,<1></c><3>しずかにふけるよる</c><2>にだかれ</c><1></c>,しずかにふけるよるにだかれ
51.368,52.503,-1,-1,<1></c><3>静かに更ける夜に</c><2>抱かれ</c><1></c>,静かに更ける夜に抱かれ
51.368,52.503,-1,0,<1></c><3>しずかにふけるよるに</c><2>だかれ</c><1></c>,しずかにふけるよるにだかれ
52.503,52.803,-1,-1,<1></c><3>静かに更ける夜に抱</c><2>かれ</c><1></c>,静かに更ける夜に抱かれ
52.503,52.803,-1,0,<1></c><3>しずかにふけるよるにだ</c><2>かれ</c><1></c>,しずかにふけるよるにだかれ
52.803,53.07,-1,-1,<1></c><3>静かに更ける夜に抱か</c><2>れ</c><1></c>,静かに更ける夜に抱かれ
52.803,53.07,-1,0,<1></c><3>しずかにふけるよるにだか</c><2>れ</c><1></c>,しずかにふけるよるにだかれ
53.07,54.204,-1,-1,<1></c><3>静かに更ける夜に抱かれ</c><1></c>,静かに更ける夜に抱かれ
53.07,54.204,-1,0,<1></c><3>しずかにふけるよるにだかれ</c><1></c>,しずかにふけるよるにだかれ
54.204,54.471,-1,-1,<1></c><3>空</c><2>に消える白い息眺めた</c><1></c>,空に消える白い息眺めた
54.204,54.471,-1,0,<1></c><3>そ</c><2>らにきえるしろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
54.471,54.772,-1,-1,<1></c><3>空</c><2>に消える白い息眺めた</c><1></c>,空に消える白い息眺めた
54.471,54.772,-1,0,<1></c><3>そら</c><2>にきえるしろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
54.772,55.939,-1,-1,<1></c><3>空に</c><2>消える白い息眺めた</c><1></c>,空に消える白い息眺めた
54.772,55.939,-1,0,<1></c><3>そらに</c><2>きえるしろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
55.939,56.206,-1,-1,<1></c><3>空に消</c><2>える白い息眺めた</c><1></c>,空に消える白い息眺めた
55.939,56.206,-1,0,<1></c><3>そらにき</c><2>えるしろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
56.206,56.473,-1,-1,<1></c><3>空に消え</c><2>る白い息眺めた</c><1></c>,空に消える白い息眺めた
56.206,56.473,-1,0,<1></c><3>そらにきえ</c><2>るしろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
56.473,57.608,-1,-1,<1></c><3>空に消える</c><2>白い息眺めた</c><1></c>,空に消える白い息眺めた
56.473,57.608,-1,0,<1></c><3>そらにきえる</c><2>しろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
57.608,57.908,-1,-1,<1></c><3>空に消える白</c><2>い息眺めた</c><1></c>,空に消える白い息眺めた
57.608,57.908,-1,0,<1></c><3>そらにきえるし</c><2>ろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
57.908,58.208,-1,-1,<1></c><3>空に消える白</c><2>い息眺めた</c><1></c>,空に消える白い息眺めた
57.908,58.208,-1,0,<1></c><3>そらにきえるしろ</c><2>いいきながめた</c><1></c>,そらにきえるしろいいきながめた
58.208,58.509,-1,-1,<1></c><3>空に消える白い</c><2>息眺めた</c><1></c>,空に消える白い息眺めた
58.208,58.509,-1,0,<1></c><3>そらにきえるしろい</c><2>いきながめた</c><1></c>,そらにきえるしろいいきながめた
58.509,58.809,-1,-1,<1></c><3>空に消える白い息</c><2>眺めた</c><1></c>,空に消える白い息眺めた
58.509,58.809,-1,0,<1></c><3>そらにきえるしろいい</c><2>きながめた</c><1></c>,そらにきえるしろいいきながめた
58.809,59.343,-1,-1,<1></c><3>空に消える白い息</c><2>眺めた</c><1></c>,空に消える白い息眺めた
58.809,59.343,-1,0,<1></c><3>そらにきえるしろいいき</c><2>ながめた</c><1></c>,そらにきえるしろいいきながめた
59.343,59.643,-1,-1,<1></c><3>空に消える白い息眺</c><2>めた</c><1></c>,空に消える白い息眺めた
59.343,59.643,-1,0,<1></c><3>そらにきえるしろいいきな</c><2>がめた</c><1></c>,そらにきえるしろいいきながめた
59.643,59.91,-1,-1,<1></c><3>空に消える白い息眺</c><2>めた</c><1></c>,空に消える白い息眺めた
59.643,59.91,-1,0,<1></c><3>そらにきえるしろいいきなが</c><2>めた</c><1></c>,そらにきえるしろいいきながめた
59.91,60.778,-1,-1,<1></c><3>空に消える白い息眺め</c><2>た</c><1></c>,空に消える白い息眺めた
59.91,60.778,-1,0,<1></c><3>そらにきえるしろいいきながめ</c><2>た</c><1></c>,そらにきえるしろいいきながめた
60.778,61.645,-1,-1,<1></c><3>空に消える白い息眺めた</c><1></c>,空に消える白い息眺めた
60.778,61.645,-1,0,<1></c><3>そらにきえるしろいいきながめた</c><1></c>,そらにきえるしろいいきながめた
61.645,61.945,-1,-1,<1></c><3>夢</c><2>のような時間はいつも</c><1></c>,夢のような時間はいつも
61.645,61.945,-1,0,<1></c><3>ゆ</c><2>めのようなじかんはいつも</c><1></c>,ゆめのようなじかんはいつも
61.945,62.212,-1,-1,<1></c><3>夢</c><2>のような時間はいつも</c><1></c>,夢のような時間はいつも
61.945,62.212,-1,0,<1></c><3>ゆめ</c><2>のようなじかんはいつも</c><1></c>,ゆめのようなじかんはいつも
62.212,62.479,-1,-1,<1></c><3>夢の</c><2>ような時間はいつも</c><1></c>,夢のような時間はいつも
62.212,62.479,-1,0,<1></c><3>ゆめの</c><2>ようなじかんはいつも</c><1></c>,ゆめのようなじかんはいつも
62.479,62.78,-1,-1,<1></c><3>夢のよ</c><2>うな時間はいつも</c><1></c>,夢のような時間はいつも
62.479,62.78,-1,0,<1></c><3>ゆめのよ</c><2>うなじかんはいつも</c><1></c>,ゆめのようなじかんはいつも
62.78,63.08,-1,-1,<1></c><3>夢のよう</c><2>な時間はいつも</c><1></c>,夢のような時間はいつも
62.78,63.08,-1,0,<1></c><3>ゆめのよう</c><2>なじかんはいつも</c><1></c>,ゆめのようなじかんはいつも
63.08,63.347,-1,-1,<1></c><3>夢のような</c><2>時間はいつも</c><1></c>,夢のような時間はいつも
63.08,63.347,-1,0,<1></c><3>ゆめのような</c><2>じかんはいつも</c><1></c>,ゆめのようなじかんはいつも
63.347,64.214,-1,-1,<1></c><3>夢のような時</c><2>間はいつも</c><1></c>,夢のような時間はいつも
63.347,64.214,-1,0,<1></c><3>ゆめのようなじ</c><2>かんはいつも</c><1></c>,ゆめのようなじかんはいつも
64.214,64.782,-1,-1,<1></c><3>夢のような時間</c><2>はいつも</c><1></c>,夢のような時間はいつも
64.214,64.782,-1,0,<1></c><3>ゆめのようなじか</c><2>んはいつも</c><1></c>,ゆめのようなじかんはいつも
64.782,65.082,-1,-1,<1></c><3>夢のような時間</c><2>はいつも</c><1></c>,夢のような時間はいつも
64.782,65.082,-1,0,<1></c><3>ゆめのようなじかん</c><2>はいつも</c><1></c>,ゆめのようなじかんはいつも
65.082,66.216,-1,-1,<1></c><3>夢のような時間は</c><2>いつも</c><1></c>,夢のような時間はいつも
65.082,66.216,-1,0,<1></c><3>ゆめのようなじかんは</c><2>いつも</c><1></c>,ゆめのようなじかんはいつも
66.216,66.483,-1,-1,<1></c><3>夢のような時間はい</c><2>つも</c><1></c>,夢のような時間はいつも
66.216,66.483,-1,0,<1></c><3>ゆめのようなじかんはい</c><2>つも</c><1></c>,ゆめのようなじかんはいつも
66.483,66.784,-1,-1,<1></c><3>夢のような時間はいつ</c><2>も</c><1></c>,夢のような時間はいつも
66.483,66.784,-1,0,<1></c><3>ゆめのようなじかんはいつ</c><2>も</c><1></c>,ゆめのようなじかんはいつも
66.784,67.951,-1,-1,<1></c><3>夢のような時間はいつも</c><1></c>,夢のような時間はいつも
66.784,67.951,-1,0,<1></c><3>ゆめのようなじかんはいつも</c><1></c>,ゆめのようなじかんはいつも
67.951,68.218,-1,-1,<1></c><3>一</c><2>瞬の煌めきでも</c><1></c>,一瞬の煌めきでも
67.951,68.218,-1,0,<1></c><3>い</c><2>っしゅんのきらめきでも</c><1></c>,いっしゅんのきらめきでも
68.218,68.519,-1,-1,<1></c><3>一</c><2>瞬の煌めきでも</c><1></c>,一瞬の煌めきでも
68.218,68.519,-1,0,<1></c><3>いっ</c><2>しゅんのきらめきでも</c><1></c>,いっしゅんのきらめきでも
68.519,69.386,-1,-1,<1></c><3>一瞬</c><2>の煌めきでも</c><1></c>,一瞬の煌めきでも
68.519,69.386,-1,0,<1></c><3>いっしゅ</c><2>んのきらめきでも</c><1></c>,いっしゅんのきらめきでも
69.386,70.22,-1,-1,<1></c><3>一瞬</c><2>の煌めきでも</c><1></c>,一瞬の煌めきでも
69.386,70.22,-1,0,<1></c><3>いっしゅん</c><2>のきらめきでも</c><1></c>,いっしゅんのきらめきでも
70.22,71.088,-1,-1,<1></c><3>一瞬の</c><2>煌めきでも</c><1></c>,一瞬の煌めきでも
70.22,71.088,-1,0,<1></c><3>いっしゅんの</c><2>きらめきでも</c><1></c>,いっしゅんのきらめきでも
71.088,71.922,-1,-1,<1></c><3>一瞬の煌</c><2>めきでも</c><1></c>,一瞬の煌めきでも
71.088,71.922,-1,0,<1></c><3>いっしゅんのき</c><2>らめきでも</c><1></c>,いっしゅんのきらめきでも
71.922,72.79,-1,-1,<1></c><3>一瞬の煌</c><2>めきでも</c><1></c>,一瞬の煌めきでも
71.922,72.79,-1,0,<1></c><3>いっしゅんのきら</c><2>めきでも</c><1></c>,いっしゅんのきらめきでも
72.79,73.09,-1,-1,<1></c><3>一瞬の煌め</c><2>きでも</c><1></c>,一瞬の煌めきでも
72.79,73.09,-1,0,<1></c><3>いっしゅんのきらめ</c><2>きでも</c><1></c>,いっしゅんのきらめきでも
73.09,73.357,-1,-1,<1></c><3>一瞬の煌めき</c><2>でも</c><1></c>,一瞬の煌めきでも
73.09,73.357,-1,0,<1></c><3>いっしゅんのきらめき</c><2>でも</c><1></c>,いっしゅんのきらめきでも
73.357,73.657,-1,-1,<1></c><3>一瞬の煌めきで</c><2>も</c><1></c>,一瞬の煌めきでも
73.357,73.657,-1,0,<1></c><3>いっしゅんのきらめきで</c><2>も</c><1></c>,いっしゅんのきらめきでも
73.657,74.792,-1,-1,<1></c><3>一瞬の煌めきでも</c><1></c>,一瞬の煌めきでも
73.657,74.792,-1,0,<1></c><3>いっしゅんのきらめきでも</c><1></c>,いっしゅんのきらめきでも
74.792,75.059,-1,-1,<1></c><3>と</c><2>ても大切なものを</c><1></c>,とても大切なものを
74.792,75.059,-1,0,<1></c><3>と</c><2>てもたいせつなものを</c><1></c>,とてもたいせつなものを
75.059,75.359,-1,-1,<1></c><3>とて</c><2>も大切なものを</c><1></c>,とても大切なものを
75.059,75.359,-1,0,<1></c><3>とて</c><2>もたいせつなものを</c><1></c>,とてもたいせつなものを
75.359,75.793,-1,-1,<1></c><3>とても</c><2>大切なものを</c><1></c>,とても大切なものを
75.359,75.793,-1,0,<1></c><3>とても</c><2>たいせつなものを</c><1></c>,とてもたいせつなものを
75.793,75.926,-1,-1,<1></c><3>とても大</c><2>切なものを</c><1></c>,とても大切なものを
75.793,75.926,-1,0,<1></c><3>とてもた</c><2>いせつなものを</c><1></c>,とてもたいせつなものを
75.926,76.226,-1,-1,<1></c><3>とても大</c><2>切なものを</c><1></c>,とても大切なものを
75.926,76.226,-1,0,<1></c><3>とてもたい</c><2>せつなものを</c><1></c>,とてもたいせつなものを
76.226,76.493,-1,-1,<1></c><3>とても大切</c><2>なものを</c><1></c>,とても大切なものを
76.226,76.493,-1,0,<1></c><3>とてもたいせ</c><2>つなものを</c><1></c>,とてもたいせつなものを
76.493,76.76,-1,-1,<1></c><3>とても大切</c><2>なものを</c><1></c>,とても大切なものを
76.493,76.76,-1,0,<1></c><3>とてもたいせつ</c><2>なものを</c><1></c>,とてもたいせつなものを
76.76,77.061,-1,-1,<1></c><3>とても大切な</c><2>ものを</c><1></c>,とても大切なものを
76.76,77.061,-1,0,<1></c><3>とてもたいせつな</c><2>ものを</c><1></c>,とてもたいせつなものを
77.061,77.327,-1,-1,<1></c><3>とても大切なも</c><2>のを</c><1></c>,とても大切なものを
77.061,77.327,-1,0,<1></c><3>とてもたいせつなも</c><2>のを</c><1></c>,とてもたいせつなものを
77.327,77.628,-1,-1,<1></c><3>とても大切なもの</c><2>を</c><1></c>,とても大切なものを
77.327,77.628,-1,0,<1></c><3>とてもたいせつなもの</c><2>を</c><1></c>,とてもたいせつなものを
77.628,78.195,-1,-1,<1></c><3>とても大切なものを</c><1></c>,とても大切なものを
77.628,78.195,-1,0,<1></c><3>とてもたいせつなものを</c><1></c>,とてもたいせつなものを
78.195,78.495,-1,-1,<1></c><3>想</c><2>い出に残して</c><1></c>,想い出に残して
78.195,78.495,-1,0,<1></c><3>お</c><2>もいでにのこして</c><1></c>,おもいでにのこして
78.495,78.762,-1,-1,<1></c><3>想</c><2>い出に残して</c><1></c>,想い出に残して
78.495,78.762,-1,0,<1></c><3>おも</c><2>いでにのこして</c><1></c>,おもいでにのこして
78.762,79.196,-1,-1,<1></c><3>想い</c><2>出に残して</c><1></c>,想い出に残して
78.762,79.196,-1,0,<1></c><3>おもい</c><2>でにのこして</c><1></c>,おもいでにのこして
79.196,79.363,-1,-1,<1></c><3>想い出</c><2>に残して</c><1></c>,想い出に残して
79.196,79.363,-1,0,<1></c><3>おもいで</c><2>にのこして</c><1></c>,おもいでにのこして
79.363,79.63,-1,-1,<1></c><3>想い出に</c><2>残して</c><1></c>,想い出に残して
79.363,79.63,-1,0,<1></c><3>おもいでに</c><2>のこして</c><1></c>,おもいでにのこして
79.63,79.93,-1,-1,<1></c><3>想い出に残</c><2>して</c><1></c>,想い出に残して
79.63,79.93,-1,0,<1></c><3>おもいでにの</c><2>こして</c><1></c>,おもいでにのこして
79.93,80.23,-1,-1,<1></c><3>想い出に残</c><2>して</c><1></c>,想い出に残して
79.93,80.23,-1,0,<1></c><3>おもいでにのこ</c><2>して</c><1></c>,おもいでにのこして
80.23,80.497,-1,-1,<1></c><3>想い出に残し</c><2>て</c><1></c>,想い出に残して
80.23,80.497,-1,0,<1></c><3>おもいでにのこし</c><2>て</c><1></c>,おもいでにのこして
80.497,81.665,-1,-1,<1></c><3>想い出に残して</c><1></c>,想い出に残して
80.497,81.665,-1,0,<1></c><3>おもいでにのこして</c><1></c>,おもいでにのこして
81.665,81.932,-1,-1,<1></c><3>私</c><2>を今日も温めてくれる</c><1></c>,私を今日も温めてくれる
81.665,81.932,-1,0,<1></c><3>わ</c><2>たしをきょうもあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
81.932,82.232,-1,-1,<1></c><3>私</c><2>を今日も温めてくれる</c><1></c>,私を今日も温めてくれる
81.932,82.232,-1,0,<1></c><3>わた</c><2>しをきょうもあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
82.232,82.633,-1,-1,<1></c><3>私</c><2>を今日も温めてくれる</c><1></c>,私を今日も温めてくれる
82.232,82.633,-1,0,<1></c><3>わたし</c><2>をきょうもあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
82.633,82.8,-1,-1,<1></c><3>私を</c><2>今日も温めてくれる</c><1></c>,私を今日も温めてくれる
82.633,82.8,-1,0,<1></c><3>わたしを</c><2>きょうもあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
82.8,83.1,-1,-1,<1></c><3>私を今</c><2>日も温めてくれる</c><1></c>,私を今日も温めてくれる
82.8,83.1,-1,0,<1></c><3>わたしをきょ</c><2>うもあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
83.1,83.367,-1,-1,<1></c><3>私を今日</c><2>も温めてくれる</c><1></c>,私を今日も温めてくれる
83.1,83.367,-1,0,<1></c><3>わたしをきょう</c><2>もあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
83.367,83.667,-1,-1,<1></c><3>私を今日も</c><2>温めてくれる</c><1></c>,私を今日も温めてくれる
83.367,83.667,-1,0,<1></c><3>わたしをきょうも</c><2>あたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
83.667,83.934,-1,-1,<1></c><3>私を今日も温</c><2>めてくれる</c><1></c>,私を今日も温めてくれる
83.667,83.934,-1,0,<1></c><3>わたしをきょうもあ</c><2>たためてくれる</c><1></c>,わたしをきょうもあたためてくれる
83.934,84.234,-1,-1,<1></c><3>私を今日も温</c><2>めてくれる</c><1></c>,私を今日も温めてくれる
83.934,84.234,-1,0,<1></c><3>わたしをきょうもあた</c><2>ためてくれる</c><1></c>,わたしをきょうもあたためてくれる
84.234,84.501,-1,-1,<1></c><3>私を今日も温</c><2>めてくれる</c><1></c>,私を今日も温めてくれる
84.234,84.501,-1,0,<1></c><3>わたしをきょうもあたた</c><2>めてくれる</c><1></c>,わたしをきょうもあたためてくれる
84.501,84.802,-1,-1,<1></c><3>私を今日も温め</c><2>てくれる</c><1></c>,私を今日も温めてくれる
84.501,84.802,-1,0,<1></c><3>わたしをきょうもあたため</c><2>てくれる</c><1></c>,わたしをきょうもあたためてくれる
84.802,85.102,-1,-1,<1></c><3>私を今日も温めて</c><2>くれる</c><1></c>,私を今日も温めてくれる
84.802,85.102,-1,0,<1></c><3>わたしをきょうもあたためて</c><2>くれる</c><1></c>,わたしをきょうもあたためてくれる
85.102,85.369,-1,-1,<1></c><3>私を今日も温めてく</c><2>れる</c><1></c>,私を今日も温めてくれる
85.102,85.369,-1,0,<1></c><3>わたしをきょうもあたためてく</c><2>れる</c><1></c>,わたしをきょうもあたためてくれる
85.369,85.669,-1,-1,<1></c><3>私を今日も温めてくれ</c><2>る</c><1></c>,私を今日も温めてくれる
85.369,85.669,-1,0,<1></c><3>わたしをきょうもあたためてくれ</c><2>る</c><1></c>,わたしをきょうもあたためてくれる
85.669,87.371,-1,-1,<1></c><3>私を今日も温めてくれる</c><1></c>,私を今日も温めてくれる
85.669,87.371,-1,0,<1></c><3>わたしをきょうもあたためてくれる</c><1></c>,わたしをきょうもあたためてくれる
87.371,88.238,-1,-1,<1></c><3>流</c><2>れ星に詰め込んだ願い事</c><1></c>,流れ星に詰め込んだ願い事
87.371,88.238,-1,0,<1></c><3>な</c><2>がれぼしにつめこんだねがいごと</c><1></c>,ながれぼしにつめこんだねがいごと
88.238,89.073,-1,-1,<1></c><3>流</c><2>れ星に詰め込んだ願い事</c><1></c>,流れ星に詰め込んだ願い事
88.238,89.073,-1,0,<1></c><3>なが</c><2>れぼしにつめこんだねがいごと</c><1></c>,ながれぼしにつめこんだねがいごと
89.073,89.64,-1,-1,<1></c><3>流れ</c><2>星に詰め込んだ願い事</c><1></c>,流れ星に詰め込んだ願い事
89.073,89.64,-1,0,<1></c><3>ながれ</c><2>ぼしにつめこんだねがいごと</c><1></c>,ながれぼしにつめこんだねがいごと
89.64,89.94,-1,-1,<1></c><3>流れ星</c><2>に詰め込んだ願い事</c><1></c>,流れ星に詰め込んだ願い事
89.64,89.94,-1,0,<1></c><3>ながれぼ</c><2>しにつめこんだねがいごと</c><1></c>,ながれぼしにつめこんだねがいごと
