start,end,position,line,text,unformatted
20.037,20.17,-1,0,<2></c><1>むやみやたらと</c><3>はやしたてるよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
20.17,20.404,-1,-1,<2></c><1>無闇矢鱈と囃</c><3>し立てる世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
20.17,20.404,-1,0,<2></c><1>むやみやたらとは</c><3>やしたてるよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
20.404,20.571,-1,-1,<2></c><1>無闇矢鱈と囃</c><3>し立てる世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
20.404,20.571,-1,0,<2></c><1>むやみやたらとはや</c><3>したてるよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
20.571,20.738,-1,-1,<2></c><1>無闇矢鱈と囃し</c><3>立てる世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
20.571,20.738,-1,0,<2></c><1>むやみやたらとはやし</c><3>たてるよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
20.738,20.904,-1,-1,<2></c><1>無闇矢鱈と囃し立</c><3>てる世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
20.738,20.904,-1,0,<2></c><1>むやみやたらとはやした</c><3>てるよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
20.904,21.071,-1,-1,<2></c><1>無闇矢鱈と囃し立て</c><3>る世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
20.904,21.071,-1,0,<2></c><1>むやみやたらとはやしたて</c><3>るよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
21.071,21.238,-1,-1,<2></c><1>無闇矢鱈と囃し立てる</c><3>世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
21.071,21.238,-1,0,<2></c><1>むやみやたらとはやしたてる</c><3>よじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
21.238,21.405,-1,-1,<2></c><1>無闇矢鱈と囃し立てる世</c><3>じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
21.238,21.405,-1,0,<2></c><1>むやみやたらとはやしたてるよ</c><3>じゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
21.405,21.572,-1,-1,<2></c><1>無闇矢鱈と囃し立てる世じゃ</c><2></c>,無闇矢鱈と囃し立てる世じゃ
21.405,21.572,-1,0,<2></c><1>むやみやたらとはやしたてるよじゃ</c><2></c>,むやみやたらとはやしたてるよじゃ
21.572,21.772,-1,-1,<2></c><1>結</c><3>局誰が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
21.572,21.772,-1,0,<2></c><1>け</c><3>っきょくだれがわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
21.772,21.939,-1,-1,<2></c><1>結</c><3>局誰が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
21.772,21.939,-1,0,<2></c><1>けっ</c><3>きょくだれがわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
21.939,22.106,-1,-1,<2></c><1>結局</c><3>誰が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
