start,end,line,unformatted,token
10.527,10.761,0,「きみのひろいんはだれ…？」,「き
10.527,10.761,-1,「キミのヒロインは誰…？」,「キ
10.761,10.894,0,「きみのひろいんはだれ…？」,み
10.761,10.894,-1,「キミのヒロインは誰…？」,ミ
10.894,11.228,0,「きみのひろいんはだれ…？」,の
10.894,11.228,-1,「キミのヒロインは誰…？」,の
11.228,11.528,0,「きみのひろいんはだれ…？」,ひ
11.228,11.528,-1,「キミのヒロインは誰…？」,ヒ
11.528,11.895,0,「きみのひろいんはだれ…？」,ろ
11.528,11.895,-1,「キミのヒロインは誰…？」,ロ
11.895,12.196,0,「きみのひろいんはだれ…？」,い
11.895,12.196,-1,「キミのヒロインは誰…？」,イ
12.196,12.529,0,「きみのひろいんはだれ…？」,ん
12.196,12.529,-1,「キミのヒロインは誰…？」,ン
12.529,12.863,0,「きみのひろいんはだれ…？」,は
12.529,12.863,-1,「キミのヒロインは誰…？」,は
12.863,13.197,0,「きみのひろいんはだれ…？」,だ
12.863,13.197,-1,「キミのヒロインは誰…？」,誰
13.197,13.497,0,「きみのひろいんはだれ…？」,だ
13.197,13.497,-1,「キミのヒロインは誰…？」,誰
13.497,14.05,0,「きみのひろいんはだれ…？」,れ
13.497,14.05,-1,「キミのヒロインは誰…？」,誰
19.737,19.937,0,おぼえてるやさしい,お
19.737,19.937,-1,おぼえてる優しい,お
19.937,20.07,0,おぼえてるやさしい,ぼ
19.937,20.07,-1,おぼえてる優しい,ぼ
20.07,21.071,0,おぼえてるやさしい,え
20.07,21.071,-1,おぼえてる優しい,え
21.071,21.405,0,おぼえてるやさしい,て
21.071,21.405,-1,おぼえてる優しい,て
21.405,22.339,0,おぼえてるやさしい,る
21.405,22.339,-1,おぼえてる優しい,る
22.339,22.706,0,おぼえてるやさしい,や
22.339,22.706,-1,おぼえてる優しい,優
22.706,23.707,0,おぼえてるやさしい,さ
22.706,23.707,-1,おぼえてる優しい,優
23.707,24.008,0,おぼえてるやさしい,し
23.707,24.008,-1,おぼえてる優しい,し
24.008,24.975,0,おぼえてるやさしい,い
24.008,24.975,-1,おぼえてる優しい,い
24.975,25.175,0,きみのことばにきゅんとして,き
24.975,25.175,-1,キミの言葉にキュンとして,キ
25.175,25.309,0,きみのことばにきゅんとして,み
25.175,25.309,-1,キミの言葉にキュンとして,ミ
25.309,25.642,0,きみのことばにきゅんとして,の
25.309,25.642,-1,キミの言葉にキュンとして,の
25.642,25.843,0,きみのことばにきゅんとして,こ
25.642,25.843,-1,キミの言葉にキュンとして,言
25.843,26.143,0,きみのことばにきゅんとして,と
25.843,26.143,-1,キミの言葉にキュンとして,言
26.143,26.51,0,きみのことばにきゅんとして,ば
26.143,26.51,-1,キミの言葉にキュンとして,葉
26.51,27.277,0,きみのことばにきゅんとして,に
26.51,27.277,-1,キミの言葉にキュンとして,に
27.277,27.611,0,きみのことばにきゅんとして,きゅ
27.277,27.611,-1,キミの言葉にキュンとして,キュ
27.611,27.945,0,きみのことばにきゅんとして,ん
27.611,27.945,-1,キミの言葉にキュンとして,ン
27.945,28.245,0,きみのことばにきゅんとして,と
