start,end,line,unformatted,token
20.804,21.238,0,あー、こいのていぎがわかんない,あー、
20.804,21.238,-1,あー、恋の定義がわかんない,あー、
21.238,21.405,0,あー、こいのていぎがわかんない,こ
21.238,21.405,-1,あー、恋の定義がわかんない,恋
21.405,21.538,0,あー、こいのていぎがわかんない,い
21.405,21.538,-1,あー、恋の定義がわかんない,恋
21.538,21.672,0,あー、こいのていぎがわかんない,の
21.538,21.672,-1,あー、恋の定義がわかんない,の
21.672,21.739,0,あー、こいのていぎがわかんない,て
21.672,21.739,-1,あー、恋の定義がわかんない,定
21.739,21.872,0,あー、こいのていぎがわかんない,い
21.739,21.872,-1,あー、恋の定義がわかんない,定
21.872,21.972,0,あー、こいのていぎがわかんない,ぎ
21.872,21.972,-1,あー、恋の定義がわかんない,義
21.972,22.106,0,あー、こいのていぎがわかんない,が
21.972,22.106,-1,あー、恋の定義がわかんない,が
22.106,22.239,0,あー、こいのていぎがわかんない,わ
22.106,22.239,-1,あー、恋の定義がわかんない,わ
22.239,22.339,0,あー、こいのていぎがわかんない,か
22.239,22.339,-1,あー、恋の定義がわかんない,か
22.339,22.439,0,あー、こいのていぎがわかんない,ん
22.339,22.439,-1,あー、恋の定義がわかんない,ん
22.439,22.706,0,あー、こいのていぎがわかんない,ない
22.439,22.706,-1,あー、恋の定義がわかんない,ない
22.706,22.806,0,まずすきってきじゅんもわかんない,ま
22.706,22.806,-1,まずスキって基準もわかんない,ま
22.806,22.873,0,まずすきってきじゅんもわかんない,ず
22.806,22.873,-1,まずスキって基準もわかんない,ず
22.873,22.973,0,まずすきってきじゅんもわかんない,す
22.873,22.973,-1,まずスキって基準もわかんない,ス
22.973,23.073,0,まずすきってきじゅんもわかんない,き
22.973,23.073,-1,まずスキって基準もわかんない,キ
23.073,23.24,0,まずすきってきじゅんもわかんない,って
23.073,23.24,-1,まずスキって基準もわかんない,って
23.24,23.34,0,まずすきってきじゅんもわかんない,き
23.24,23.34,-1,まずスキって基準もわかんない,基
23.34,23.474,0,まずすきってきじゅんもわかんない,じゅ
23.34,23.474,-1,まずスキって基準もわかんない,準
23.474,23.574,0,まずすきってきじゅんもわかんない,ん
23.474,23.574,-1,まずスキって基準もわかんない,準
23.574,23.741,0,まずすきってきじゅんもわかんない,も
23.574,23.741,-1,まずスキって基準もわかんない,も
23.741,23.841,0,まずすきってきじゅんもわかんない,わ
23.741,23.841,-1,まずスキって基準もわかんない,わ
23.841,23.941,0,まずすきってきじゅんもわかんない,か
23.841,23.941,-1,まずスキって基準もわかんない,か
23.941,24.074,0,まずすきってきじゅんもわかんない,ん
23.941,24.074,-1,まずスキって基準もわかんない,ん
24.074,24.308,0,まずすきってきじゅんもわかんない,ない
24.074,24.308,-1,まずスキって基準もわかんない,ない
24.308,24.408,0,ようは、こいしてるときがこいらしい,よ
24.308,24.408,-1,要は、恋してるときが恋らしい,要
24.408,24.508,0,ようは、こいしてるときがこいらしい,う
24.408,24.508,-1,要は、恋してるときが恋らしい,要
24.508,24.608,0,ようは、こいしてるときがこいらしい,は、
24.508,24.608,-1,要は、恋してるときが恋らしい,は、
24.608,24.775,0,ようは、こいしてるときがこいらしい,こ
24.608,24.775,-1,要は、恋してるときが恋らしい,恋
24.775,24.875,0,ようは、こいしてるときがこいらしい,い
24.775,24.875,-1,要は、恋してるときが恋らしい,恋
24.875,24.975,0,ようは、こいしてるときがこいらしい,し
24.875,24.975,-1,要は、恋してるときが恋らしい,し
24.975,25.042,0,ようは、こいしてるときがこいらしい,て
24.975,25.042,-1,要は、恋してるときが恋らしい,て
25.042,25.142,0,ようは、こいしてるときがこいらしい,る
25.042,25.142,-1,要は、恋してるときが恋らしい,る
25.142,25.242,0,ようは、こいしてるときがこいらしい,と
25.142,25.242,-1,要は、恋してるときが恋らしい,と
25.242,25.342,0,ようは、こいしてるときがこいらしい,き
25.242,25.342,-1,要は、恋してるときが恋らしい,き
25.342,25.476,0,ようは、こいしてるときがこいらしい,が
25.342,25.476,-1,要は、恋してるときが恋らしい,が
25.476,25.576,0,ようは、こいしてるときがこいらしい,こ
25.476,25.576,-1,要は、恋してるときが恋らしい,恋
25.576,25.676,0,ようは、こいしてるときがこいらしい,い
25.576,25.676,-1,要は、恋してるときが恋らしい,恋
25.676,25.843,0,ようは、こいしてるときがこいらしい,ら
25.676,25.843,-1,要は、恋してるときが恋らしい,ら
25.843,26.11,0,ようは、こいしてるときがこいらしい,しい
25.843,26.11,-1,要は、恋してるときが恋らしい,しい
26.11,26.31,0,きゃっかん？しゅかん？,きゃっ
26.11,26.31,-1,客観？　主観？,客
26.31,26.543,0,きゃっかん？しゅかん？,かん？
26.31,26.543,-1,客観？　主観？,観？　
26.543,26.744,0,きゃっかん？しゅかん？,しゅ
26.543,26.744,-1,客観？　主観？,主
26.744,26.944,0,きゃっかん？しゅかん？,かん？
26.744,26.944,-1,客観？　主観？,観？
26.944,27.044,0,えびでんすぷりーず！,え
26.944,27.044,-1,エビデンスプリーズ！,エ
27.044,27.144,0,えびでんすぷりーず！,び
27.044,27.144,-1,エビデンスプリーズ！,ビ
27.144,27.478,0,えびでんすぷりーず！,でんす
27.144,27.478,-1,エビデンスプリーズ！,デンス
27.478,27.978,0,えびでんすぷりーず！,ぷりーず！
27.478,27.978,-1,エビデンスプリーズ！,プリーズ！
27.978,28.078,0,あいはけいさんじゃとけない,あ
27.978,28.078,-1,愛は計算じゃ解けない,愛
28.078,28.145,0,あいはけいさんじゃとけない,い
28.078,28.145,-1,愛は計算じゃ解けない,愛
28.145,28.312,0,あいはけいさんじゃとけない,は
28.145,28.312,-1,愛は計算じゃ解けない,は
28.312,28.412,0,あいはけいさんじゃとけない,け
28.312,28.412,-1,愛は計算じゃ解けない,計
28.412,28.579,0,あいはけいさんじゃとけない,い
28.412,28.579,-1,愛は計算じゃ解けない,計
28.579,28.746,0,あいはけいさんじゃとけない,さ
28.579,28.746,-1,愛は計算じゃ解けない,算
28.746,28.812,0,あいはけいさんじゃとけない,ん
28.746,28.812,-1,愛は計算じゃ解けない,算
28.812,28.946,0,あいはけいさんじゃとけない,じゃ
28.812,28.946,-1,愛は計算じゃ解けない,じゃ
28.946,29.046,0,あいはけいさんじゃとけない,と
28.946,29.046,-1,愛は計算じゃ解けない,解
