start,end,line,unformatted,token
5.389,15.499,0,irys-herecomeshope,irys-herecomeshope
5.389,7.925,92,music:tom-h@ck,music:tom-h@ck
7.925,10.461,92,lyrics:hotaru,lyrics:hotaru
10.461,12.997,92,arrange:rinzo,arrange:rinzo
12.997,15.499,92,illust:雨傘ゆん(amagasayun),illust:雨傘ゆん(amagasayun)
15.833,16.133,0,ぜつぼうのせかいのなか,ぜ
15.833,16.133,92,絶望の世界の中,望
16.133,16.367,0,ぜつぼうのせかいのなか,つ
16.133,16.367,92,絶望の世界の中,望
16.367,16.467,0,ぜつぼうのせかいのなか,ぼ
16.367,16.467,92,絶望の世界の中,望
16.467,16.7,0,ぜつぼうのせかいのなか,う
16.467,16.7,92,絶望の世界の中,望
16.7,16.8,0,ぜつぼうのせかいのなか,の
16.7,16.8,92,絶望の世界の中,の
16.8,17.001,0,ぜつぼうのせかいのなか,せ
16.8,17.001,92,絶望の世界の中,世
17.001,17.101,0,ぜつぼうのせかいのなか,か
17.001,17.101,92,絶望の世界の中,界
17.101,17.301,0,ぜつぼうのせかいのなか,い
17.101,17.301,92,絶望の世界の中,界
17.301,17.568,0,ぜつぼうのせかいのなか,の
17.301,17.568,92,絶望の世界の中,の
17.568,17.935,0,ぜつぼうのせかいのなか,な
17.568,18.035,92,絶望の世界の中,中
17.935,18.035,0,ぜつぼうのせかいのなか,か
18.035,18.335,0,えいえんのようなやみをみた,え
18.035,18.335,92,永遠の様な闇を見た,遠
18.335,18.669,0,えいえんのようなやみをみた,い
18.335,18.669,92,永遠の様な闇を見た,遠
18.669,18.869,0,えいえんのようなやみをみた,え
18.669,18.869,92,永遠の様な闇を見た,遠
18.869,18.969,0,えいえんのようなやみをみた,ん
18.869,18.969,92,永遠の様な闇を見た,遠
18.969,19.203,0,えいえんのようなやみをみた,の
18.969,19.203,92,永遠の様な闇を見た,の
19.203,19.303,0,えいえんのようなやみをみた,よう
19.203,19.303,92,永遠の様な闇を見た,様
19.303,19.503,0,えいえんのようなやみをみた,な
19.303,19.503,92,永遠の様な闇を見た,な
19.503,19.603,0,えいえんのようなやみをみた,や
