start,end,line,unformatted,token
88.672,88.972,-1,コンッコンッコンッコンッ,コンッ
88.972,89.273,0,こんっこんっこんっこんっ,こんっ
88.972,89.273,-1,コンッコンッコンッコンッ,コンッ
90.507,90.808,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
90.507,90.808,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
90.808,91.108,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
90.808,91.108,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
91.108,91.442,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
91.108,91.442,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
91.442,91.975,0,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
91.442,91.975,-1,みぉんっみぉんっみぉんっみぉんっ,みぉんっ
91.975,92.276,-1,さぁさぁ　お手を拝借！,さぁ
91.975,92.276,0,さぁさぁおてをはいしゃく！,さぁ
92.276,92.609,-1,さぁさぁ　お手を拝借！,さぁ　
92.276,92.609,0,さぁさぁおてをはいしゃく！,さぁ
92.609,92.81,-1,さぁさぁ　お手を拝借！,お
92.609,92.81,0,さぁさぁおてをはいしゃく！,お
92.81,92.91,-1,さぁさぁ　お手を拝借！,手
92.81,92.91,0,さぁさぁおてをはいしゃく！,て
92.91,93.11,-1,さぁさぁ　お手を拝借！,を
92.91,93.11,0,さぁさぁおてをはいしゃく！,を
93.11,93.243,-1,さぁさぁ　お手を拝借！,拝
93.11,93.243,0,さぁさぁおてをはいしゃく！,は
93.243,93.41,-1,さぁさぁ　お手を拝借！,拝
93.243,93.41,0,さぁさぁおてをはいしゃく！,い
93.41,93.844,-1,さぁさぁ　お手を拝借！,借！
93.41,93.577,0,さぁさぁおてをはいしゃく！,しゃ
93.577,93.844,0,さぁさぁおてをはいしゃく！,く！
94.378,94.578,0,おにびとばしていたずらしたい,お
94.378,94.578,-1,鬼火飛ばして　悪戯したい,火
94.578,94.878,0,おにびとばしていたずらしたい,に
94.578,94.878,-1,鬼火飛ばして　悪戯したい,火
94.878,95.045,0,おにびとばしていたずらしたい,び
94.878,95.045,-1,鬼火飛ばして　悪戯したい,火
95.045,95.345,0,おにびとばしていたずらしたい,と
95.045,95.345,-1,鬼火飛ばして　悪戯したい,飛
95.345,95.479,0,おにびとばしていたずらしたい,ば
95.345,95.479,-1,鬼火飛ばして　悪戯したい,ば
95.479,95.779,0,おにびとばしていたずらしたい,し
95.479,95.779,-1,鬼火飛ばして　悪戯したい,し
95.779,95.946,0,おにびとばしていたずらしたい,て
95.779,95.946,-1,鬼火飛ばして　悪戯したい,て　
95.946,96.213,0,おにびとばしていたずらしたい,い
95.946,96.213,-1,鬼火飛ばして　悪戯したい,悪
96.213,96.413,0,おにびとばしていたずらしたい,た
96.213,96.413,-1,鬼火飛ばして　悪戯したい,悪
96.413,96.647,0,おにびとばしていたずらしたい,ず
96.413,96.647,-1,鬼火飛ばして　悪戯したい,戯
96.647,96.814,0,おにびとばしていたずらしたい,ら
96.647,96.814,-1,鬼火飛ばして　悪戯したい,戯
96.814,97.114,0,おにびとばしていたずらしたい,し
96.814,97.114,-1,鬼火飛ばして　悪戯したい,し
97.114,97.247,0,おにびとばしていたずらしたい,た
97.114,97.247,-1,鬼火飛ばして　悪戯したい,た
97.247,97.714,0,おにびとばしていたずらしたい,い
97.247,97.714,-1,鬼火飛ばして　悪戯したい,い
97.714,97.948,0,にんげんさまとだじゃれあそび,に
97.714,97.948,-1,人間様と駄洒落遊び,間
97.948,98.115,0,にんげんさまとだじゃれあそび,ん
97.948,98.115,-1,人間様と駄洒落遊び,間
98.115,98.382,0,にんげんさまとだじゃれあそび,げ
98.115,98.382,-1,人間様と駄洒落遊び,間
98.382,98.582,0,にんげんさまとだじゃれあそび,ん
98.382,98.582,-1,人間様と駄洒落遊び,間
98.582,98.849,0,にんげんさまとだじゃれあそび,さ
98.582,98.849,-1,人間様と駄洒落遊び,様
98.849,99.049,0,にんげんさまとだじゃれあそび,ま
98.849,99.049,-1,人間様と駄洒落遊び,様
99.049,99.316,0,にんげんさまとだじゃれあそび,と
99.049,99.316,-1,人間様と駄洒落遊び,と
99.316,99.483,0,にんげんさまとだじゃれあそび,だ
99.316,99.483,-1,人間様と駄洒落遊び,駄
99.483,99.783,0,にんげんさまとだじゃれあそび,じゃ
99.483,99.783,-1,人間様と駄洒落遊び,洒
99.783,99.883,0,にんげんさまとだじゃれあそび,れ
99.783,99.883,-1,人間様と駄洒落遊び,落
99.883,100.217,0,にんげんさまとだじゃれあそび,あ
99.883,100.217,-1,人間様と駄洒落遊び,遊
100.217,100.35,0,にんげんさまとだじゃれあそび,そ
100.217,100.35,-1,人間様と駄洒落遊び,遊
100.35,101.518,0,にんげんさまとだじゃれあそび,び
100.35,101.518,-1,人間様と駄洒落遊び,び
100.617,100.717,7,（あらよっと！）,（あ
100.617,100.717,85,（あら余っと！）,（あ
100.717,100.784,7,（あらよっと！）,ら
100.717,100.784,85,（あら余っと！）,ら
100.784,100.918,7,（あらよっと！）,よ
100.784,100.918,85,（あら余っと！）,余
100.918,101.085,7,（あらよっと！）,っ
100.918,101.085,85,（あら余っと！）,っ
101.085,101.518,7,（あらよっと！）,と！）
101.085,101.518,85,（あら余っと！）,と！）
101.518,101.685,0,おやにくすりとなかゆびつけて,お
101.518,101.685,-1,親に薬と中指付けて,に
101.685,101.952,0,おやにくすりとなかゆびつけて,や
101.685,101.952,-1,親に薬と中指付けて,に
101.952,102.152,0,おやにくすりとなかゆびつけて,に
101.952,102.152,-1,親に薬と中指付けて,に
102.152,102.453,0,おやにくすりとなかゆびつけて,く
102.152,102.453,-1,親に薬と中指付けて,薬
102.453,102.586,0,おやにくすりとなかゆびつけて,す
102.453,102.586,-1,親に薬と中指付けて,薬
102.586,102.886,0,おやにくすりとなかゆびつけて,り
102.586,102.886,-1,親に薬と中指付けて,薬
102.886,103.02,0,おやにくすりとなかゆびつけて,と
102.886,103.02,-1,親に薬と中指付けて,と
103.02,103.287,0,おやにくすりとなかゆびつけて,な
103.02,103.287,-1,親に薬と中指付けて,中
103.287,103.487,0,おやにくすりとなかゆびつけて,か
103.287,103.487,-1,親に薬と中指付けて,中
103.487,103.754,0,おやにくすりとなかゆびつけて,ゆ
103.487,103.754,-1,親に薬と中指付けて,指
103.754,103.921,0,おやにくすりとなかゆびつけて,び
103.754,103.921,-1,親に薬と中指付けて,指
103.921,104.188,0,おやにくすりとなかゆびつけて,つ
103.921,104.188,-1,親に薬と中指付けて,付
104.188,104.354,0,おやにくすりとなかゆびつけて,け
104.188,104.354,-1,親に薬と中指付けて,け
104.354,104.822,0,おやにくすりとなかゆびつけて,て
104.354,104.822,-1,親に薬と中指付けて,て
104.822,105.122,0,すこるはげきからいなりずし,す
104.822,105.122,-1,好こるは激辛稲荷寿司,好
105.122,105.255,0,すこるはげきからいなりずし,こ
105.122,105.255,-1,好こるは激辛稲荷寿司,こ
105.255,105.556,0,すこるはげきからいなりずし,る
105.255,105.556,-1,好こるは激辛稲荷寿司,る
105.556,105.722,0,すこるはげきからいなりずし,は
105.556,105.722,-1,好こるは激辛稲荷寿司,は
105.722,105.989,0,すこるはげきからいなりずし,げ
105.722,105.989,-1,好こるは激辛稲荷寿司,激
105.989,106.156,0,すこるはげきからいなりずし,き
105.989,106.156,-1,好こるは激辛稲荷寿司,激
106.156,106.423,0,すこるはげきからいなりずし,か
106.156,106.423,-1,好こるは激辛稲荷寿司,辛
106.423,106.59,0,すこるはげきからいなりずし,ら
106.423,106.59,-1,好こるは激辛稲荷寿司,辛
106.59,106.89,0,すこるはげきからいなりずし,い
106.59,106.89,-1,好こるは激辛稲荷寿司,稲
106.89,107.024,0,すこるはげきからいなりずし,な
106.89,107.024,-1,好こるは激辛稲荷寿司,荷
107.024,107.324,0,すこるはげきからいなりずし,り
107.024,107.324,-1,好こるは激辛稲荷寿司,荷
107.324,107.424,0,すこるはげきからいなりずし,ず
107.324,107.424,-1,好こるは激辛稲荷寿司,寿
107.424,108.659,0,すこるはげきからいなりずし,し
107.424,108.659,-1,好こるは激辛稲荷寿司,司
107.925,108.659,7,（こんっ！）,（こんっ！）
107.925,108.659,85,（コンッ！）,（コンッ！）
108.659,108.826,0,いぬもあるけばうらないあたる,い
108.659,108.826,-1,犬も歩けば占い当たる,も
108.826,109.126,0,いぬもあるけばうらないあたる,ぬ
108.826,109.126,-1,犬も歩けば占い当たる,も
109.126,109.293,0,いぬもあるけばうらないあたる,も
109.126,109.293,-1,犬も歩けば占い当たる,も
109.293,109.56,0,いぬもあるけばうらないあたる,あ
109.293,109.56,-1,犬も歩けば占い当たる,歩
109.56,109.726,0,いぬもあるけばうらないあたる,る
109.56,109.726,-1,犬も歩けば占い当たる,歩
109.726,110.027,0,いぬもあるけばうらないあたる,け
109.726,110.027,-1,犬も歩けば占い当たる,け
110.027,110.16,0,いぬもあるけばうらないあたる,ば
110.027,110.16,-1,犬も歩けば占い当たる,ば
110.16,110.427,0,いぬもあるけばうらないあたる,う
110.16,110.427,-1,犬も歩けば占い当たる,占
110.427,110.627,0,いぬもあるけばうらないあたる,ら
110.427,110.627,-1,犬も歩けば占い当たる,占
110.627,110.894,0,いぬもあるけばうらないあたる,な
110.627,110.894,-1,犬も歩けば占い当たる,占
110.894,111.028,0,いぬもあるけばうらないあたる,い
110.894,111.028,-1,犬も歩けば占い当たる,い
111.028,111.328,0,いぬもあるけばうらないあたる,あ
111.028,111.328,-1,犬も歩けば占い当たる,当
111.328,111.495,0,いぬもあるけばうらないあたる,た
111.328,111.495,-1,犬も歩けば占い当たる,た
111.495,112.229,0,いぬもあるけばうらないあたる,る
111.495,112.229,-1,犬も歩けば占い当たる,る
112.229,112.396,0,いでよしょうかんはとたうるす,い
112.229,112.396,-1,出でよ召喚ハトタウルス,出
112.396,112.629,0,いでよしょうかんはとたうるす,で
112.396,112.629,-1,出でよ召喚ハトタウルス,で
112.629,112.83,0,いでよしょうかんはとたうるす,よ
112.629,112.83,-1,出でよ召喚ハトタウルス,よ
112.83,113.03,0,いでよしょうかんはとたうるす,しょ
112.83,113.03,-1,出でよ召喚ハトタウルス,召
113.03,113.297,0,いでよしょうかんはとたうるす,う
113.03,113.297,-1,出でよ召喚ハトタウルス,召
113.297,113.497,0,いでよしょうかんはとたうるす,か
113.297,113.497,-1,出でよ召喚ハトタウルス,喚
113.497,113.73,0,いでよしょうかんはとたうるす,ん
113.497,113.73,-1,出でよ召喚ハトタウルス,喚
113.73,113.997,0,いでよしょうかんはとたうるす,は
113.73,113.997,-1,出でよ召喚ハトタウルス,ハ
113.997,114.164,0,いでよしょうかんはとたうるす,と
113.997,114.164,-1,出でよ召喚ハトタウルス,ト
114.164,114.431,0,いでよしょうかんはとたうるす,た
114.164,114.431,-1,出でよ召喚ハトタウルス,タ
114.431,114.565,0,いでよしょうかんはとたうるす,う
114.431,114.565,-1,出でよ召喚ハトタウルス,ウ
114.565,115.032,0,いでよしょうかんはとたうるす,る
114.565,115.032,-1,出でよ召喚ハトタウルス,ル
115.032,116.7,0,いでよしょうかんはとたうるす,す
115.032,116.7,-1,出でよ召喚ハトタウルス,ス
115.365,115.466,7,（うわぁっ！びっくりしたぁ！）,（う
115.365,115.466,85,（うわぁっ！ビックリしたぁ！）,（う
115.466,115.866,7,（うわぁっ！びっくりしたぁ！）,わぁっ！
115.466,115.866,85,（うわぁっ！ビックリしたぁ！）,わぁっ！
115.866,115.999,7,（うわぁっ！びっくりしたぁ！）,びっ
115.866,115.999,85,（うわぁっ！ビックリしたぁ！）,ビッ
115.999,116.1,7,（うわぁっ！びっくりしたぁ！）,く
