start,end,line,unformatted,segments,token,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments
104.021,105.722,0,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",me,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
103.854,104.021,0,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",se,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
102.719,103.854,0,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",choo,False,False,False,False,True,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e')]"
107.057,107.758,-1,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e')]",me,True,False,True,True,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e')]"
106.824,107.057,-1,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e')]",se,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
105.722,106.824,-1,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",choo,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
104.021,105.722,-1,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",me,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
103.854,104.021,-1,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",se,False,False,False,False,False,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (3, 'm'), (3, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]"
102.719,103.854,-1,choosemechooseme,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]",choo,False,False,False,False,True,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (3, 's'), (3, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'こ'), (3, 'う'), (3, 'の'), (3, '伊'), (3, '礼'), (3, 'え'), (3, 'り')]"
5.222,6.724,-1,【作画】こうの伊礼えり,"[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'こ'), (3, 'う'), (3, 'の'), (3, '伊'), (3, '礼'), (3, 'え'), (3, 'り')]",【作画】こうの伊礼えり,True,True,False,True,True,"[(3, 'c'), (3, 'h'), (3, 'o'), (3, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e'), (2, 'c'), (2, 'h'), (2, 'o'), (2, 'o'), (2, 's'), (2, 'e'), (2, 'm'), (2, 'e')]","[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'て'), (3, 'あ'), (3, 'せ'), (3, 'よ'), (3, 'は')]"
2.219,3.721,-1,【作画】てあせよは,"[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'て'), (3, 'あ'), (3, 'せ'), (3, 'よ'), (3, 'は')]",【作画】てあせよは,True,True,False,True,True,"[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'こ'), (3, 'う'), (3, 'の'), (3, '伊'), (3, '礼'), (3, 'え'), (3, 'り')]","[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'ほ'), (3, 'う'), (3, 'じ'), (3, '茶'), (3, 't'), (3, 'a'), (3, 'k'), (3, 'e')]"
3.721,5.222,-1,【作画】ほうじ茶take,"[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'ほ'), (3, 'う'), (3, 'じ'), (3, '茶'), (3, 't'), (3, 'a'), (3, 'k'), (3, 'e')]",【作画】ほうじ茶take,True,True,False,True,True,"[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'て'), (3, 'あ'), (3, 'せ'), (3, 'よ'), (3, 'は')]","[(3, 'あ'), (3, '、'), (3, 'そ'), (3, 'う'), (3, 'か'), (3, 'か'), (3, 'ん'), (3, 'た'), (3, 'ん'), (3, 'だ'), (3, '、'), (3, 'せ'), (3, 'ん'), (3, 'ち'), (3, 'ょ'), (3, 'う'), (3, 'を'), (3, 'き'), (3, 'め'), (3, 'て'), (3, 'な'), (3, 'か'), (3, 'っ'), (3, 'た'), (3, 'ん'), (3, 'だ')]"
35.219,35.486,0,あ、そうかかんたんだ、せんちょうをきめてなかったんだ,"[(3, 'あ'), (3, '、'), (3, 'そ'), (3, 'う'), (3, 'か'), (3, 'か'), (3, 'ん'), (3, 'た'), (3, 'ん'), (3, 'だ'), (3, '、'), (3, 'せ'), (3, 'ん'), (3, 'ち'), (3, 'ょ'), (3, 'う'), (3, 'を'), (3, 'き'), (3, 'め'), (3, 'て'), (3, 'な'), (3, 'か'), (3, 'っ'), (3, 'た'), (3, 'ん'), (3, 'だ')]",だ,True,True,True,True,False,"[(3, '【'), (3, '作'), (3, '画'), (3, '】'), (3, 'ほ'), (3, 'う'), (3, 'じ'), (3, '茶'), (3, 't'), (3, 'a'), (3, 'k'), (3, 'e')]","[(3, 'あ'), (3, '、'), (3, 'そ'), (3, 'う'), (3, 'か'), (3, 'か'), (3, 'ん'), (3, 'た'), (3, 'ん'), (3, 'だ'), (3, '、'), (3, 'せ'), (3, 'ん'), (3, 'ち'), (3, 'ょ'), (3, 'う'), (3, 'を'), (3, 'き'), (3, 'め'), (3, 'て'), (3, 'な'), (3, 'か'), (3, 'っ'), (3, 'た'), (3, 'ん'), (2, 'だ')]"
