start,end,line,unformatted,segments,ref_start,ref_end,common_number
274.825,277.527,85,a.sax:今尾敏道,"[(1, 'a.sax:今尾敏道')]",True,True,0
266.75,269.453,85,cello:篠崎由紀,"[(1, 'cello:篠崎由紀')]",True,True,0
277.527,280.23,85,mixedbytakuinoueatmidorinostudio,"[(1, 'mixedbytakuinoueatmidorinostudio')]",True,True,0
18.602,20.704,92,producedbytakuinoue,"[(1, 'producedbytakuinoue')]",True,True,0
284.501,285.736,92,stellarstellar,"[(1, 'stellarstellar')]",True,False,3
284.201,284.501,92,stellarstellar,"[(1, 'stellarstel'), (3, 'lar')]",False,False,3
283.867,284.201,92,stellarstellar,"[(1, 'stellar'), (3, 'stellar')]",False,False,3
283.467,283.867,92,stellarstellar,"[(1, 'stel'), (3, 'larstellar')]",False,False,3
9.46,9.893,92,stellarstellar,"[(1, 'stellarstellar')]",False,False,3
9.159,9.46,92,stellarstellar,"[(1, 'stellarstel'), (3, 'lar')]",False,False,3
8.792,9.159,92,stellarstellar,"[(1, 'stellar'), (3, 'stellar')]",False,False,3
8.425,8.792,92,stellarstellar,"[(1, 'stel'), (3, 'larstellar')]",False,False,3
284.501,285.736,0,stellarstellar,"[(1, 'stellarstellar')]",False,False,3
284.201,284.501,0,stellarstellar,"[(1, 'stellarstel'), (3, 'lar')]",False,False,3
283.867,284.201,0,stellarstellar,"[(1, 'stellar'), (3, 'stellar')]",False,False,3
283.467,283.867,0,stellarstellar,"[(1, 'stel'), (3, 'larstellar')]",False,False,3
9.46,9.893,0,stellarstellar,"[(1, 'stellarstellar')]",False,False,3
9.159,9.46,0,stellarstellar,"[(1, 'stellarstel'), (3, 'lar')]",False,False,3
8.792,9.159,0,stellarstellar,"[(1, 'stellar'), (3, 'stellar')]",False,False,3
8.425,8.792,0,stellarstellar,"[(1, 'stel'), (3, 'larstellar')]",False,True,3
272.122,274.825,85,trombone:半田信英,"[(1, 'trombone:半田信英')]",True,True,0
269.453,272.122,85,trumpet:奥村晶,"[(1, 'trumpet:奥村晶')]",True,True,0
264.047,266.75,85,violin:chica,"[(1, 'violin:chica')]",True,True,0
143.56,144.561,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も泣いてるんだ')]",True,False,3
143.393,143.56,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も泣いてるん'), (3, 'だ')]",False,False,3
143.193,143.393,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も泣いてる'), (3, 'んだ')]",False,False,3
143.06,143.193,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も泣いて'), (3, 'るんだ')]",False,False,3
142.86,143.06,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も泣い'), (3, 'てるんだ')]",False,False,3
142.693,142.86,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も泣'), (3, 'いてるんだ')]",False,False,3
142.526,142.693,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星も'), (3, '泣いてるんだ')]",False,False,3
142.359,142.526,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星'), (3, 'も泣いてるんだ')]",False,False,3
142.192,142.359,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの星'), (3, 'も泣いてるんだ')]",False,False,3
142.025,142.192,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあの'), (3, '星も泣いてるんだ')]",False,False,3
141.859,142.025,92,──きっとあの星も泣いてるんだ,"[(1, '──きっとあ'), (3, 'の星も泣いてるんだ')]",False,False,3
141.358,141.859,92,──きっとあの星も泣いてるんだ,"[(1, '──きっと'), (3, 'あの星も泣いてるんだ')]",False,False,3
141.191,141.358,92,──きっとあの星も泣いてるんだ,"[(1, '──きっ'), (3, 'とあの星も泣いてるんだ')]",False,False,3
141.024,141.191,92,──きっとあの星も泣いてるんだ,"[(1, '──き'), (3, 'っとあの星も泣いてるんだ')]",False,True,3
