start,end,line,unformatted,segments,ref_start,ref_end,token
55.539,56.006,0,1、2、3,"[(3, '1'), (3, '、'), (3, '2'), (3, '、'), (3, '3')]",True,False,3
55.239,55.539,0,1、2、3,"[(3, '1'), (3, '、'), (3, '2'), (3, '、'), (2, '3')]",False,False,2、
54.905,55.239,0,1、2、3,"[(3, '1'), (3, '、'), (2, '2'), (2, '、'), (2, '3')]",False,True,1、
55.539,56.006,-1,1、2、3,"[(3, '1'), (3, '、'), (3, '2'), (3, '、'), (3, '3')]",True,False,3
55.239,55.539,-1,1、2、3,"[(3, '1'), (3, '、'), (3, '2'), (3, '、'), (2, '3')]",False,False,2、
54.905,55.239,-1,1、2、3,"[(3, '1'), (3, '、'), (2, '2'), (2, '、'), (2, '3')]",False,True,1、
11.428,13.197,91,drums:山本真央樹strings:室屋光一郎ストリングス,"[(3, 'd'), (3, 'r'), (3, 'u'), (3, 'm'), (3, 's'), (3, ':'), (3, '山'), (3, '本'), (3, '真'), (3, '央'), (3, '樹'), (3, 's'), (3, 't'), (3, 'r'), (3, 'i'), (3, 'n'), (3, 'g'), (3, 's'), (3, ':'), (3, '室'), (3, '屋'), (3, '光'), (3, '一'), (3, '郎'), (3, 'ス'), (3, 'ト'), (3, 'リ'), (3, 'ン'), (3, 'グ'), (3, 'ス')]",True,True,drums:山本真央樹strings:室屋光一郎ストリングス
89.706,91.442,91,mixingstudio:studioarterecording&amp;mixingengineer:菊池司（arterefact）,"[(3, 'm'), (3, 'i'), (3, 'x'), (3, 'i'), (3, 'n'), (3, 'g'), (3, 's'), (3, 't'), (3, 'u'), (3, 'd'), (3, 'i'), (3, 'o'), (3, ':'), (3, 's'), (3, 't'), (3, 'u'), (3, 'd'), (3, 'i'), (3, 'o'), (3, 'a'), (3, 'r'), (3, 't'), (3, 'e'), (3, 'r'), (3, 'e'), (3, 'c'), (3, 'o'), (3, 'r'), (3, 'd'), (3, 'i'), (3, 'n'), (3, 'g'), (3, '&'), (3, 'a'), (3, 'm'), (3, 'p'), (3, ';'), (3, 'm'), (3, 'i'), (3, 'x'), (3, 'i'), (3, 'n'), (3, 'g'), (3, 'e'), (3, 'n'), (3, 'g'), (3, 'i'), (3, 'n'), (3, 'e'), (3, 'e'), (3, 'r'), (3, ':'), (3, '菊'), (3, '池'), (3, '司'), (3, '（'), (3, 'a'), (3, 'r'), (3, 't'), (3, 'e'), (3, 'r'), (3, 'e'), (3, 'f'), (3, 'a'), (3, 'c'), (3, 't'), (3, '）')]",True,True,mixingstudio:studioarterecording&amp;mixingengineer:菊池司（arterefact）
87.971,89.706,83,recordingengineer:neerajkhajanchi、沢田悠介（studiojive）,"[(3, 'r'), (3, 'e'), (3, 'c'), (3, 'o'), (3, 'r'), (3, 'd'), (3, 'i'), (3, 'n'), (3, 'g'), (3, 'e'), (3, 'n'), (3, 'g'), (3, 'i'), (3, 'n'), (3, 'e'), (3, 'e'), (3, 'r'), (3, ':'), (3, 'n'), (3, 'e'), (3, 'e'), (3, 'r'), (3, 'a'), (3, 'j'), (3, 'k'), (3, 'h'), (3, 'a'), (3, 'j'), (3, 'a'), (3, 'n'), (3, 'c'), (3, 'h'), (3, 'i'), (3, '、'), (3, '沢'), (3, '田'), (3, '悠'), (3, '介'), (3, '（'), (3, 's'), (3, 't'), (3, 'u'), (3, 'd'), (3, 'i'), (3, 'o'), (3, 'j'), (3, 'i'), (3, 'v'), (3, 'e'), (3, '）')]",True,True,recordingengineer:neerajkhajanchi、沢田悠介（studiojive）
91.442,93.177,-1,sounddirectedby宮家智彦（arterefact）,"[(3, 's'), (3, 'o'), (3, 'u'), (3, 'n'), (3, 'd'), (3, 'd'), (3, 'i'), (3, 'r'), (3, 'e'), (3, 'c'), (3, 't'), (3, 'e'), (3, 'd'), (3, 'b'), (3, 'y'), (3, '宮'), (3, '家'), (3, '智'), (3, '彦'), (3, '（'), (3, 'a'), (3, 'r'), (3, 't'), (3, 'e'), (3, 'r'), (3, 'e'), (3, 'f'), (3, 'a'), (3, 'c'), (3, 't'), (3, '）')]",True,True,sounddirectedby宮家智彦（arterefact）
93.177,94.912,-1,soundproducedby小濱信慶（arterefact）,"[(3, 's'), (3, 'o'), (3, 'u'), (3, 'n'), (3, 'd'), (3, 'p'), (3, 'r'), (3, 'o'), (3, 'd'), (3, 'u'), (3, 'c'), (3, 'e'), (3, 'd'), (3, 'b'), (3, 'y'), (3, '小'), (3, '濱'), (3, '信'), (3, '慶'), (3, '（'), (3, 'a'), (3, 'r'), (3, 't'), (3, 'e'), (3, 'r'), (3, 'e'), (3, 'f'), (3, 'a'), (3, 'c'), (3, 't'), (3, '）')]",True,True,soundproducedby小濱信慶（arterefact）
13.197,14.898,91,stringsscoring:宮野幸子（shangri-lainc.）allotherinstruments&amp;programming:堀江晶太,"[(3, 's'), (3, 't'), (3, 'r'), (3, 'i'), (3, 'n'), (3, 'g'), (3, 's'), (3, 's'), (3, 'c'), (3, 'o'), (3, 'r'), (3, 'i'), (3, 'n'), (3, 'g'), (3, ':'), (3, '宮'), (3, '野'), (3, '幸'), (3, '子'), (3, '（'), (3, 's'), (3, 'h'), (3, 'a'), (3, 'n'), (3, 'g'), (3, 'r'), (3, 'i'), (3, '-'), (3, 'l'), (3, 'a'), (3, 'i'), (3, 'n'), (3, 'c'), (3, '.'), (3, '）'), (3, 'a'), (3, 'l'), (3, 'l'), (3, 'o'), (3, 't'), (3, 'h'), (3, 'e'), (3, 'r'), (3, 'i'), (3, 'n'), (3, 's'), (3, 't'), (3, 'r'), (3, 'u'), (3, 'm'), (3, 'e'), (3, 'n'), (3, 't'), (3, 's'), (3, '&'), (3, 'a'), (3, 'm'), (3, 'p'), (3, ';'), (3, 'p'), (3, 'r'), (3, 'o'), (3, 'g'), (3, 'r'), (3, 'a'), (3, 'm'), (3, 'm'), (3, 'i'), (3, 'n'), (3, 'g'), (3, ':'), (3, '堀'), (3, '江'), (3, '晶'), (3, '太')]",True,True,stringsscoring:宮野幸子（shangri-lainc.）allotherinstruments&amp;programming:堀江晶太
49.233,49.7,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (3, 'て'), (3, 'ち'), (3, 'ゃ'), (3, 'だ'), (3, 'め'), (3, 'だ'), (3, 'よ'), (3, '」')]",True,False,よ」
49.033,49.233,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (3, 'て'), (3, 'ち'), (3, 'ゃ'), (3, 'だ'), (3, 'め'), (3, 'だ'), (2, 'よ'), (2, '」')]",False,False,だ
48.732,49.033,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (3, 'て'), (3, 'ち'), (3, 'ゃ'), (3, 'だ'), (3, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,め
48.599,48.732,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (3, 'て'), (3, 'ち'), (3, 'ゃ'), (3, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,だ
48.499,48.599,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (3, 'て'), (3, 'ち'), (3, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,ちゃ
48.365,48.499,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (3, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,て
48.198,48.365,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (3, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,い
47.931,48.198,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (3, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,な
47.498,47.931,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (3, 'ら'), (2, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,ら
47.297,47.498,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (3, 'か'), (2, 'ら'), (2, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,か
47.064,47.297,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (3, 'い'), (2, 'か'), (2, 'ら'), (2, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,い
46.964,47.064,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (3, 'い'), (2, 'い'), (2, 'か'), (2, 'ら'), (2, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,い
46.864,46.964,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (3, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, 'ら'), (2, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,で
46.764,46.864,0,「ゆっくりでいいからないてちゃだめだよ」,"[(3, '「'), (3, 'ゆ'), (3, 'っ'), (3, 'く'), (3, 'り'), (2, 'で'), (2, 'い'), (2, 'い'), (2, 'か'), (2, 'ら'), (2, 'な'), (2, 'い'), (2, 'て'), (2, 'ち'), (2, 'ゃ'), (2, 'だ'), (2, 'め'), (2, 'だ'), (2, 'よ'), (2, '」')]",False,False,り
