start,end,line,unformatted,segments,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments,token
223.574,224.341,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (6, 's'), (6, 'o'), (6, 'u'), (6, 'l')]",False,True,True,True,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (6, 's'), (6, 'o'), (6, 'u'), (6, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",soul
223.207,223.574,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (6, 's'), (6, 'o'), (6, 'u'), (6, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",ing
222.839,223.207,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",last
222.472,222.839,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",er
222.072,222.472,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (7, 'e'), (7, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",ev
221.705,222.072,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (7, 'e'), (7, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (7, 't'), (7, 'h'), (7, 'e'), (7, 'e'), (7, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",the
221.338,221.705,0,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (7, 't'), (7, 'h'), (7, 'e'), (7, 'e'), (7, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,True,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (7, 'e'), (7, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (6, 's'), (6, 'o'), (6, 'u'), (6, 'l')]",for
223.574,224.341,-1,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (6, 's'), (6, 'o'), (6, 'u'), (6, 'l')]",True,False,True,True,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (7, 't'), (7, 'h'), (7, 'e'), (7, 'e'), (7, 'v'), (7, 'e'), (7, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",soul
223.207,223.574,-1,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (6, 's'), (6, 'o'), (6, 'u'), (6, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",ing
222.839,223.207,-1,fortheeverlastingsoul,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",False,False,False,False,False,"[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (6, 'l'), (6, 'a'), (6, 's'), (6, 't'), (6, 'i'), (6, 'n'), (6, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]","[(6, 'f'), (6, 'o'), (6, 'r'), (6, 't'), (6, 'h'), (6, 'e'), (6, 'e'), (6, 'v'), (6, 'e'), (6, 'r'), (7, 'l'), (7, 'a'), (7, 's'), (7, 't'), (7, 'i'), (7, 'n'), (7, 'g'), (7, 's'), (7, 'o'), (7, 'u'), (7, 'l')]",last
