start,end,line,unformatted,segments,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments,token
72.723,73.757,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (3, 'w'), (3, 'a'), (3, 'y')]",False,True,True,True,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (3, 'w'), (3, 'a'), (3, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",way
72.256,72.723,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (3, 'w'), (3, 'a'), (3, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",a
71.722,72.256,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",fade
71.555,71.722,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",will
71.288,71.555,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (2, 'n'), (2, 'e'), (2, 's'), (2, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",ness
71.021,71.288,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (2, 'n'), (2, 'e'), (2, 's'), (2, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,True,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (3, 'w'), (3, 'a'), (3, 'y')]",dark
5.155,6.156,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (3, 'w'), (3, 'a'), (3, 'y')]",True,False,False,True,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (2, 'n'), (2, 'e'), (2, 's'), (2, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",way
4.621,5.155,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (3, 'w'), (3, 'a'), (3, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",a
4.121,4.621,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (3, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",fade
3.954,4.121,0,darknesswillfadeaway,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",False,False,False,False,False,"[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (3, 'w'), (3, 'i'), (3, 'l'), (3, 'l'), (3, 'f'), (3, 'a'), (3, 'd'), (3, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]","[(3, 'd'), (3, 'a'), (3, 'r'), (3, 'k'), (3, 'n'), (3, 'e'), (3, 's'), (3, 's'), (2, 'w'), (2, 'i'), (2, 'l'), (2, 'l'), (2, 'f'), (2, 'a'), (2, 'd'), (2, 'e'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'y')]",will
