start,end,line,unformatted,segments,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments,token
13.397,16.133,91,art:hydemove:rumskii,"[(1, 'a'), (1, 'r'), (1, 't'), (1, ':'), (1, 'h'), (1, 'y'), (1, 'd'), (1, 'e'), (1, 'm'), (1, 'o'), (1, 'v'), (1, 'e'), (1, ':'), (1, 'r'), (1, 'u'), (1, 'm'), (1, 's'), (1, 'k'), (1, 'i'), (1, 'i')]",False,True,True,True,True,"[(1, 'a'), (1, 'r'), (1, 't'), (1, ':'), (1, 'h'), (1, 'y'), (1, 'd'), (1, 'e'), (1, 'm'), (1, 'o'), (1, 'v'), (1, 'e'), (1, ':'), (1, 'r'), (1, 'u'), (1, 'm'), (1, 's'), (1, 'k'), (1, 'i'), (1, 'i')]","[(1, 'm'), (1, 'i'), (1, 'x'), (1, ':'), (1, 'よ'), (1, 'し'), (1, 'け'), (1, 'ん')]",art:hydemove:rumskii
10.661,13.397,-1,mix:よしけん,"[(1, 'm'), (1, 'i'), (1, 'x'), (1, ':'), (1, 'よ'), (1, 'し'), (1, 'け'), (1, 'ん')]",False,True,True,True,True,"[(1, 'a'), (1, 'r'), (1, 't'), (1, ':'), (1, 'h'), (1, 'y'), (1, 'd'), (1, 'e'), (1, 'm'), (1, 'o'), (1, 'v'), (1, 'e'), (1, ':'), (1, 'r'), (1, 'u'), (1, 'm'), (1, 's'), (1, 'k'), (1, 'i'), (1, 'i')]","[(1, 'o'), (1, 'r'), (1, 'i'), (1, 'g'), (1, 'i'), (1, 'n'), (1, 'a'), (1, 'l'), (1, ':'), (1, 's'), (1, 'y'), (1, 'u'), (1, 'd'), (1, 'o'), (1, 'u')]",mix:よしけん
5.222,7.958,-1,original:syudou,"[(1, 'o'), (1, 'r'), (1, 'i'), (1, 'g'), (1, 'i'), (1, 'n'), (1, 'a'), (1, 'l'), (1, ':'), (1, 's'), (1, 'y'), (1, 'u'), (1, 'd'), (1, 'o'), (1, 'u')]",True,True,False,True,True,"[(1, 'm'), (1, 'i'), (1, 'x'), (1, ':'), (1, 'よ'), (1, 'し'), (1, 'け'), (1, 'ん')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (1, 'ろ'), (1, 'だ'), (1, '？')]",original:syudou
80.064,80.197,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (1, 'ろ'), (1, 'だ'), (1, '？')]",True,True,True,True,False,"[(1, 'o'), (1, 'r'), (1, 'i'), (1, 'g'), (1, 'i'), (1, 'n'), (1, 'a'), (1, 'l'), (1, ':'), (1, 's'), (1, 'y'), (1, 'u'), (1, 'd'), (1, 'o'), (1, 'u')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (1, 'ろ'), (3, 'だ'), (3, '？')]",だ？
79.863,80.064,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (1, 'ろ'), (3, 'だ'), (3, '？')]",False,False,False,False,False,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (1, 'ろ'), (1, 'だ'), (1, '？')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",ろ
79.73,79.863,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",False,False,False,False,False,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (1, 'ろ'), (3, 'だ'), (3, '？')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",め
79.53,79.73,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",False,False,False,False,False,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (1, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",や
79.363,79.53,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",False,False,False,False,False,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (3, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",を
79.196,79.363,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (1, 'れ'), (3, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",False,False,False,False,False,"[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]","[(1, '「'), (1, 'こ'), (3, 'れ'), (3, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",れ
79.063,79.196,0,「これをやめろだ？,"[(1, '「'), (1, 'こ'), (3, 'れ'), (3, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]",False,False,False,False,True,"[(1, '「'), (1, 'こ'), (1, 'れ'), (3, 'を'), (3, 'や'), (3, 'め'), (3, 'ろ'), (3, 'だ'), (3, '？')]","[(1, '「'), (1, 'こ'), (1, 'れ'), (1, 'を'), (1, '辞'), (1, 'め'), (1, 'ろ'), (1, 'だ'), (1, '？')]",「こ
