start,end,line,unformatted,segments,ref_start,ref_end,token
20.838,22.006,92,mix:k\'s,"[(2, 'm'), (2, 'i'), (2, 'x'), (2, ':'), (2, 'k'), (2, '\\'), (2, ""'""), (2, 's')]",True,True,mix:k\'s
22.006,23.14,92,movie:kanauru,"[(2, 'm'), (2, 'o'), (2, 'v'), (2, 'i'), (2, 'e'), (2, ':'), (2, 'k'), (2, 'a'), (2, 'n'), (2, 'a'), (2, 'u'), (2, 'r'), (2, 'u')]",True,True,movie:kanauru
18.569,19.703,92,originalartist:40mp,"[(2, 'o'), (2, 'r'), (2, 'i'), (2, 'g'), (2, 'i'), (2, 'n'), (2, 'a'), (2, 'l'), (2, 'a'), (2, 'r'), (2, 't'), (2, 'i'), (2, 's'), (2, 't'), (2, ':'), (2, '4'), (2, '0'), (2, 'm'), (2, 'p')]",True,True,originalartist:40mp
19.703,20.838,92,vocals:七詩ムメイ,"[(2, 'v'), (2, 'o'), (2, 'c'), (2, 'a'), (2, 'l'), (2, 's'), (2, ':'), (2, '七'), (2, '詩'), (2, 'ム'), (2, 'メ'), (2, 'イ')]",True,True,vocals:七詩ムメイ
50.0,50.2,0,せーの！,"[(2, 'せ'), (2, 'ー'), (2, 'の'), (2, '！')]",True,False,の！
49.433,50.0,0,せーの！,"[(2, 'せ'), (2, 'ー'), (3, 'の'), (3, '！')]",False,True,せー
68.585,70.287,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (2, 'く'), (2, 'な'), (2, 'る')]",True,False,る
68.285,68.585,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (2, 'く'), (2, 'な'), (3, 'る')]",False,False,な
67.985,68.285,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (2, 'く'), (3, 'な'), (3, 'る')]",False,False,く
67.718,67.985,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,し
67.518,67.718,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,れ
67.418,67.518,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (3, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,う
67.117,67.418,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (3, 'う'), (3, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,だん
66.85,67.117,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (3, 'だ'), (3, 'ん'), (3, 'う'), (3, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,True,だん
18.302,20.27,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (2, 'く'), (2, 'な'), (2, 'る')]",True,False,る
18.002,18.302,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (2, 'く'), (2, 'な'), (3, 'る')]",False,False,な
17.701,18.002,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (2, 'く'), (3, 'な'), (3, 'る')]",False,False,く
17.401,17.701,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (2, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,し
17.267,17.401,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (2, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,れ
17.134,17.267,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'う'), (3, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,う
16.867,17.134,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (3, 'う'), (3, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,だん
16.567,16.867,0,だんだんうれしくなる,"[(2, 'だ'), (2, 'ん'), (3, 'だ'), (3, 'ん'), (3, 'う'), (3, 'れ'), (3, 'し'), (3, 'く'), (3, 'な'), (3, 'る')]",False,True,だん
59.443,59.71,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (2, 'く'), (2, 'な'), (2, 'る')]",True,False,る
59.143,59.443,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (2, 'く'), (2, 'な'), (3, 'る')]",False,False,な
58.876,59.143,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (2, 'く'), (3, 'な'), (3, 'る')]",False,False,く
58.575,58.876,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,き
58.442,58.575,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,お
58.308,58.442,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (3, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,お
58.008,58.308,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (3, 'お'), (3, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,だん
57.708,58.008,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (3, 'だ'), (3, 'ん'), (3, 'お'), (3, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,True,だん
9.159,9.426,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (2, 'く'), (2, 'な'), (2, 'る')]",True,False,る
8.859,9.159,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (2, 'く'), (2, 'な'), (3, 'る')]",False,False,な
8.592,8.859,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (2, 'く'), (3, 'な'), (3, 'る')]",False,False,く
8.292,8.592,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (2, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,き
8.158,8.292,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (2, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,お
8.025,8.158,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'お'), (3, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,お
7.725,8.025,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (3, 'お'), (3, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,だん
7.424,7.725,0,だんだんおおきくなる,"[(2, 'だ'), (2, 'ん'), (3, 'だ'), (3, 'ん'), (3, 'お'), (3, 'お'), (3, 'き'), (3, 'く'), (3, 'な'), (3, 'る')]",False,True,だん
36.62,36.854,0,だんだんかわいくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'か'), (2, 'わ'), (2, 'い'), (2, 'く'), (2, 'な'), (2, 'る')]",True,False,る
36.286,36.62,0,だんだんかわいくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'か'), (2, 'わ'), (2, 'い'), (2, 'く'), (2, 'な'), (3, 'る')]",False,False,な
36.02,36.286,0,だんだんかわいくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'か'), (2, 'わ'), (2, 'い'), (2, 'く'), (3, 'な'), (3, 'る')]",False,False,く
35.719,36.02,0,だんだんかわいくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'か'), (2, 'わ'), (2, 'い'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,い
35.552,35.719,0,だんだんかわいくなる,"[(2, 'だ'), (2, 'ん'), (2, 'だ'), (2, 'ん'), (2, 'か'), (2, 'わ'), (3, 'い'), (3, 'く'), (3, 'な'), (3, 'る')]",False,False,わ
