start,end,line,unformatted,segments,time_diff,unf_diff,line_diff,ref_start,ref_end,prev_segments,next_segments,token
52.736,53.237,0,3.2.1!,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (48, '1'), (41, '!')]",False,True,True,True,False,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (48, '1'), (41, '!')]","[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (185, '1'), (185, '!')]",1!
52.236,52.736,0,3.2.1!,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (185, '1'), (185, '!')]",False,False,False,False,False,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (48, '1'), (41, '!')]","[(166, '3'), (133, '.'), (185, '2'), (185, '.'), (185, '1'), (185, '!')]",2.
51.735,52.236,0,3.2.1!,"[(166, '3'), (133, '.'), (185, '2'), (185, '.'), (185, '1'), (185, '!')]",False,False,False,False,True,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (185, '1'), (185, '!')]","[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (48, '1'), (41, '!')]",3.
52.736,53.237,-1,3.2.1!,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (48, '1'), (41, '!')]",True,False,True,True,False,"[(166, '3'), (133, '.'), (185, '2'), (185, '.'), (185, '1'), (185, '!')]","[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (185, '1'), (185, '!')]",1!
52.236,52.736,-1,3.2.1!,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (185, '1'), (185, '!')]",False,False,False,False,False,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (48, '1'), (41, '!')]","[(166, '3'), (133, '.'), (185, '2'), (185, '.'), (185, '1'), (185, '!')]",2.
51.735,52.236,-1,3.2.1!,"[(166, '3'), (133, '.'), (185, '2'), (185, '.'), (185, '1'), (185, '!')]",False,False,False,False,True,"[(166, '3'), (133, '.'), (90, '2'), (60, '.'), (185, '1'), (185, '!')]","[(96, 'h'), (74, 'o'), (39, 'l'), (36, 'o'), (30, 'l'), (27, 'i'), (22, 'v'), (18, 'e'), (13, 'i'), (9, 'd'), (4, 'o'), (6, 'l'), (10, 'p'), (12, 'r'), (15, 'o'), (20, 'j'), (23, 'e'), (26, 'c'), (28, 't'), (34, '-'), (37, 'あ'), (40, 'す'), (56, 'い'), (69, 'ろ'), (81, 'c'), (91, 'l'), (101, 'e'), (109, 'a'), (119, 'r'), (126, 's'), (134, 'k'), (140, 'y')]",3.
80.764,83.4,85,hololiveidolproject-あすいろclearsky,"[(96, 'h'), (74, 'o'), (39, 'l'), (36, 'o'), (30, 'l'), (27, 'i'), (22, 'v'), (18, 'e'), (13, 'i'), (9, 'd'), (4, 'o'), (6, 'l'), (10, 'p'), (12, 'r'), (15, 'o'), (20, 'j'), (23, 'e'), (26, 'c'), (28, 't'), (34, '-'), (37, 'あ'), (40, 'す'), (56, 'い'), (69, 'ろ'), (81, 'c'), (91, 'l'), (101, 'e'), (109, 'a'), (119, 'r'), (126, 's'), (134, 'k'), (140, 'y')]",True,True,True,True,True,"[(166, '3'), (133, '.'), (185, '2'), (185, '.'), (185, '1'), (185, '!')]","[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (64, 'か'), (41, 'ら')]",hololiveidolproject-あすいろclearsky
79.296,79.797,0,あしたへはこぶから,"[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (64, 'か'), (41, 'ら')]",True,True,True,True,False,"[(96, 'h'), (74, 'o'), (39, 'l'), (36, 'o'), (30, 'l'), (27, 'i'), (22, 'v'), (18, 'e'), (13, 'i'), (9, 'd'), (4, 'o'), (6, 'l'), (10, 'p'), (12, 'r'), (15, 'o'), (20, 'j'), (23, 'e'), (26, 'c'), (28, 't'), (34, '-'), (37, 'あ'), (40, 'す'), (56, 'い'), (69, 'ろ'), (81, 'c'), (91, 'l'), (101, 'e'), (109, 'a'), (119, 'r'), (126, 's'), (134, 'k'), (140, 'y')]","[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (64, 'か'), (185, 'ら')]",ら
79.096,79.296,0,あしたへはこぶから,"[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (64, 'か'), (185, 'ら')]",False,False,False,False,False,"[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (64, 'か'), (41, 'ら')]","[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (185, 'か'), (185, 'ら')]",か
78.796,79.096,0,あしたへはこぶから,"[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (185, 'か'), (185, 'ら')]",False,False,False,False,False,"[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (166, 'ぶ'), (64, 'か'), (185, 'ら')]","[(191, 'あ'), (57, 'し'), (117, 'た'), (162, 'へ'), (222, 'は'), (190, 'こ'), (185, 'ぶ'), (185, 'か'), (185, 'ら')]",ぶ
