start,end,line,unformatted,segments,ref_start,ref_end,token,dupe
124.208,125.309,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (2, '近'), (2, 'づ'), (2, 'き'), (2, 'た'), (2, 'い')]",True,False,い,False
123.874,124.208,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (2, '近'), (2, 'づ'), (2, 'き'), (2, 'た'), (3, 'い')]",False,False,た,False
123.674,123.874,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (2, '近'), (2, 'づ'), (2, 'き'), (3, 'た'), (3, 'い')]",False,False,き,False
123.54,123.674,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (2, '近'), (2, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,づ,False
123.34,123.54,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (2, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,近,True
123.207,123.34,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (2, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,近,False
123.006,123.207,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (2, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,と,False
122.84,123.006,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (2, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,っ,False
122.639,122.84,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (2, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,も,False
121.605,122.639,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,日,True
121.238,121.605,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (2, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,日,False
121.038,121.238,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (2, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,5,False
120.704,121.038,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,6,True
120.604,120.704,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,6,True
120.404,120.604,-1,365日もっと近づきたい,"[(2, '3'), (2, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,6,False
120.07,120.404,-1,365日もっと近づきたい,"[(2, '3'), (3, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,<dupe_ref_end>,True
119.736,120.07,-1,365日もっと近づきたい,"[(2, '3'), (3, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,<dupe_ref_end>,True
119.636,119.736,-1,365日もっと近づきたい,"[(2, '3'), (3, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,False,<dupe_ref_end>,True
119.436,119.636,-1,365日もっと近づきたい,"[(2, '3'), (3, '6'), (3, '5'), (3, '日'), (3, 'も'), (3, 'っ'), (3, 'と'), (3, '近'), (3, 'づ'), (3, 'き'), (3, 'た'), (3, 'い')]",False,True,<dupe_ref_end>,True
196.914,198.83,0,「ありがとう、ずっとだいすきだよ！」,"[(2, '「'), (2, 'あ'), (2, 'り'), (2, 'が'), (2, 'と'), (2, 'う'), (2, '、'), (2, 'ず'), (2, 'っ'), (2, 'と'), (2, 'だ'), (2, 'い'), (2, 'す'), (2, 'き'), (2, 'だ'), (2, 'よ'), (2, '！'), (2, '」')]",True,False,よ,False
196.78,196.914,0,「ありがとう、ずっとだいすきだよ！」,"[(2, '「'), (2, 'あ'), (2, 'り'), (2, 'が'), (2, 'と'), (2, 'う'), (2, '、'), (2, 'ず'), (2, 'っ'), (2, 'と'), (2, 'だ'), (2, 'い'), (2, 'す'), (2, 'き'), (2, 'だ'), (3, 'よ'), (2, '！'), (2, '」')]",False,False,だ,False
