start,end,line,unformatted,segments,ref_start,ref_end,token,dupe
29.88,30.18,92,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (3, 'y'), (3, 'o'), (3, 'u'), (3, 'r'), (3, 'e'), (3, 'a'), (3, 'd'), (3, 'y'), (3, '?')]",True,False,y?,False
29.747,29.88,92,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (3, 'y'), (3, 'o'), (3, 'u'), (3, 'r'), (3, 'e'), (3, 'a'), (3, 'd'), (2, 'y'), (2, '?')]",False,False,read,False
29.58,29.747,92,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (3, 'y'), (3, 'o'), (3, 'u'), (2, 'r'), (2, 'e'), (2, 'a'), (2, 'd'), (2, 'y'), (2, '?')]",False,False,you,False
29.413,29.58,92,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (2, 'y'), (2, 'o'), (2, 'u'), (2, 'r'), (2, 'e'), (2, 'a'), (2, 'd'), (2, 'y'), (2, '?')]",False,True,are,False
29.88,30.18,0,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (3, 'y'), (3, 'o'), (3, 'u'), (3, 'r'), (3, 'e'), (3, 'a'), (3, 'd'), (3, 'y'), (3, '?')]",True,False,y?,False
29.747,29.88,0,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (3, 'y'), (3, 'o'), (3, 'u'), (3, 'r'), (3, 'e'), (3, 'a'), (3, 'd'), (2, 'y'), (2, '?')]",False,False,read,False
29.58,29.747,0,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (3, 'y'), (3, 'o'), (3, 'u'), (2, 'r'), (2, 'e'), (2, 'a'), (2, 'd'), (2, 'y'), (2, '?')]",False,False,you,False
29.413,29.58,0,areyouready?,"[(3, 'a'), (3, 'r'), (3, 'e'), (2, 'y'), (2, 'o'), (2, 'u'), (2, 'r'), (2, 'e'), (2, 'a'), (2, 'd'), (2, 'y'), (2, '?')]",False,True,are,False
62.946,63.48,92,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, 'o'), (3, 'n'), (3, '!'), (3, 'l'), (3, 'i'), (3, 'g'), (3, 'h'), (3, 't'), (3, 'u'), (3, 'p'), (3, '!')]",True,False,up!,False
62.713,62.946,92,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, 'o'), (3, 'n'), (3, '!'), (3, 'l'), (3, 'i'), (3, 'g'), (3, 'h'), (3, 't'), (2, 'u'), (2, 'p'), (2, '!')]",False,False,light,False
62.246,62.713,92,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, 'o'), (3, 'n'), (3, '!'), (2, 'l'), (2, 'i'), (2, 'g'), (2, 'h'), (2, 't'), (2, 'u'), (2, 'p'), (2, '!')]",False,False,on!,False
61.979,62.246,92,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (2, 'o'), (2, 'n'), (2, '!'), (2, 'l'), (2, 'i'), (2, 'g'), (2, 'h'), (2, 't'), (2, 'u'), (2, 'p'), (2, '!')]",False,True,come,False
62.946,63.48,0,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, 'o'), (3, 'n'), (3, '!'), (3, 'l'), (3, 'i'), (3, 'g'), (3, 'h'), (3, 't'), (3, 'u'), (3, 'p'), (3, '!')]",True,False,up!,False
62.713,62.946,0,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, 'o'), (3, 'n'), (3, '!'), (3, 'l'), (3, 'i'), (3, 'g'), (3, 'h'), (3, 't'), (2, 'u'), (2, 'p'), (2, '!')]",False,False,light,False
62.246,62.713,0,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, 'o'), (3, 'n'), (3, '!'), (2, 'l'), (2, 'i'), (2, 'g'), (2, 'h'), (2, 't'), (2, 'u'), (2, 'p'), (2, '!')]",False,False,on!,False
61.979,62.246,0,comeon!lightup!,"[(3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (2, 'o'), (2, 'n'), (2, '!'), (2, 'l'), (2, 'i'), (2, 'g'), (2, 'h'), (2, 't'), (2, 'u'), (2, 'p'), (2, '!')]",False,True,come,False
14.932,15.84,92,it\'sshowtime!!,"[(3, 'i'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (3, 't'), (3, 'i'), (3, 'm'), (3, 'e'), (3, '!'), (3, '!')]",True,False,time!!,False
14.565,14.932,92,it\'sshowtime!!,"[(3, 'i'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (2, 't'), (2, 'i'), (2, 'm'), (2, 'e'), (2, '!'), (2, '!')]",False,False,show,False
14.098,14.565,92,it\'sshowtime!!,"[(3, 'i'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (2, 's'), (2, 'h'), (2, 'o'), (2, 'w'), (2, 't'), (2, 'i'), (2, 'm'), (2, 'e'), (2, '!'), (2, '!')]",False,True,it\'s,False
14.932,15.84,0,it\'sshowtime!!,"[(3, 'i'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (3, 't'), (3, 'i'), (3, 'm'), (3, 'e'), (3, '!'), (3, '!')]",True,False,time!!,False
14.565,14.932,0,it\'sshowtime!!,"[(3, 'i'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (2, 't'), (2, 'i'), (2, 'm'), (2, 'e'), (2, '!'), (2, '!')]",False,False,show,False
14.098,14.565,0,it\'sshowtime!!,"[(3, 'i'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (2, 's'), (2, 'h'), (2, 'o'), (2, 'w'), (2, 't'), (2, 'i'), (2, 'm'), (2, 'e'), (2, '!'), (2, '!')]",False,True,it\'s,False
119.103,119.436,92,let\'sgo!,"[(3, 'l'), (3, 'e'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (3, 'g'), (3, 'o'), (3, '!')]",True,False,go!,False
118.869,119.103,92,let\'sgo!,"[(3, 'l'), (3, 'e'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (2, 'g'), (2, 'o'), (2, '!')]",False,True,let\'s,False
119.103,119.436,0,let\'sgo!,"[(3, 'l'), (3, 'e'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (3, 'g'), (3, 'o'), (3, '!')]",True,False,go!,False
118.869,119.103,0,let\'sgo!,"[(3, 'l'), (3, 'e'), (3, 't'), (3, '\\'), (3, ""'""), (3, 's'), (2, 'g'), (2, 'o'), (2, '!')]",False,True,let\'s,False
11.762,12.296,92,tvshowじゃない,"[(3, 't'), (3, 'v'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (3, 'じ'), (3, 'ゃ'), (3, 'な'), (3, 'い')]",True,False,ない,False
11.562,11.762,92,tvshowじゃない,"[(3, 't'), (3, 'v'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (3, 'じ'), (3, 'ゃ'), (2, 'な'), (2, 'い')]",False,False,じゃ,False
11.362,11.562,92,tvshowじゃない,"[(3, 't'), (3, 'v'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (2, 'じ'), (2, 'ゃ'), (2, 'な'), (2, 'い')]",False,False,show,False
11.161,11.362,92,tvshowじゃない,"[(3, 't'), (3, 'v'), (2, 's'), (2, 'h'), (2, 'o'), (2, 'w'), (2, 'じ'), (2, 'ゃ'), (2, 'な'), (2, 'い')]",False,False,v,False
10.894,11.161,92,tvshowじゃない,"[(3, 't'), (2, 'v'), (2, 's'), (2, 'h'), (2, 'o'), (2, 'w'), (2, 'じ'), (2, 'ゃ'), (2, 'な'), (2, 'い')]",False,True,t,False
11.762,12.296,0,tvshowじゃない,"[(3, 't'), (3, 'v'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (3, 'じ'), (3, 'ゃ'), (3, 'な'), (3, 'い')]",True,False,ない,False
11.562,11.762,0,tvshowじゃない,"[(3, 't'), (3, 'v'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (3, 'じ'), (3, 'ゃ'), (2, 'な'), (2, 'い')]",False,False,じゃ,False
11.362,11.562,0,tvshowじゃない,"[(3, 't'), (3, 'v'), (3, 's'), (3, 'h'), (3, 'o'), (3, 'w'), (2, 'じ'), (2, 'ゃ'), (2, 'な'), (2, 'い')]",False,False,show,False
11.161,11.362,0,tvshowじゃない,"[(3, 't'), (3, 'v'), (2, 's'), (2, 'h'), (2, 'o'), (2, 'w'), (2, 'じ'), (2, 'ゃ'), (2, 'な'), (2, 'い')]",False,False,v,False
10.894,11.161,0,tvshowじゃない,"[(3, 't'), (2, 'v'), (2, 's'), (2, 'h'), (2, 'o'), (2, 'w'), (2, 'じ'), (2, 'ゃ'), (2, 'な'), (2, 'い')]",False,True,t,False
2.119,2.886,92,welcome!,"[(3, 'w'), (3, 'e'), (3, 'l'), (3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, '!')]",True,False,come!,False
1.652,2.119,92,welcome!,"[(3, 'w'), (3, 'e'), (3, 'l'), (2, 'c'), (2, 'o'), (2, 'm'), (2, 'e'), (2, '!')]",False,True,wel,False
2.119,2.886,0,welcome!,"[(3, 'w'), (3, 'e'), (3, 'l'), (3, 'c'), (3, 'o'), (3, 'm'), (3, 'e'), (3, '!')]",True,False,come!,False
1.652,2.119,0,welcome!,"[(3, 'w'), (3, 'e'), (3, 'l'), (2, 'c'), (2, 'o'), (2, 'm'), (2, 'e'), (2, '!')]",False,True,wel,False
144.027,144.45,0,あか！,"[(3, 'あ'), (3, 'か'), (3, '！')]",True,False,か！,False
143.894,144.027,0,あか！,"[(3, 'あ'), (2, 'か'), (2, '！')]",False,True,あ,False
236.553,236.76,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (3, 'し'), (3, 'い'), (3, 'ぶ'), (3, 'た'), (3, 'い'), (3, 'へ')]",True,False,へ,False
236.453,236.553,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (3, 'し'), (3, 'い'), (3, 'ぶ'), (3, 'た'), (3, 'い'), (2, 'へ')]",False,False,い,False
236.32,236.453,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (3, 'し'), (3, 'い'), (3, 'ぶ'), (3, 'た'), (2, 'い'), (2, 'へ')]",False,False,た,False
236.119,236.32,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (3, 'し'), (3, 'い'), (3, 'ぶ'), (2, 'た'), (2, 'い'), (2, 'へ')]",False,False,ぶ,False
235.953,236.119,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (3, 'し'), (3, 'い'), (2, 'ぶ'), (2, 'た'), (2, 'い'), (2, 'へ')]",False,False,い,False
235.786,235.953,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (3, 'し'), (2, 'い'), (2, 'ぶ'), (2, 'た'), (2, 'い'), (2, 'へ')]",False,False,し,False
235.686,235.786,0,あたらしいぶたいへ,"[(3, 'あ'), (3, 'た'), (3, 'ら'), (2, 'し'), (2, 'い'), (2, 'ぶ'), (2, 'た'), (2, 'い'), (2, 'へ')]",False,False,ら,False
