start,end,line,unformatted,segments,ref_start,ref_end,token,dupe
221.905,222.806,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (3, 'よ'), (3, 'う'), (3, 'に')]",True,False,に,False
221.038,221.905,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (3, 'よ'), (3, 'う'), (2, 'に')]",False,False,う,False
220.771,221.038,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (3, 'よ'), (2, 'う'), (2, 'に')]",False,False,よ,False
220.504,220.771,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,す,False
219.903,220.504,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (2, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,ま,False
219.336,219.903,0,あえますように,"[(3, 'あ'), (3, 'え'), (2, 'ま'), (2, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,え,False
219.036,219.336,0,あえますように,"[(3, 'あ'), (2, 'え'), (2, 'ま'), (2, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,True,あ,False
101.919,102.786,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (3, 'よ'), (3, 'う'), (3, 'に')]",True,False,に,False
101.051,101.919,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (3, 'よ'), (3, 'う'), (2, 'に')]",False,False,う,False
100.784,101.051,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (3, 'よ'), (2, 'う'), (2, 'に')]",False,False,よ,False
100.484,100.784,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (3, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,す,False
99.917,100.484,0,あえますように,"[(3, 'あ'), (3, 'え'), (3, 'ま'), (2, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,ま,False
99.349,99.917,0,あえますように,"[(3, 'あ'), (3, 'え'), (2, 'ま'), (2, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,え,False
99.049,99.349,0,あえますように,"[(3, 'あ'), (2, 'え'), (2, 'ま'), (2, 'す'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,True,あ,False
161.078,162.212,0,あしたもかがやいてたい,"[(3, 'あ'), (3, 'し'), (3, 'た'), (3, 'も'), (3, 'か'), (3, 'が'), (3, 'や'), (3, 'い'), (3, 'て'), (3, 'た'), (3, 'い')]",True,False,い,False
