start,end,line,unformatted,segments,ref_start,ref_end,common_number,remainder
7.257,16.967,0,irys-心臓が止まるまでvocal:irys,"[(3, 'irys-心臓が止まるまで'), (3, 'vocal:irys')]",True,True,0,irys-心臓が止まるまでvocal:irys
184.535,185.736,0,あしをふみならせ,"[(3, 'あしをふみならせ')]",True,False,2,あしをふみならせ
183.934,184.535,0,あしをふみならせ,"[(3, 'あしをふみなら'), (2, 'せ')]",False,False,2,せ
183.634,183.934,0,あしをふみならせ,"[(3, 'あしをふみな'), (2, 'らせ')]",False,False,2,らせ
183.333,183.634,0,あしをふみならせ,"[(3, 'あしをふみ'), (2, 'ならせ')]",False,False,2,ならせ
183.033,183.333,0,あしをふみならせ,"[(3, 'あしをふ'), (2, 'みならせ')]",False,False,2,みならせ
182.733,183.033,0,あしをふみならせ,"[(3, 'あしを'), (2, 'ふみならせ')]",False,False,2,ふみならせ
182.432,182.733,0,あしをふみならせ,"[(3, 'あし'), (2, 'をふみならせ')]",False,False,2,をふみならせ
182.099,182.432,0,あしをふみならせ,"[(3, 'あ'), (2, 'しをふみならせ')]",False,False,2,しをふみならせ
56.04,57.274,0,あしをふみならせ,"[(3, 'あしをふみならせ')]",False,False,2,あしをふみならせ
55.439,56.04,0,あしをふみならせ,"[(3, 'あしをふみなら'), (2, 'せ')]",False,False,2,せ
55.139,55.439,0,あしをふみならせ,"[(3, 'あしをふみな'), (2, 'らせ')]",False,False,2,らせ
54.838,55.139,0,あしをふみならせ,"[(3, 'あしをふみ'), (2, 'ならせ')]",False,False,2,ならせ
54.538,54.838,0,あしをふみならせ,"[(3, 'あしをふ'), (2, 'みならせ')]",False,False,2,みならせ
54.238,54.538,0,あしをふみならせ,"[(3, 'あしを'), (2, 'ふみならせ')]",False,False,2,ふみならせ
53.971,54.238,0,あしをふみならせ,"[(3, 'あし'), (2, 'をふみならせ')]",False,False,2,をふみならせ
53.604,53.971,0,あしをふみならせ,"[(3, 'あ'), (2, 'しをふみならせ')]",False,True,2,しをふみならせ
147.564,148.165,0,あるきつづけてきたんだ,"[(3, 'あるきつづけてきたんだ')]",True,False,2,あるきつづけてきたんだ
147.431,147.564,0,あるきつづけてきたんだ,"[(3, 'あるきつづけてきたん'), (2, 'だ')]",False,False,2,だ
147.097,147.431,0,あるきつづけてきたんだ,"[(3, 'あるきつづけてきた'), (2, 'んだ')]",False,False,2,んだ
146.964,147.097,0,あるきつづけてきたんだ,"[(3, 'あるきつづけてき'), (2, 'たんだ')]",False,False,2,たんだ
146.63,146.964,0,あるきつづけてきたんだ,"[(3, 'あるきつづけて'), (2, 'きたんだ')]",False,False,2,きたんだ
146.497,146.63,0,あるきつづけてきたんだ,"[(3, 'あるきつづけ'), (2, 'てきたんだ')]",False,False,2,てきたんだ
146.33,146.497,0,あるきつづけてきたんだ,"[(3, 'あるきつづ'), (2, 'けてきたんだ')]",False,False,2,けてきたんだ
146.196,146.33,0,あるきつづけてきたんだ,"[(3, 'あるきつ'), (2, 'づけてきたんだ')]",False,False,2,づけてきたんだ
