start,end,line,unformatted,segments,ref_start,ref_end,token,dupe
12.396,12.463,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,waits...,True
12.329,12.396,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,waits...,True
12.262,12.329,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,waits...,True
10.894,12.262,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,waits...,False
10.561,10.894,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,False,a,False
10.127,10.561,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,False,tion,False
9.66,10.127,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (2, 't'), (2, 'i'), (2, 'o'), (2, 'n'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,False,fic,False
9.36,9.66,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (2, 'f'), (2, 'i'), (2, 'c'), (2, 't'), (2, 'i'), (2, 'o'), (2, 'n'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,False,our,False
8.892,9.36,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (2, 'o'), (2, 'u'), (2, 'r'), (2, 'f'), (2, 'i'), (2, 'c'), (2, 't'), (2, 'i'), (2, 'o'), (2, 'n'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,False,of,False
8.425,8.892,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (2, 'o'), (2, 'f'), (2, 'o'), (2, 'u'), (2, 'r'), (2, 'f'), (2, 'i'), (2, 'c'), (2, 't'), (2, 'i'), (2, 'o'), (2, 'n'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,False,world,False
